bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A1|1,4211,233,,5.5,,87.4,77.3,X
A1|2,1371,71,,5.2,,83.9,72.7,X
A1|3,631,36,,5.7,,84.7,80.6,O
A1|4,301,18,,6.0,,103.5,91.5,O
A1|5,159,11,,6.9,,97.5,114.2,O
A1|6,82,4,,4.9,,69.1,73.1,X
A1|7,49,0,,0.0,,0.0,18.9,X
A2|1,832,42,,5.0,,69.2,79.8,X
A2|2,1721,73,,4.2,,74.2,70.9,X
A2|3,1300,51,,3.9,,56.7,75.5,X
A2|4,939,41,,4.4,,94.3,69.4,X
A2|5,634,22,,3.5,,67.7,69.2,X
A2|6,415,22,,5.3,,68.2,61.1,X
A2|7,301,8,,2.7,,62.9,93.5,O
A2|8,193,6,,3.1,,108.8,70.0,X
A3|1,275,9,,3.3,,35.1,59.0,X
A3|2,611,35,,5.7,,95.5,91.2,O
A3|3,869,42,,4.8,,72.4,78.5,X
A3|4,999,42,,4.2,,84.5,75.1,X
A3|5,876,33,,3.8,,65.1,81.3,O
A3|6,676,26,,3.8,,76.0,73.7,X
A3|7,565,24,,4.2,,92.5,82.4,O
A3|8,451,15,,3.3,,65.2,103.0,O
A4|1,135,5,,3.7,,39.6,65.1,X
A4|2,358,20,,5.6,,77.1,91.2,O
A4|3,535,26,,4.9,,81.1,90.1,O
A4|4,648,27,,4.2,,77.2,83.7,O
A4|5,673,46,,6.8,,122.2,83.4,O
A4|6,709,29,,4.1,,72.1,71.9,X
A4|7,681,35,,5.1,,124.4,78.7,X
A4|8,557,27,,4.8,,152.1,77.1,X
B1|1,220,10,,4.5,,98.8,107.6,O
B1|2,349,8,,2.3,,74.9,59.6,X
B1|3,380,6,,1.6,,27.3,56.0,X
B1|4,414,11,,2.7,,76.6,73.2,X
B1|5,378,5,,1.3,,71.8,60.7,X
B1|6,376,7,,1.9,,83.1,92.1,O
B1|7,313,7,,2.2,,65.2,59.2,X
B1|8,270,3,,1.1,,38.2,94.9,O
B2|2,44,1,,2.3,,83.3,37.7,X
B2|3,61,1,,1.6,,46.1,56.4,X
B2|4,82,1,,1.2,,24.8,76.3,X
B2|5,124,1,,0.8,,87.6,124.0,O
B2|6,183,3,,1.6,,31.9,86.5,O
B2|7,214,4,,1.9,,98.8,100.3,O
B2|8,214,2,,0.9,,52.6,88.2,O
