bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A1|0.0,9831,562,,5.7,,77.9,77.9,X
A1|10.0,539,29,,5.4,,71.7,96.7,O
A1|11.0,646,37,,5.7,,96.6,81.7,O
A1|12.0,789,35,,4.4,,62.0,80.4,O
A1|13.0,226,11,,4.9,,63.3,64.6,X
A1|14.0,712,38,,5.3,,104.1,80.0,O
A1|15.0,302,19,,6.3,,118.8,76.8,X
A1|16.0,131,7,,5.3,,111.6,102.1,O
A1|17.0,802,39,,4.9,,71.5,86.6,O
A1|18.0,364,19,,5.2,,77.8,95.4,O
A1|19.0,189,7,,3.7,,36.5,76.0,X
A1|20.0,972,72,,7.4,,104.2,85.9,O
A1|21.0,217,6,,2.8,,28.5,60.4,X
A1|22.0,345,14,,4.1,,80.4,73.0,X
A1|23.0,184,11,,6.0,,141.0,64.4,X
A1|24.0,118,4,,3.4,,54.6,58.8,X
A1|25.0,1087,53,,4.9,,79.8,74.9,X
A1|26.0,76,3,,3.9,,41.5,56.2,X
A1|27.0,257,13,,5.1,,101.8,68.1,X
A1|28.0,63,3,,4.8,,42.7,90.4,O
A1|29.0,428,26,,6.1,,80.9,64.8,X
A1|3.0,116,8,,6.9,,169.9,64.9,X
A1|30.0,183,11,,6.0,,99.1,80.2,O
A1|31.0,129,8,,6.2,,124.6,69.3,X
A1|32.0,42,4,,9.5,,124.9,114.5,O
A1|33.0,1329,82,,6.2,,77.7,87.8,O
A1|35.0,59,3,,5.1,,34.7,68.2,X
A1|36.0,149,12,,8.1,,83.8,79.5,X
A1|38.0,245,11,,4.5,,82.4,78.4,X
A1|39.0,30,3,,10.0,,145.4,53.1,X
A1|4.0,265,11,,4.2,,93.7,98.0,O
A1|40.0,420,26,,6.2,,96.7,99.7,O
A1|41.0,35,1,,2.9,,4.2,109.0,O
A1|42.0,59,4,,6.8,,59.6,79.0,X
A1|43.0,191,7,,3.7,,34.6,71.4,X
A1|44.0,110,6,,5.5,,77.8,79.4,X
A1|45.0,48,3,,6.2,,76.0,62.1,X
A1|46.0,43,3,,7.0,,131.2,62.2,X
A1|47.0,49,3,,6.1,,71.1,82.1,O
A1|5.0,388,23,,5.9,,117.1,92.1,O
A1|50.0,1524,73,,4.8,,76.0,80.5,O
A1|56.0,73,2,,2.7,,15.7,112.4,O
A1|57.0,78,5,,6.4,,99.2,77.4,X
A1|6.0,561,24,,4.3,,71.0,75.8,X
A1|60.0,160,7,,4.4,,47.4,66.7,X
A1|62.0,53,1,,1.9,,62.7,81.6,O
A1|64.0,30,1,,3.3,,50.6,71.4,X
A1|67.0,454,27,,5.9,,86.8,90.0,O
A1|7.0,533,33,,6.2,,96.5,96.4,O
A1|71.0,35,2,,5.7,,66.3,47.5,X
A1|75.0,165,8,,4.8,,83.2,72.3,X
A1|8.0,635,42,,6.6,,100.4,90.9,O
A1|80.0,69,1,,1.4,,6.3,54.9,X
A1|9.0,468,18,,3.8,,45.3,68.7,X
A1|99.9,965,39,,4.0,,51.7,64.1,X
A2|0.0,9237,409,,4.4,,67.1,74.2,X
A2|10.0,520,23,,4.4,,60.2,76.9,X
A2|11.0,576,25,,4.3,,70.6,84.0,O
A2|12.0,742,36,,4.9,,78.1,82.5,O
A2|13.0,249,10,,4.0,,79.7,89.5,O
A2|14.0,713,43,,6.0,,121.9,84.4,O
A2|15.0,324,10,,3.1,,68.2,75.3,X
A2|16.0,152,6,,3.9,,30.4,37.8,X
A2|17.0,797,45,,5.6,,97.6,75.2,X
A2|18.0,326,13,,4.0,,62.7,68.6,X
A2|19.0,203,8,,3.9,,71.0,73.8,X
A2|20.0,877,46,,5.2,,101.9,87.0,O
A2|21.0,218,10,,4.6,,99.6,87.7,O
A2|22.0,336,15,,4.5,,79.5,86.3,O
A2|23.0,205,5,,2.4,,31.7,54.8,X
A2|24.0,133,3,,2.3,,55.6,94.2,O
A2|25.0,1025,49,,4.8,,71.2,83.4,O
A2|26.0,73,3,,4.1,,40.9,51.9,X
A2|27.0,248,14,,5.6,,75.3,75.1,X
A2|28.0,87,2,,2.3,,62.4,73.4,X
A2|29.0,393,13,,3.3,,53.4,70.6,X
A2|3.0,138,5,,3.6,,38.6,60.3,X
A2|30.0,184,10,,5.4,,97.8,47.5,X
A2|31.0,134,3,,2.2,,54.1,55.6,X
A2|32.0,82,2,,2.4,,33.3,61.1,X
A2|33.0,1203,57,,4.7,,75.8,75.9,X
A2|35.0,81,0,,0.0,,0.0,63.1,X
A2|36.0,136,2,,1.5,,52.0,58.4,X
A2|37.0,30,0,,0.0,,0.0,55.0,X
A2|38.0,221,11,,5.0,,57.6,71.0,X
A2|39.0,35,2,,5.7,,117.9,99.7,O
A2|4.0,285,11,,3.9,,36.1,70.8,X
A2|40.0,352,13,,3.7,,53.5,64.6,X
A2|42.0,54,0,,0.0,,0.0,83.5,O
A2|43.0,170,9,,5.3,,120.6,131.1,O
A2|44.0,109,4,,3.7,,30.6,63.3,X
A2|45.0,48,5,,10.4,,137.8,56.1,X
A2|46.0,30,0,,0.0,,0.0,56.4,X
A2|47.0,42,1,,2.4,,24.8,105.6,O
A2|5.0,426,15,,3.5,,46.2,72.8,X
A2|50.0,1467,65,,4.4,,90.7,84.6,O
A2|54.0,31,1,,3.2,,72.4,127.7,O
A2|55.0,45,1,,2.2,,8.8,76.8,X
A2|56.0,64,3,,4.7,,210.9,84.7,O
A2|57.0,83,4,,4.8,,34.3,67.0,X
A2|58.0,33,2,,6.1,,79.1,29.2,X
A2|6.0,533,20,,3.8,,72.3,84.1,O
A2|60.0,191,4,,2.1,,25.3,91.8,O
A2|62.0,63,1,,1.6,,2.7,75.6,X
A2|67.0,429,28,,6.5,,136.9,87.7,O
A2|7.0,509,20,,3.9,,69.6,78.1,X
A2|71.0,34,3,,8.8,,171.3,103.1,O
A2|75.0,160,10,,6.2,,129.9,83.6,O
A2|8.0,665,28,,4.2,,57.5,67.8,X
A2|80.0,53,3,,5.7,,113.9,64.5,X
A2|9.0,490,23,,4.7,,67.2,69.7,X
A2|99.9,1100,61,,5.5,,118.1,76.0,X
A3|0.0,8531,367,,4.3,,73.8,80.4,O
A3|10.0,514,24,,4.7,,87.3,88.9,O
A3|11.0,620,18,,2.9,,55.8,83.8,O
A3|12.0,738,28,,3.8,,51.8,72.8,X
A3|13.0,215,7,,3.3,,36.2,63.7,X
A3|14.0,682,35,,5.1,,81.7,65.5,X
A3|15.0,297,12,,4.0,,83.2,74.7,X
A3|16.0,140,6,,4.3,,42.6,54.2,X
A3|17.0,738,36,,4.9,,76.5,67.7,X
A3|18.0,338,14,,4.1,,71.4,84.3,O
A3|19.0,202,6,,3.0,,70.7,54.2,X
A3|2.0,36,3,,8.3,,196.5,95.0,O
A3|20.0,824,33,,4.0,,69.5,66.2,X
A3|21.0,199,11,,5.5,,127.2,76.6,X
A3|22.0,348,19,,5.5,,124.5,81.9,O
A3|23.0,185,9,,4.9,,73.2,98.5,O
A3|24.0,137,6,,4.4,,72.6,69.2,X
A3|25.0,982,52,,5.3,,87.8,96.3,O
A3|26.0,91,7,,7.7,,165.1,73.1,X
A3|27.0,245,12,,4.9,,77.7,88.0,O
A3|28.0,66,2,,3.0,,105.4,76.9,X
A3|29.0,405,20,,4.9,,88.4,82.7,O
A3|3.0,159,3,,1.9,,16.3,64.8,X
A3|30.0,169,7,,4.1,,81.2,70.0,X
A3|31.0,128,8,,6.2,,106.4,130.8,O
A3|32.0,66,3,,4.5,,56.3,94.6,O
A3|33.0,1097,42,,3.8,,69.9,79.8,X
A3|35.0,72,2,,2.8,,39.9,40.9,X
A3|36.0,128,5,,3.9,,63.7,77.2,X
A3|37.0,36,2,,5.6,,60.5,89.6,O
A3|38.0,226,5,,2.2,,35.9,81.4,O
A3|39.0,38,1,,2.6,,37.3,142.6,O
A3|4.0,331,16,,4.8,,77.9,74.6,X
A3|40.0,361,14,,3.9,,53.4,67.5,X
A3|41.0,35,4,,11.4,,276.9,107.0,O
A3|42.0,74,2,,2.7,,76.0,99.5,O
A3|43.0,188,9,,4.8,,89.9,105.8,O
A3|44.0,118,1,,0.8,,11.0,45.8,X
A3|45.0,64,0,,0.0,,0.0,35.1,X
A3|46.0,37,3,,8.1,,27.4,144.8,O
A3|47.0,49,1,,2.0,,14.8,87.5,O
A3|5.0,402,13,,3.2,,42.2,80.7,O
A3|50.0,1325,40,,3.0,,62.2,78.8,X
A3|56.0,55,6,,10.9,,167.3,67.6,X
A3|57.0,81,1,,1.2,,25.8,63.5,X
A3|6.0,486,27,,5.6,,102.9,96.6,O
A3|60.0,167,6,,3.6,,23.9,64.0,X
A3|62.0,57,1,,1.8,,15.4,59.3,X
A3|67.0,426,16,,3.8,,57.0,74.8,X
A3|7.0,434,21,,4.8,,87.6,76.9,X
A3|71.0,53,2,,3.8,,73.2,36.8,X
A3|75.0,149,3,,2.0,,22.9,45.8,X
A3|8.0,602,26,,4.3,,120.8,76.3,X
A3|80.0,47,3,,6.4,,76.0,118.1,O
A3|9.0,456,25,,5.5,,106.2,80.5,O
A3|99.9,1157,39,,3.4,,87.6,72.9,X
A4|0.0,7637,316,,4.1,,82.8,74.1,X
A4|10.0,463,14,,3.0,,76.1,85.1,O
A4|11.0,564,29,,5.1,,114.6,104.3,O
A4|12.0,684,26,,3.8,,68.8,75.1,X
A4|13.0,200,11,,5.5,,109.5,76.3,X
A4|14.0,617,25,,4.1,,74.6,62.8,X
A4|15.0,249,11,,4.4,,51.9,78.7,X
A4|16.0,132,5,,3.8,,47.7,90.7,O
A4|17.0,718,25,,3.5,,59.2,70.0,X
A4|18.0,330,21,,6.4,,106.1,76.0,X
A4|19.0,197,7,,3.6,,85.5,65.0,X
A4|2.0,40,1,,2.5,,17.4,92.8,O
A4|20.0,731,30,,4.1,,58.4,81.8,O
A4|21.0,227,14,,6.2,,87.6,69.6,X
A4|22.0,294,12,,4.1,,76.1,67.0,X
A4|23.0,190,7,,3.7,,58.5,70.6,X
A4|24.0,127,4,,3.1,,66.4,97.7,O
A4|25.0,882,37,,4.2,,91.9,71.4,X
A4|26.0,95,3,,3.2,,73.7,113.7,O
A4|27.0,230,11,,4.8,,73.9,63.6,X
A4|28.0,71,0,,0.0,,0.0,29.7,X
A4|29.0,389,16,,4.1,,133.3,93.8,O
A4|3.0,189,5,,2.6,,57.9,94.6,O
A4|30.0,183,5,,2.7,,47.5,53.1,X
A4|31.0,121,7,,5.8,,123.8,89.5,O
A4|32.0,66,2,,3.0,,137.8,67.2,X
A4|33.0,1050,35,,3.3,,90.3,76.2,X
A4|35.0,64,3,,4.7,,71.6,55.7,X
A4|36.0,138,6,,4.3,,134.4,107.2,O
A4|37.0,37,1,,2.7,,21.2,48.9,X
A4|38.0,213,10,,4.7,,75.7,81.2,O
A4|39.0,36,1,,2.8,,7.1,58.4,X
A4|4.0,268,14,,5.2,,119.5,77.8,X
A4|40.0,358,18,,5.0,,95.9,71.3,X
A4|41.0,41,1,,2.4,,25.5,19.0,X
