bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|1.0,282,10,,3.5,,35.4,67.6,X
10|10.0,250,10,,4.0,,123.3,99.8,O
10|11.0,218,7,,3.2,,68.8,56.6,X
10|12.0,186,7,,3.8,,135.6,91.9,O
10|13.0,162,1,,0.6,,6.3,50.7,X
10|14.0,127,1,,0.8,,23.4,37.6,X
10|15.0,96,0,,0.0,,0.0,65.9,X
10|16.0,71,2,,2.8,,204.6,109.9,O
10|2.0,246,10,,4.1,,50.0,69.0,X
10|3.0,295,14,,4.7,,79.8,72.4,X
10|4.0,310,15,,4.8,,71.2,73.0,X
10|5.0,304,8,,2.6,,36.7,93.3,O
10|6.0,329,12,,3.6,,68.2,61.2,X
10|7.0,294,11,,3.7,,64.5,69.4,X
10|8.0,276,12,,4.3,,35.9,52.3,X
10|9.0,276,6,,2.2,,41.0,52.6,X
11|1.0,293,16,,5.5,,61.7,67.9,X
11|10.0,209,7,,3.3,,74.6,119.6,O
11|11.0,189,8,,4.2,,79.8,73.8,X
11|12.0,156,4,,2.6,,44.8,72.5,X
11|13.0,143,5,,3.5,,84.0,100.9,O
11|14.0,150,5,,3.3,,41.4,62.2,X
11|15.0,97,3,,3.1,,31.4,142.2,O
11|16.0,70,1,,1.4,,18.1,67.5,X
11|2.0,174,7,,4.0,,81.3,83.7,O
11|3.0,242,11,,4.5,,32.9,41.5,X
11|4.0,260,9,,3.5,,60.6,63.8,X
11|5.0,271,15,,5.5,,72.0,80.1,O
11|6.0,280,12,,4.3,,76.1,111.4,O
11|7.0,243,9,,3.7,,106.2,70.5,X
11|8.0,244,5,,2.0,,64.8,78.4,X
11|9.0,240,10,,4.2,,204.1,86.6,O
12|1.0,264,5,,1.9,,68.8,56.8,X
12|10.0,175,9,,5.1,,186.9,72.4,X
12|11.0,157,3,,1.9,,81.1,77.3,X
12|12.0,134,1,,0.7,,12.7,36.3,X
12|13.0,107,6,,5.6,,79.5,44.2,X
12|14.0,99,1,,1.0,,67.0,63.3,X
12|15.0,73,4,,5.5,,119.5,68.3,X
12|16.0,60,1,,1.7,,7.1,45.2,X
12|2.0,182,11,,6.0,,71.2,54.2,X
12|3.0,191,9,,4.7,,97.8,79.9,X
12|4.0,209,8,,3.8,,78.3,98.6,O
12|5.0,217,10,,4.6,,84.9,49.7,X
12|6.0,227,3,,1.3,,31.1,66.0,X
12|7.0,221,8,,3.6,,56.9,77.5,X
12|8.0,217,2,,0.9,,10.1,101.4,O
12|9.0,186,6,,3.2,,150.7,66.9,X
13|1.0,237,10,,4.2,,79.0,75.7,X
13|10.0,136,5,,3.7,,171.4,101.3,O
13|11.0,115,3,,2.6,,96.9,74.4,X
13|12.0,112,2,,1.8,,136.6,142.8,O
13|13.0,107,2,,1.9,,20.6,19.1,X
13|14.0,73,2,,2.7,,8.6,67.9,X
13|15.0,69,3,,4.3,,230.6,137.8,O
13|16.0,59,2,,3.4,,25.5,78.8,X
13|2.0,112,4,,3.6,,53.2,55.4,X
13|3.0,133,4,,3.0,,47.6,92.2,O
13|4.0,155,3,,1.9,,33.6,85.0,O
13|5.0,156,5,,3.2,,143.7,127.7,O
13|6.0,151,3,,2.0,,13.6,71.8,X
13|7.0,159,5,,3.1,,63.6,33.2,X
13|8.0,157,4,,2.5,,50.3,42.7,X
13|9.0,130,4,,3.1,,97.9,52.5,X
14|1.0,181,4,,2.2,,76.6,90.1,O
14|10.0,103,1,,1.0,,20.6,84.0,O
14|11.0,96,4,,4.2,,125.3,60.4,X
14|12.0,83,1,,1.2,,48.9,64.6,X
14|13.0,74,5,,6.8,,200.3,77.3,X
14|14.0,73,1,,1.4,,108.9,88.9,O
14|15.0,55,1,,1.8,,208.1,118.9,O
14|16.0,51,0,,0.0,,0.0,184.2,O
14|2.0,100,4,,4.0,,80.5,91.0,O
14|3.0,114,7,,6.1,,78.4,116.3,O
14|4.0,115,2,,1.7,,27.1,36.6,X
14|5.0,106,6,,5.7,,221.4,94.1,O
14|6.0,110,3,,2.7,,93.8,133.5,O
14|7.0,118,5,,4.2,,167.0,65.9,X
14|8.0,128,3,,2.3,,110.9,73.6,X
14|9.0,127,7,,5.5,,188.9,91.6,O
15|1.0,129,4,,3.1,,70.2,39.9,X
15|10.0,76,0,,0.0,,0.0,149.1,O
15|11.0,72,4,,5.6,,263.4,105.6,O
15|12.0,67,2,,3.0,,194.0,131.1,O
15|13.0,48,2,,4.2,,11.9,95.0,O
15|14.0,43,0,,0.0,,0.0,44.9,X
15|15.0,34,0,,0.0,,0.0,39.4,X
15|16.0,38,1,,2.6,,226.2,124.6,O
15|2.0,53,2,,3.8,,38.0,60.9,X
15|3.0,58,1,,1.7,,32.6,101.9,O
15|4.0,65,3,,4.6,,46.9,32.8,X
15|5.0,90,1,,1.1,,31.3,79.6,X
15|6.0,70,3,,4.3,,172.2,111.9,O
15|7.0,69,2,,2.9,,16.9,41.6,X
