bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|0,266,13,,4.9,,159.0,95.1,O
01|1,313,31,,9.9,,107.2,92.4,O
01|2,581,54,,9.3,,67.7,76.6,X
01|5,352,27,,7.7,,101.4,86.9,O
02|0,3594,246,,6.8,,68.4,75.7,X
02|1,4830,361,,7.5,,68.8,74.7,X
02|2,6620,585,,8.8,,71.7,75.2,X
02|3,237,20,,8.4,,46.7,61.2,X
02|5,5864,537,,9.2,,80.3,78.1,X
02|6,86,6,,7.0,,34.5,54.0,X
03|0,4884,383,,7.8,,77.2,74.7,X
03|1,6479,512,,7.9,,79.4,74.9,X
03|2,7448,741,,9.9,,71.2,75.1,X
03|3,252,33,,13.1,,118.1,85.5,O
03|5,7944,772,,9.7,,82.0,80.8,O
03|6,172,21,,12.2,,136.2,77.2,X
04|0,545,34,,6.2,,72.0,87.8,O
04|1,895,84,,9.4,,102.0,78.2,X
04|2,753,69,,9.2,,62.9,79.8,X
04|3,34,6,,17.6,,261.5,98.2,O
04|5,1036,112,,10.8,,64.8,75.9,X
04|6,33,2,,6.1,,21.9,119.8,O
05|0,45,8,,17.8,,308.3,106.4,O
05|2,51,7,,13.7,,70.8,88.2,O
06|0,374,29,,7.8,,97.2,86.2,O
06|1,476,42,,8.8,,67.1,72.4,X
06|2,786,92,,11.7,,91.1,84.0,O
06|3,35,2,,5.7,,33.5,95.6,O
06|5,623,49,,7.9,,61.0,83.4,O
07|0,534,40,,7.5,,76.7,81.9,O
07|1,418,37,,8.9,,118.7,92.7,O
07|2,389,34,,8.7,,79.0,69.3,X
07|3,37,2,,5.4,,19.9,44.5,X
07|5,396,42,,10.6,,65.8,72.8,X
07|6,31,3,,9.7,,326.4,129.1,O
08|0,88,3,,3.4,,14.9,84.1,O
08|1,62,1,,1.6,,98.4,100.1,O
08|2,31,4,,12.9,,551.7,157.9,O
08|5,80,6,,7.5,,138.6,72.7,X
09|0,516,32,,6.2,,86.1,78.3,X
09|1,344,28,,8.1,,50.8,73.9,X
09|2,965,108,,11.2,,61.8,75.7,X
09|3,37,3,,8.1,,101.0,80.3,O
09|5,396,44,,11.1,,92.6,91.8,O
10|0,7426,503,,6.8,,78.4,74.3,X
10|1,13225,1246,,9.4,,75.7,80.0,O
10|2,21894,2327,,10.6,,79.6,79.8,X
10|3,296,35,,11.8,,99.8,73.1,X
10|5,14834,1553,,10.5,,81.1,82.0,O
10|6,78,7,,9.0,,32.8,60.2,X
11|0,5031,331,,6.6,,74.4,76.4,X
11|1,5551,475,,8.6,,78.2,81.7,O
11|2,6414,683,,10.6,,93.7,81.2,O
11|3,174,26,,14.9,,90.4,78.1,X
11|5,6189,644,,10.4,,75.1,80.7,O
11|6,101,8,,7.9,,111.8,75.9,X
12|0,817,47,,5.8,,96.0,100.2,O
12|1,410,40,,9.8,,57.9,80.4,O
12|2,605,61,,10.1,,101.7,76.9,X
12|5,677,69,,10.2,,71.2,78.1,X
17|0,329,19,,5.8,,79.5,75.8,X
17|1,96,9,,9.4,,125.3,72.3,X
17|2,513,49,,9.6,,65.9,85.4,O
17|5,233,25,,10.7,,69.0,87.0,O
18|0,3881,244,,6.3,,60.4,79.1,X
18|1,4055,383,,9.4,,85.4,78.4,X
18|2,7210,746,,10.3,,79.2,83.1,O
18|3,273,31,,11.4,,112.4,86.6,O
18|5,4607,436,,9.5,,72.6,74.4,X
18|6,47,5,,10.6,,229.9,79.1,X
19|0,3793,223,,5.9,,72.1,79.6,X
19|1,3320,264,,8.0,,68.2,74.6,X
19|2,3533,330,,9.3,,76.6,82.3,O
19|3,153,17,,11.1,,63.8,78.5,X
19|5,3550,324,,9.1,,80.6,83.3,O
19|6,31,4,,12.9,,29.5,64.7,X
20|0,402,26,,6.5,,91.5,100.3,O
20|1,319,29,,9.1,,90.0,74.0,X
20|2,233,29,,12.4,,110.3,85.5,O
20|5,368,42,,11.4,,74.7,80.7,O
21|0,920,70,,7.6,,70.1,77.1,X
21|1,596,56,,9.4,,96.3,91.2,O
21|2,1304,124,,9.5,,63.1,82.4,O
21|3,39,1,,2.6,,13.0,50.5,X
21|5,615,59,,9.6,,111.6,85.6,O
22|0,12126,901,,7.4,,81.6,81.5,O
22|1,12622,1051,,8.3,,79.6,76.2,X
22|2,22115,2252,,10.2,,80.3,81.8,O
22|3,584,53,,9.1,,89.3,71.2,X
22|5,16218,1614,,10.0,,72.6,78.8,X
22|6,170,12,,7.1,,46.8,54.6,X
23|0,13488,975,,7.2,,80.3,78.4,X
23|1,13203,1111,,8.4,,78.5,77.6,X
23|2,16222,1684,,10.4,,75.9,77.8,X
23|3,626,65,,10.4,,101.6,84.7,O
23|5,17465,1718,,9.8,,77.2,79.9,X
23|6,237,27,,11.4,,79.3,59.8,X
24|0,1921,146,,7.6,,92.2,83.0,O
24|1,1928,154,,8.0,,72.1,68.2,X
24|2,1785,212,,11.9,,85.4,77.8,X
24|3,59,5,,8.5,,23.1,58.7,X
24|5,2335,273,,11.7,,81.6,80.7,O
