bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|11,47,3,,6.4,,26.0,71.7,X
01|111,191,19,,9.9,,139.3,68.8,X
01|121,296,22,,7.4,,84.8,85.9,O
01|122,95,8,,8.4,,50.7,84.1,O
01|132,117,12,,10.3,,113.4,104.0,O
01|21,139,7,,5.0,,32.9,46.2,X
01|211,63,4,,6.3,,58.8,125.0,O
01|221,183,11,,6.0,,33.2,89.5,O
01|222,78,5,,6.4,,39.5,72.8,X
01|232,61,4,,6.6,,250.2,125.6,O
01|233,51,7,,13.7,,115.6,79.9,X
01|321,35,4,,11.4,,20.7,31.3,X
01|322,39,5,,12.8,,457.6,118.0,O
02|1,44,3,,6.8,,30.5,40.3,X
02|11,281,26,,9.3,,87.0,75.0,X
02|111,610,63,,10.3,,85.9,81.4,O
02|121,1888,174,,9.2,,100.2,73.5,X
02|122,2657,200,,7.5,,71.3,79.6,X
02|132,1736,134,,7.7,,61.7,73.0,X
02|133,1017,76,,7.5,,85.9,73.6,X
02|2,60,3,,5.0,,19.9,40.4,X
02|21,1363,106,,7.8,,67.6,72.0,X
02|211,476,45,,9.5,,54.3,95.1,O
02|212,202,24,,11.9,,130.6,69.9,X
02|213,141,7,,5.0,,28.4,57.3,X
02|22,869,64,,7.4,,39.9,65.6,X
02|221,1550,126,,8.1,,73.6,74.0,X
02|222,2014,167,,8.3,,72.7,75.3,X
02|223,89,8,,9.0,,81.2,39.6,X
02|232,1767,137,,7.8,,65.7,79.9,X
02|233,1422,124,,8.7,,64.5,72.9,X
02|32,1289,111,,8.6,,79.7,76.6,X
02|321,227,20,,8.8,,58.3,84.2,O
02|322,341,38,,11.1,,105.6,70.4,X
02|323,130,8,,6.2,,62.2,56.1,X
02|33,210,11,,5.2,,33.1,70.4,X
02|332,145,14,,9.7,,191.8,80.8,O
02|333,101,5,,5.0,,90.9,56.9,X
03|11,142,12,,8.5,,28.7,62.2,X
03|111,97,6,,6.2,,38.5,83.2,O
03|121,942,85,,9.0,,73.0,77.2,X
03|122,1551,162,,10.4,,88.6,79.5,X
03|132,2198,185,,8.4,,86.1,70.1,X
03|133,2268,182,,8.0,,65.4,70.6,X
03|2,99,13,,13.1,,115.9,62.5,X
03|21,1648,160,,9.7,,85.3,78.5,X
