bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|01,104,9,,8.7,,101.4,91.5,O
01|02,115,13,,11.3,,345.9,118.6,O
01|03,111,13,,11.7,,79.6,65.7,X
01|04,131,14,,10.7,,57.6,90.0,O
01|05,105,8,,7.6,,39.3,66.9,X
01|06,117,8,,6.8,,73.1,68.2,X
01|07,97,4,,4.1,,30.3,62.1,X
01|08,131,14,,10.7,,119.8,103.1,O
01|09,113,10,,8.8,,44.0,77.1,X
01|10,91,8,,8.8,,48.4,56.8,X
01|11,100,5,,5.0,,26.3,75.3,X
01|12,90,1,,1.1,,8.0,49.2,X
01|13,71,6,,8.5,,160.6,171.3,O
01|14,60,6,,10.0,,67.9,62.0,X
01|15,61,3,,4.9,,249.3,104.2,O
01|16,36,6,,16.7,,119.7,91.1,O
02|01,1532,140,,9.1,,88.1,74.6,X
02|02,1587,133,,8.4,,70.6,74.6,X
02|03,1614,138,,8.6,,66.6,73.3,X
02|04,1516,149,,9.8,,86.4,80.0,O
02|05,1536,119,,7.7,,63.7,72.6,X
02|06,1520,128,,8.4,,72.2,69.6,X
02|07,1556,133,,8.5,,67.3,75.2,X
02|08,1537,121,,7.9,,72.7,68.7,X
02|09,1484,111,,7.5,,62.6,73.6,X
02|10,1411,108,,7.7,,62.3,74.9,X
02|11,1311,118,,9.0,,85.0,82.6,O
02|12,1231,109,,8.9,,79.7,81.7,O
02|13,1037,67,,6.5,,63.6,76.2,X
02|14,938,74,,7.9,,88.2,69.9,X
02|15,797,62,,7.8,,42.7,86.9,O
02|16,617,45,,7.3,,82.8,79.2,X
02|17,133,4,,3.0,,32.3,47.4,X
02|18,116,7,,6.0,,110.2,95.3,O
03|01,2041,180,,8.8,,70.9,71.3,X
03|02,2068,197,,9.5,,92.7,84.4,O
03|03,2050,198,,9.7,,75.1,70.0,X
03|04,2038,194,,9.5,,82.4,79.5,X
03|05,2035,173,,8.5,,62.4,65.4,X
03|06,1978,176,,8.9,,65.3,78.7,X
03|07,2076,203,,9.8,,74.1,80.2,O
03|08,1959,179,,9.1,,73.6,74.4,X
03|09,1913,182,,9.5,,97.6,81.1,O
03|10,1859,174,,9.4,,91.7,80.7,O
03|11,1678,153,,9.1,,75.8,67.2,X
03|12,1675,137,,8.2,,82.3,81.0,O
03|13,1376,112,,8.1,,77.8,75.0,X
03|14,1318,100,,7.6,,63.1,70.9,X
03|15,1039,86,,8.3,,81.6,76.8,X
03|16,848,66,,7.8,,82.8,81.5,O
03|17,158,8,,5.1,,39.5,98.6,O
03|18,136,12,,8.8,,98.8,92.9,O
04|01,253,25,,9.9,,88.6,90.9,O
04|02,253,23,,9.1,,111.3,87.0,O
04|03,221,14,,6.3,,33.4,71.0,X
04|04,286,32,,11.2,,70.6,77.7,X
04|05,258,24,,9.3,,71.5,69.8,X
04|06,254,19,,7.5,,59.5,72.5,X
04|07,257,21,,8.2,,41.1,72.7,X
04|08,232,25,,10.8,,78.3,65.5,X
04|09,250,24,,9.6,,76.0,69.3,X
04|10,220,25,,11.4,,109.3,95.7,O
04|11,236,17,,7.2,,67.7,75.1,X
04|12,184,15,,8.2,,69.8,75.3,X
04|13,185,14,,7.6,,70.7,94.7,O
04|14,181,24,,13.3,,140.9,81.6,O
04|15,151,14,,9.3,,106.0,95.0,O
04|16,116,8,,6.9,,109.0,105.7,O
04|17,32,1,,3.1,,12.2,60.9,X
06|01,159,15,,9.4,,98.1,83.4,O
06|02,183,17,,9.3,,51.3,110.0,O
06|03,179,16,,8.9,,51.4,81.8,O
06|04,159,18,,11.3,,90.8,57.4,X
06|05,187,16,,8.6,,40.2,68.2,X
06|06,171,24,,14.0,,89.4,51.4,X
06|07,161,14,,8.7,,105.2,110.0,O
06|08,169,19,,11.2,,102.6,109.3,O
06|09,142,13,,9.2,,69.9,80.1,O
06|10,147,12,,8.2,,43.7,102.2,O
06|11,129,12,,9.3,,74.0,73.6,X
06|12,126,7,,5.6,,43.3,71.5,X
06|13,133,10,,7.5,,82.1,110.7,O
06|14,112,8,,7.1,,83.4,46.5,X
06|15,92,9,,9.8,,72.9,51.7,X
06|16,62,6,,9.7,,198.8,107.3,O
07|01,121,13,,10.7,,110.1,95.7,O
07|02,139,14,,10.1,,183.1,99.1,O
07|03,117,10,,8.5,,97.3,75.5,X
07|04,135,9,,6.7,,33.3,61.0,X
07|05,130,16,,12.3,,193.1,107.5,O
07|06,140,14,,10.0,,98.8,93.2,O
