bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|1,3337,1074,,32.2,,80.6,82.2,O
A|10,1271,39,,3.1,,93.3,83.9,O
A|11,950,27,,2.8,,98.2,95.4,O
A|12,752,13,,1.7,,51.0,75.2,X
A|13,582,12,,2.1,,98.3,84.6,O
A|14,389,9,,2.3,,98.4,94.1,O
A|15,218,4,,1.8,,88.7,73.6,X
A|16,103,2,,1.9,,93.0,90.3,O
A|2,2844,547,,19.2,,79.2,80.9,O
A|3,2611,365,,14.0,,81.3,81.1,O
A|4,2517,257,,10.2,,76.0,75.3,X
A|5,2346,192,,8.2,,88.9,71.7,X
A|6,2158,103,,4.8,,63.2,73.7,X
A|7,1995,98,,4.9,,99.4,80.2,O
A|8,1725,56,,3.2,,66.5,75.2,X
A|9,1519,43,,2.8,,73.5,59.7,X
B|1,1499,444,,29.6,,71.7,82.5,O
B|10,1081,23,,2.1,,71.2,82.7,O
B|11,902,19,,2.1,,63.4,94.0,O
B|12,691,15,,2.2,,89.2,79.8,X
B|13,490,7,,1.4,,43.2,65.6,X
B|14,388,3,,0.8,,37.1,81.1,O
B|15,252,5,,2.0,,107.9,98.0,O
B|16,100,1,,1.0,,65.5,145.4,O
B|2,1574,292,,18.6,,78.7,80.7,O
B|3,1600,231,,14.4,,79.7,80.1,O
B|4,1631,178,,10.9,,95.0,82.3,O
B|5,1510,103,,6.8,,83.5,77.7,X
B|6,1528,83,,5.4,,71.7,76.4,X
B|7,1469,70,,4.8,,87.1,81.6,O
B|8,1382,59,,4.3,,100.0,86.6,O
B|9,1218,35,,2.9,,52.3,59.2,X
C|1,1030,315,,30.6,,79.6,85.1,O
C|10,1081,19,,1.8,,69.1,77.6,X
C|11,859,28,,3.3,,120.8,91.6,O
C|12,735,16,,2.2,,72.8,82.6,O
C|13,539,9,,1.7,,86.1,97.0,O
C|14,382,5,,1.3,,45.3,68.2,X
C|15,227,3,,1.3,,45.6,81.2,O
C|16,121,4,,3.3,,64.8,88.9,O
C|2,1147,218,,19.0,,82.7,82.3,O
C|3,1254,144,,11.5,,67.1,78.5,X
C|4,1226,120,,9.8,,80.9,85.5,O
C|5,1280,88,,6.9,,76.2,76.3,X
C|6,1376,76,,5.5,,80.1,75.3,X
C|7,1340,57,,4.3,,103.9,74.7,X
C|8,1412,41,,2.9,,69.6,73.8,X
C|9,1229,27,,2.2,,78.7,68.6,X
D|1,779,223,,28.6,,72.4,79.0,X
D|10,974,33,,3.4,,105.0,84.5,O
D|11,820,21,,2.6,,105.9,76.3,X
D|12,685,12,,1.8,,84.4,73.0,X
D|13,536,13,,2.4,,79.8,78.1,X
D|14,362,6,,1.7,,127.0,107.2,O
D|15,214,2,,0.9,,22.7,105.8,O
D|16,124,8,,6.5,,164.7,87.7,O
D|2,916,154,,16.8,,70.6,78.2,X
D|3,969,119,,12.3,,75.4,80.8,O
D|4,1046,94,,9.0,,72.3,75.3,X
D|5,1194,69,,5.8,,60.3,74.2,X
D|6,1206,64,,5.3,,75.0,78.9,X
D|7,1194,51,,4.3,,65.4,67.2,X
D|8,1150,46,,4.0,,101.6,79.9,X
D|9,1150,39,,3.4,,94.8,65.0,X
E|1,194,56,,28.9,,76.5,81.5,O
E|10,337,7,,2.1,,28.5,65.1,X
E|11,318,5,,1.6,,56.6,88.0,O
E|12,252,7,,2.8,,166.6,123.1,O
E|13,194,4,,2.1,,30.6,58.8,X
E|14,146,2,,1.4,,79.2,134.2,O
E|15,93,2,,2.2,,152.8,78.9,X
E|16,37,1,,2.7,,30.1,25.8,X
E|2,272,38,,14.0,,69.9,74.8,X
E|3,315,31,,9.8,,58.0,73.9,X
E|4,308,21,,6.8,,68.8,65.7,X
E|5,363,23,,6.3,,59.6,62.8,X
E|6,362,24,,6.6,,77.6,74.5,X
E|7,394,12,,3.0,,43.1,62.9,X
E|8,388,12,,3.1,,54.8,70.7,X
E|9,391,7,,1.8,,37.4,46.6,X
