bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|1,1507,129,,8.6,,72.7,72.7,X
A|2,750,65,,8.7,,66.9,69.9,X
A|3,1485,114,,7.7,,62.4,73.7,X
A|4,250,34,,13.6,,104.7,87.9,O
A|9,195,22,,11.3,,90.1,89.4,O
B|1,1227,90,,7.3,,78.5,79.0,X
B|2,690,74,,10.7,,102.1,71.2,X
B|3,1429,125,,8.7,,91.2,78.8,X
B|4,276,27,,9.8,,129.3,107.2,O
B|9,176,15,,8.5,,59.5,79.8,X
C|1,926,63,,6.8,,88.4,75.7,X
C|2,750,54,,7.2,,91.4,98.8,O
C|3,1443,85,,5.9,,77.2,73.1,X
C|4,165,9,,5.5,,58.2,70.9,X
C|9,144,13,,9.0,,45.7,48.6,X
D|1,874,64,,7.3,,84.6,78.6,X
D|2,601,43,,7.2,,106.4,86.2,O
D|3,1362,76,,5.6,,71.6,69.2,X
D|4,149,10,,6.7,,44.1,51.2,X
D|9,163,10,,6.1,,38.9,76.8,X
E|1,222,10,,4.5,,63.7,82.0,O
E|2,254,17,,6.7,,48.1,74.2,X
E|3,545,27,,5.0,,47.8,70.7,X
