bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|01,4681,487,,10.4,,83.0,80.8,O
A|02,33,3,,9.1,,42.9,56.4,X
A|03,11828,1373,,11.6,,82.0,77.7,X
A|04,5172,569,,11.0,,75.7,78.0,X
A|05,1946,226,,11.6,,88.7,76.5,X
A|06,258,25,,9.7,,79.0,88.3,O
A|07,1403,152,,10.8,,67.1,72.4,X
B|01,3733,356,,9.5,,81.3,80.9,O
B|02,30,0,,0.0,,0.0,74.5,X
B|03,7425,644,,8.7,,71.0,77.9,X
B|04,3556,346,,9.7,,89.6,80.3,O
B|05,1305,121,,9.3,,81.7,79.1,X
B|06,152,7,,4.6,,33.9,82.5,O
B|07,1129,93,,8.2,,82.2,93.8,O
C|01,3332,265,,8.0,,89.1,77.2,X
C|02,36,3,,8.3,,154.7,212.6,O
C|03,6344,464,,7.3,,77.0,82.3,O
C|04,3289,259,,7.9,,79.2,74.4,X
C|05,1174,90,,7.7,,77.0,74.2,X
C|06,165,11,,6.7,,87.8,67.0,X
C|07,928,78,,8.4,,69.0,82.1,O
D|01,3022,240,,7.9,,103.3,86.9,O
D|03,5587,397,,7.1,,74.9,75.9,X
D|04,2780,185,,6.7,,77.5,72.2,X
D|05,966,69,,7.1,,62.0,72.8,X
D|06,135,6,,4.4,,72.7,63.1,X
D|07,851,57,,6.7,,96.4,83.0,O
E|01,1020,59,,5.8,,63.9,78.1,X
E|03,1820,105,,5.8,,54.6,73.6,X
E|04,856,44,,5.1,,57.7,67.9,X
E|05,325,21,,6.5,,128.1,82.0,O
E|06,48,1,,2.1,,4.6,24.3,X
E|07,307,22,,7.2,,70.4,71.7,X
