bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|00,648,68,,10.5,,87.9,80.6,O
A|01,10392,1480,,14.2,,76.4,75.7,X
A|02,15177,2127,,14.0,,82.1,80.1,O
A|03,12618,1740,,13.8,,78.7,78.9,X
A|04,11147,1476,,13.2,,82.2,79.4,X
A|05,10220,1271,,12.4,,79.5,81.2,O
A|06,9231,1001,,10.8,,75.4,83.6,O
A|07,9111,938,,10.3,,76.9,82.0,O
A|08,7773,713,,9.2,,83.6,77.6,X
A|09,6833,653,,9.6,,81.9,80.1,O
A|10,6052,560,,9.3,,88.2,81.5,O
A|11,5144,405,,7.9,,82.3,79.2,X
A|12,4282,324,,7.6,,83.9,80.9,O
A|13,3586,272,,7.6,,77.0,77.9,X
A|14,2743,179,,6.5,,71.4,70.6,X
A|15,1980,132,,6.7,,74.9,90.9,O
A|16,1269,91,,7.2,,93.2,81.3,O
A|17,386,20,,5.2,,60.6,65.9,X
A|18,199,9,,4.5,,55.1,80.5,O
B|00,525,34,,6.5,,89.1,109.2,O
B|01,7718,903,,11.7,,75.5,77.7,X
B|02,10013,1165,,11.6,,82.6,80.8,O
B|03,7597,862,,11.3,,81.7,82.3,O
B|04,6817,701,,10.3,,75.6,84.8,O
B|05,6238,589,,9.4,,78.3,77.9,X
B|06,5833,501,,8.6,,72.0,78.3,X
B|07,5872,450,,7.7,,73.4,81.6,O
B|08,5045,376,,7.5,,83.3,77.9,X
B|09,4592,325,,7.1,,83.9,78.5,X
B|10,4081,300,,7.4,,91.2,80.2,O
B|11,3622,211,,5.8,,55.0,76.2,X
B|12,3004,151,,5.0,,62.3,69.7,X
B|13,2511,143,,5.7,,77.4,81.5,O
B|14,1891,107,,5.7,,89.9,77.7,X
B|15,1448,62,,4.3,,87.3,76.9,X
B|16,820,55,,6.7,,103.3,82.3,O
B|17,231,7,,3.0,,53.8,69.5,X
B|18,122,3,,2.5,,37.0,70.9,X
C|00,519,29,,5.6,,78.5,65.8,X
C|01,5324,550,,10.3,,75.2,74.4,X
C|02,6698,688,,10.3,,86.6,85.4,O
C|03,5112,462,,9.0,,70.5,76.2,X
C|04,4539,377,,8.3,,71.1,78.7,X
C|05,4174,343,,8.2,,71.6,82.8,O
C|06,3837,272,,7.1,,72.1,78.8,X
C|07,4065,302,,7.4,,83.0,81.3,O
C|08,3566,246,,6.9,,90.2,84.8,O
C|09,3136,169,,5.4,,68.3,73.8,X
C|10,2843,162,,5.7,,96.0,84.5,O
C|11,2519,115,,4.6,,50.5,64.6,X
C|12,2156,104,,4.8,,85.2,78.1,X
C|13,1802,99,,5.5,,96.9,76.3,X
C|14,1380,70,,5.1,,116.2,79.0,X
C|15,1041,41,,3.9,,73.0,95.1,O
C|16,631,36,,5.7,,85.8,78.8,X
C|17,142,4,,2.8,,17.3,72.0,X
C|18,84,3,,3.6,,18.1,53.5,X
D|00,594,29,,4.9,,52.1,66.0,X
D|01,4342,414,,9.5,,69.7,73.6,X
D|02,5334,538,,10.1,,82.1,81.9,O
D|03,4450,370,,8.3,,66.4,75.5,X
D|04,3830,296,,7.7,,71.4,78.9,X
D|05,3711,267,,7.2,,79.7,76.7,X
D|06,3361,245,,7.3,,89.7,78.9,X
D|07,3460,226,,6.5,,77.3,80.1,O
D|08,3130,177,,5.7,,66.4,74.2,X
D|09,2840,169,,6.0,,74.5,79.3,X
D|10,2648,133,,5.0,,76.2,72.7,X
D|11,2271,121,,5.3,,84.9,75.2,X
D|12,1892,97,,5.1,,73.7,74.7,X
D|13,1631,82,,5.0,,62.6,75.6,X
D|14,1297,56,,4.3,,74.8,67.3,X
D|15,992,37,,3.7,,91.0,64.9,X
D|16,585,15,,2.6,,56.2,62.1,X
D|17,122,6,,4.9,,67.1,76.2,X
D|18,66,2,,3.0,,24.2,94.2,O
E|00,222,12,,5.4,,51.7,55.1,X
E|01,1145,100,,8.7,,77.4,85.0,O
E|02,1432,130,,9.1,,70.0,77.6,X
E|03,1108,81,,7.3,,71.7,83.2,O
E|04,1022,68,,6.7,,48.0,54.9,X
E|05,957,57,,6.0,,93.6,68.4,X
E|06,937,52,,5.5,,72.9,79.9,X
E|07,994,56,,5.6,,94.1,80.6,O
E|08,916,36,,3.9,,49.3,64.8,X
E|09,911,50,,5.5,,107.1,88.7,O
E|10,770,29,,3.8,,47.3,66.3,X
E|11,683,28,,4.1,,53.6,70.2,X
E|12,608,31,,5.1,,58.9,93.9,O
E|13,544,23,,4.2,,104.0,94.1,O
E|14,388,12,,3.1,,38.9,68.4,X
E|15,332,14,,4.2,,63.8,61.8,X
E|16,194,3,,1.5,,69.9,78.9,X
E|17,32,1,,3.1,,40.4,32.8,X
