bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|1.0,2073,282,,13.6,,95.8,85.8,O
A|10.0,931,75,,8.1,,101.1,93.7,O
A|11.0,841,59,,7.0,,105.1,86.4,O
A|12.0,725,57,,7.9,,86.0,97.8,O
A|13.0,611,39,,6.4,,58.3,57.8,X
A|14.0,477,36,,7.5,,107.2,83.3,O
A|15.0,337,28,,8.3,,129.2,86.8,O
A|16.0,266,22,,8.3,,113.3,85.9,O
A|17.0,58,8,,13.8,,131.7,120.7,O
A|18.0,36,2,,5.6,,35.3,22.6,X
A|2.0,2210,350,,15.8,,68.0,76.1,X
A|3.0,2109,278,,13.2,,76.8,70.5,X
A|4.0,1967,202,,10.3,,68.2,71.5,X
A|5.0,1810,167,,9.2,,69.9,75.1,X
A|6.0,1637,166,,10.1,,90.2,84.1,O
A|7.0,1518,140,,9.2,,77.4,79.9,X
A|8.0,1314,114,,8.7,,84.4,79.2,X
A|9.0,1135,98,,8.6,,64.5,64.7,X
B|1.0,1180,113,,9.6,,74.6,84.6,O
B|10.0,754,56,,7.4,,73.2,65.1,X
B|11.0,674,59,,8.8,,86.6,72.8,X
B|12.0,535,27,,5.0,,67.0,71.8,X
B|13.0,406,28,,6.9,,60.2,77.3,X
B|14.0,348,20,,5.7,,50.3,98.2,O
B|15.0,262,19,,7.3,,117.6,114.3,O
B|16.0,200,11,,5.5,,114.2,76.6,X
B|17.0,35,3,,8.6,,178.5,156.0,O
B|18.0,40,4,,10.0,,50.5,39.2,X
B|2.0,1434,192,,13.4,,64.9,75.0,X
B|3.0,1424,174,,12.2,,82.7,83.3,O
B|4.0,1383,157,,11.4,,103.4,85.6,O
B|5.0,1261,107,,8.5,,68.8,82.8,O
B|6.0,1243,98,,7.9,,62.8,82.7,O
B|7.0,1118,92,,8.2,,89.7,81.9,O
B|8.0,1025,65,,6.3,,65.7,81.0,O
B|9.0,851,53,,6.2,,63.9,72.2,X
C|1.0,987,63,,6.4,,56.0,70.6,X
C|10.0,713,44,,6.2,,75.3,102.4,O
C|11.0,603,33,,5.5,,134.6,90.8,O
C|12.0,518,30,,5.8,,86.6,70.6,X
C|13.0,436,31,,7.1,,58.5,69.4,X
C|14.0,348,18,,5.2,,39.2,61.8,X
C|15.0,317,12,,3.8,,95.9,74.4,X
C|16.0,182,4,,2.2,,7.9,98.0,O
C|17.0,36,2,,5.6,,72.8,102.2,O
C|18.0,30,3,,10.0,,109.9,52.0,X
C|2.0,1155,132,,11.4,,54.5,70.9,X
C|3.0,1182,135,,11.4,,85.9,88.1,O
C|4.0,1136,107,,9.4,,71.8,78.8,X
C|5.0,1129,106,,9.4,,97.7,93.7,O
C|6.0,1074,83,,7.7,,89.7,91.1,O
C|7.0,930,63,,6.8,,95.1,70.7,X
C|8.0,901,61,,6.8,,65.9,69.3,X
C|9.0,841,57,,6.8,,94.0,84.3,O
D|1.0,716,61,,8.5,,88.1,72.6,X
D|10.0,619,32,,5.2,,76.9,89.3,O
D|11.0,582,25,,4.3,,77.3,94.5,O
D|12.0,474,20,,4.2,,80.4,61.8,X
D|13.0,392,16,,4.1,,37.6,67.6,X
D|14.0,329,19,,5.8,,45.3,66.4,X
D|15.0,251,17,,6.8,,83.8,112.9,O
D|16.0,164,9,,5.5,,65.1,100.4,O
D|2.0,958,117,,12.2,,78.2,74.1,X
D|3.0,981,90,,9.2,,72.8,81.9,O
D|4.0,1000,75,,7.5,,63.4,85.5,O
D|5.0,1015,90,,8.9,,86.1,84.4,O
D|6.0,947,67,,7.1,,80.5,73.7,X
D|7.0,865,65,,7.5,,120.1,80.7,O
D|8.0,785,57,,7.3,,94.1,75.7,X
D|9.0,681,40,,5.9,,127.4,74.0,X
E|1.0,226,6,,2.7,,10.1,42.2,X
E|10.0,221,7,,3.2,,78.4,76.4,X
E|11.0,193,8,,4.1,,44.5,57.0,X
E|12.0,157,9,,5.7,,78.0,105.1,O
E|13.0,165,9,,5.5,,35.1,77.7,X
E|14.0,117,2,,1.7,,8.0,41.7,X
E|15.0,68,3,,4.4,,49.0,57.6,X
E|16.0,53,3,,5.7,,285.9,124.4,O
E|2.0,269,32,,11.9,,67.3,76.9,X
E|3.0,311,32,,10.3,,44.9,70.5,X
E|4.0,330,19,,5.8,,46.7,69.4,X
E|5.0,306,21,,6.9,,55.4,80.6,O
E|6.0,302,20,,6.6,,159.7,96.2,O
E|7.0,278,20,,7.2,,75.1,79.4,X
E|8.0,291,18,,6.2,,50.5,112.4,O
E|9.0,231,11,,4.8,,68.4,53.2,X
