bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|1,79344,9129,,11.5,,80.0,80.0,O
A|2,40500,4713,,11.6,,82.7,80.2,O
A|3,6711,712,,10.6,,71.4,75.1,X
A|4,5454,634,,11.6,,85.8,81.1,O
A|5,82,8,,9.8,,90.6,69.1,X
A|6,132,14,,10.6,,87.0,73.9,X
B|1,51704,4590,,8.9,,79.0,78.6,X
B|2,25913,2239,,8.6,,81.0,81.2,O
B|3,4898,455,,9.3,,75.7,76.3,X
B|4,3489,290,,8.3,,71.5,81.4,O
B|5,47,4,,8.5,,107.6,91.5,O
B|6,69,6,,8.7,,182.5,157.4,O
C|1,35327,2617,,7.4,,78.8,78.6,X
C|2,17770,1323,,7.4,,78.7,77.8,X
C|3,3199,231,,7.2,,82.8,88.2,O
C|4,2224,162,,7.3,,85.5,80.4,O
C|6,60,6,,10.0,,61.8,73.0,X
D|1,30217,2068,,6.8,,75.7,75.7,X
D|2,15832,1087,,6.9,,74.5,74.5,X
D|3,2825,193,,6.8,,67.0,81.9,O
D|4,2052,137,,6.7,,73.9,72.4,X
D|6,41,2,,4.9,,22.3,39.9,X
E|1,8599,487,,5.7,,68.0,75.3,X
E|2,4586,275,,6.0,,71.8,73.6,X
E|3,756,50,,6.6,,97.9,80.7,O
E|4,430,21,,4.9,,61.0,58.1,X
