bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|0.0,39973,5253,,13.1,,81.1,79.0,X
A|10.0,2224,203,,9.1,,59.8,75.7,X
A|11.0,2546,273,,10.7,,84.5,82.4,O
A|12.0,3201,310,,9.7,,77.8,74.6,X
A|13.0,864,59,,6.8,,67.9,78.8,X
A|14.0,3099,366,,11.8,,93.4,81.7,O
A|15.0,1184,100,,8.4,,84.4,79.1,X
A|16.0,487,24,,4.9,,71.6,76.4,X
A|17.0,3607,386,,10.7,,66.0,72.7,X
A|18.0,1471,118,,8.0,,57.3,77.3,X
A|19.0,767,44,,5.7,,43.1,70.9,X
A|2.0,59,5,,8.5,,60.2,98.4,O
A|20.0,4084,495,,12.1,,89.9,84.4,O
A|21.0,889,63,,7.1,,67.5,69.9,X
A|22.0,1512,148,,9.8,,81.3,79.2,X
A|23.0,773,58,,7.5,,62.6,77.5,X
A|24.0,563,46,,8.2,,66.6,81.8,O
A|25.0,4849,589,,12.1,,76.3,79.7,X
A|26.0,339,21,,6.2,,75.1,91.8,O
A|27.0,1085,99,,9.1,,73.5,86.0,O
A|28.0,289,10,,3.5,,102.0,64.0,X
A|29.0,1894,197,,10.4,,81.8,79.1,X
A|3.0,376,25,,6.6,,57.5,65.5,X
A|30.0,837,98,,11.7,,81.9,77.1,X
A|31.0,593,46,,7.8,,68.1,70.7,X
A|32.0,259,14,,5.4,,75.0,89.4,O
A|33.0,5654,678,,12.0,,81.6,83.9,O
A|34.0,33,2,,6.1,,15.4,59.7,X
A|35.0,271,17,,6.3,,43.1,76.6,X
A|36.0,618,59,,9.5,,84.5,83.5,O
A|37.0,120,7,,5.8,,36.1,43.3,X
A|38.0,1077,114,,10.6,,77.2,75.0,X
A|39.0,142,12,,8.5,,64.9,69.5,X
A|4.0,927,58,,6.3,,82.2,78.7,X
A|40.0,1842,225,,12.2,,86.4,78.0,X
A|41.0,122,6,,4.9,,84.2,70.6,X
A|42.0,270,20,,7.4,,53.0,71.9,X
A|43.0,854,95,,11.1,,74.7,89.9,O
A|44.0,502,48,,9.6,,93.7,103.4,O
A|45.0,253,29,,11.5,,82.0,71.7,X
A|46.0,162,11,,6.8,,27.1,81.7,O
A|47.0,184,20,,10.9,,95.0,115.3,O
A|48.0,58,3,,5.2,,18.4,124.6,O
A|5.0,1431,94,,6.6,,70.7,84.0,O
A|50.0,6424,790,,12.3,,80.2,79.4,X
A|52.0,37,2,,5.4,,15.1,55.3,X
A|53.0,115,10,,8.7,,91.4,77.9,X
A|54.0,101,7,,6.9,,90.6,86.5,O
A|55.0,145,10,,6.9,,26.8,83.1,O
A|56.0,249,20,,8.0,,48.3,96.3,O
A|57.0,370,36,,9.7,,66.7,70.2,X
A|58.0,98,3,,3.1,,31.3,37.5,X
A|59.0,33,3,,9.1,,99.3,101.8,O
A|6.0,1932,156,,8.1,,85.0,76.0,X
A|60.0,753,81,,10.8,,87.8,80.7,O
A|61.0,30,2,,6.7,,165.0,72.1,X
A|62.0,237,28,,11.8,,108.8,96.6,O
A|64.0,100,5,,5.0,,29.2,71.1,X
A|67.0,1965,240,,12.2,,91.6,87.3,O
A|69.0,44,2,,4.5,,114.8,80.9,O
A|7.0,1978,180,,9.1,,108.2,87.1,O
A|70.0,69,3,,4.3,,33.2,40.5,X
A|71.0,170,18,,10.6,,67.0,71.6,X
A|73.0,53,1,,1.9,,6.0,53.8,X
A|75.0,688,87,,12.6,,76.1,69.4,X
A|78.0,38,5,,13.2,,89.6,80.5,O
A|8.0,2543,230,,9.0,,85.8,83.5,O
A|80.0,282,39,,13.8,,103.1,72.1,X
A|83.0,136,14,,10.3,,44.3,63.7,X
A|86.0,82,9,,11.0,,56.2,92.9,O
A|88.0,34,4,,11.8,,58.8,87.6,O
A|9.0,1866,182,,9.8,,83.3,86.9,O
A|99.9,5616,719,,12.8,,86.2,81.6,O
B|0.0,26649,2669,,10.0,,80.2,81.0,O
B|10.0,1589,164,,10.3,,97.4,85.3,O
B|11.0,1709,135,,7.9,,80.5,84.8,O
B|12.0,2166,192,,8.9,,67.4,75.9,X
B|13.0,644,50,,7.8,,98.8,86.3,O
B|14.0,2083,211,,10.1,,92.9,78.5,X
B|15.0,858,61,,7.1,,59.8,77.5,X
B|16.0,421,30,,7.1,,48.6,80.8,O
B|17.0,2239,204,,9.1,,87.1,82.8,O
B|18.0,957,59,,6.2,,62.4,68.4,X
B|19.0,576,46,,8.0,,57.7,63.0,X
B|2.0,117,10,,8.5,,96.4,113.7,O
B|20.0,2432,220,,9.0,,73.2,80.6,O
B|21.0,652,50,,7.7,,96.7,81.8,O
B|22.0,864,82,,9.5,,83.8,67.7,X
B|23.0,499,42,,8.4,,81.1,85.0,O
B|24.0,387,25,,6.5,,62.6,56.6,X
B|25.0,2811,253,,9.0,,84.1,84.5,O
B|26.0,233,15,,6.4,,72.9,81.2,O
B|27.0,676,43,,6.4,,64.8,77.5,X
B|28.0,207,12,,5.8,,87.3,71.8,X
B|29.0,1082,94,,8.7,,56.2,64.8,X
B|3.0,501,23,,4.6,,71.8,94.9,O
B|30.0,518,40,,7.7,,59.6,80.9,O
B|31.0,390,29,,7.4,,102.2,90.3,O
B|32.0,177,14,,7.9,,120.2,84.8,O
B|33.0,3297,291,,8.8,,77.4,87.7,O
B|34.0,34,2,,5.9,,20.7,81.5,O
B|35.0,203,12,,5.9,,49.1,99.1,O
B|36.0,423,22,,5.2,,37.3,74.2,X
B|37.0,88,3,,3.4,,13.2,45.8,X
