bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0,12321,1421,,11.5,,83.6,77.1,X
10.0,4572,295,,6.5,,74.2,75.1,X
11.0,4152,257,,6.2,,70.1,72.4,X
12.0,3659,204,,5.6,,72.4,86.3,O
13.0,3125,154,,4.9,,69.1,76.7,X
14.0,2621,117,,4.5,,75.1,66.0,X
15.0,1873,107,,5.7,,79.1,71.0,X
16.0,1081,47,,4.3,,47.6,70.7,X
17.0,220,13,,5.9,,84.9,63.9,X
18.0,160,5,,3.1,,35.8,53.9,X
2.0,5978,690,,11.5,,82.5,81.2,O
3.0,5870,712,,12.1,,91.7,81.8,O
4.0,5734,618,,10.8,,82.7,79.7,X
5.0,5642,537,,9.5,,82.3,81.6,O
6.0,5519,454,,8.2,,78.3,77.8,X
7.0,5346,466,,8.7,,81.2,81.0,O
8.0,5175,412,,8.0,,75.6,79.7,X
9.0,4959,355,,7.2,,73.6,78.3,X
