bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.0,50225,2305,,4.6,,79.0,77.6,X
1.1,41,1,,2.4,,16.3,46.7,X
1.2,67,0,,0.0,,0.0,55.5,X
1.3,107,9,,8.4,,179.1,83.4,O
1.4,48,1,,2.1,,40.0,53.7,X
1.5,75,3,,4.0,,66.7,85.2,O
1.6,42,1,,2.4,,45.2,20.5,X
10.1,530,49,,9.2,,77.0,80.6,O
10.3,301,19,,6.3,,103.1,89.8,O
10.4,292,9,,3.1,,49.8,79.3,X
10.6,161,45,,28.0,,80.7,88.4,O
10.7,140,53,,37.9,,93.8,81.0,O
10.8,204,24,,11.8,,130.3,81.9,O
10.9,630,42,,6.7,,102.6,74.9,X
11.5,361,16,,4.4,,83.2,87.3,O
11.6,480,54,,11.2,,59.6,75.0,X
12.1,148,7,,4.7,,105.1,103.6,O
12.2,135,6,,4.4,,89.4,67.4,X
12.3,186,5,,2.7,,99.4,67.3,X
12.5,179,24,,13.4,,99.6,74.3,X
12.6,95,2,,2.1,,143.8,56.0,X
12.8,308,96,,31.2,,91.9,84.7,O
13.0,1822,491,,26.9,,70.3,78.4,X
13.2,68,1,,1.5,,71.2,33.9,X
13.5,100,10,,10.0,,72.0,69.3,X
13.7,116,1,,0.9,,50.7,100.2,O
13.8,685,221,,32.3,,104.6,89.4,O
14.0,391,84,,21.5,,86.3,87.4,O
14.2,1065,196,,18.4,,75.7,80.3,O
14.4,89,4,,4.5,,52.2,104.6,O
14.5,85,12,,14.1,,153.9,151.9,O
15.0,474,85,,17.9,,71.1,78.6,X
15.1,212,35,,16.5,,97.3,78.3,X
15.2,173,26,,15.0,,84.1,75.4,X
15.3,617,81,,13.1,,69.1,77.3,X
15.4,39,4,,10.3,,193.8,68.2,X
15.8,1126,365,,32.4,,77.3,81.9,O
15.9,723,229,,31.7,,74.2,87.2,O
16.3,510,65,,12.7,,85.9,77.0,X
16.5,255,27,,10.6,,78.6,74.2,X
17.3,1272,257,,20.2,,80.7,79.1,X
17.4,51,15,,29.4,,117.2,89.6,O
17.5,354,37,,10.5,,91.3,85.3,O
17.7,108,7,,6.5,,47.7,66.4,X
18.1,860,341,,39.7,,86.6,84.1,O
18.6,33,0,,0.0,,0.0,101.3,O
18.7,615,89,,14.5,,81.4,78.0,X
18.8,378,49,,13.0,,83.1,81.4,O
18.9,43,2,,4.7,,35.7,67.9,X
19.8,459,85,,18.5,,73.1,81.4,O
2.4,59,4,,6.8,,89.4,83.8,O
2.6,31,1,,3.2,,41.9,97.3,O
2.7,53,3,,5.7,,55.2,37.9,X
20.0,124,4,,3.2,,42.4,90.3,O
20.2,483,47,,9.7,,59.5,71.1,X
21.3,87,1,,1.1,,79.6,73.2,X
21.4,138,15,,10.9,,46.5,66.7,X
21.6,254,20,,7.9,,55.7,81.1,O
21.7,41,2,,4.9,,73.9,84.8,O
22.5,54,3,,5.6,,84.1,66.0,X
23.0,176,12,,6.8,,81.1,93.7,O
23.1,78,5,,6.4,,51.9,56.6,X
23.8,32,2,,6.2,,169.5,79.2,X
24.5,100,9,,9.0,,115.1,81.8,O
25.9,77,6,,7.8,,56.6,74.3,X
27.4,61,3,,4.9,,103.0,53.3,X
28.8,38,2,,5.3,,86.8,85.2,O
3.1,45,6,,13.3,,161.1,103.0,O
3.4,44,2,,4.5,,51.8,65.9,X
3.6,59,3,,5.1,,53.1,94.7,O
3.9,38,2,,5.3,,26.6,55.9,X
4.2,38,3,,7.9,,51.1,93.0,O
4.5,49,6,,12.2,,70.4,78.7,X
4.9,52,3,,5.8,,77.9,92.6,O
5.2,31,1,,3.2,,21.2,68.4,X
5.3,120,24,,20.0,,79.9,78.9,X
5.7,30,4,,13.3,,63.6,77.9,X
5.8,291,44,,15.1,,71.1,69.3,X
6.2,210,22,,10.5,,67.7,75.9,X
6.3,349,52,,14.9,,91.4,85.0,O
6.7,992,181,,18.2,,64.3,74.1,X
6.8,263,20,,7.6,,57.0,88.2,O
6.9,245,39,,15.9,,73.7,75.9,X
7.2,423,36,,8.5,,71.0,74.9,X
7.3,936,146,,15.6,,71.5,78.7,X
7.4,32,2,,6.2,,27.5,80.0,O
7.5,483,71,,14.7,,75.2,75.0,X
7.7,325,17,,5.2,,73.7,61.7,X
7.8,44,5,,11.4,,52.9,80.5,O
7.9,994,158,,15.9,,81.1,82.3,O
8.0,111,31,,27.9,,94.1,90.7,O
8.1,536,72,,13.4,,108.3,84.8,O
8.2,374,32,,8.6,,66.9,79.4,X
8.5,535,62,,11.6,,84.2,77.4,X
8.6,891,90,,10.1,,69.6,75.7,X
8.7,313,46,,14.7,,96.5,84.7,O
8.9,177,23,,13.0,,69.6,69.6,X
9.0,45,6,,13.3,,52.9,69.0,X
9.1,347,24,,6.9,,92.1,77.8,X
9.2,546,36,,6.6,,88.0,84.7,O
9.4,525,69,,13.1,,75.6,77.6,X
9.6,230,14,,6.1,,62.2,65.9,X
9.7,267,21,,7.9,,69.4,89.4,O
9.8,488,47,,9.6,,88.8,82.0,O
