bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0|1,14681,4660,,31.7,,79.4,86.4,O
0|2,14726,2748,,18.7,,80.0,82.1,O
0|3,14713,1925,,13.1,,81.0,80.3,O
0|4,14646,1308,,8.9,,73.8,79.9,X
0|5,14396,1010,,7.0,,77.1,77.1,X
0|6,13737,766,,5.6,,81.5,77.8,X
0|7,12679,598,,4.7,,83.2,77.5,X
1|1,9606,2740,,28.5,,78.7,83.1,O
1|2,9617,1724,,17.9,,79.4,82.2,O
1|3,9656,1253,,13.0,,78.4,80.4,O
1|4,9664,884,,9.1,,71.9,78.0,X
1|5,9533,784,,8.2,,90.9,81.1,O
1|6,9261,582,,6.3,,83.6,77.7,X
1|7,8590,395,,4.6,,67.9,74.3,X
2|1,4397,1342,,30.5,,83.5,84.1,O
2|2,4388,779,,17.8,,75.8,81.5,O
2|3,4394,519,,11.8,,70.9,80.5,O
2|4,4399,437,,9.9,,76.6,77.8,X
2|5,4342,273,,6.3,,66.3,68.9,X
2|6,4195,250,,6.0,,73.9,77.9,X
2|7,3910,187,,4.8,,70.2,74.3,X
3|1,1948,527,,27.1,,81.4,78.5,X
3|2,1954,324,,16.6,,73.9,82.6,O
3|3,1956,217,,11.1,,62.8,76.3,X
3|4,1970,197,,10.0,,80.9,81.4,O
3|5,1964,137,,7.0,,67.1,69.1,X
3|6,1901,118,,6.2,,85.4,77.7,X
3|7,1859,97,,5.2,,72.6,73.5,X
9|1,2213,611,,27.6,,81.1,84.6,O
9|2,2146,339,,15.8,,79.2,80.1,O
9|3,2099,257,,12.2,,67.5,76.0,X
9|4,2005,206,,10.3,,87.3,78.7,X
9|5,1968,153,,7.8,,82.3,84.6,O
9|6,1869,123,,6.6,,76.9,78.4,X
9|7,1765,85,,4.8,,76.6,82.8,O
