bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0|111,603,61,,10.1,,87.4,77.8,X
0|112,93,10,,10.8,,34.4,90.5,O
0|113,52,0,,0.0,,0.0,33.1,X
0|121,290,34,,11.7,,71.4,66.2,X
0|122,656,64,,9.8,,125.4,87.5,O
0|132,153,22,,14.4,,78.7,68.3,X
0|133,81,8,,9.9,,134.2,69.0,X
0|21,38,2,,5.3,,20.4,117.1,O
0|211,1351,118,,8.7,,65.6,77.9,X
0|212,290,24,,8.3,,53.5,76.6,X
0|213,91,10,,11.0,,53.9,50.3,X
0|22,2149,234,,10.9,,81.1,85.6,O
0|221,2278,244,,10.7,,90.5,82.8,O
0|222,53211,5360,,10.1,,77.7,80.8,O
0|223,4702,465,,9.9,,73.7,76.4,X
0|232,11334,1161,,10.2,,80.4,81.0,O
0|233,12071,1038,,8.6,,77.8,82.1,O
0|3,97,5,,5.2,,20.3,96.4,O
0|311,41,6,,14.6,,48.3,60.5,X
0|32,1237,104,,8.4,,73.3,74.6,X
0|321,206,16,,7.8,,98.0,87.7,O
0|322,2644,273,,10.3,,78.8,74.7,X
0|323,6253,532,,8.5,,76.5,80.4,O
0|33,2337,179,,7.7,,72.9,71.2,X
0|331,72,8,,11.1,,232.1,94.2,O
0|332,2644,256,,9.7,,74.3,82.8,O
0|333,10927,895,,8.2,,69.5,74.5,X
1|111,687,57,,8.3,,62.0,88.5,O
1|121,322,36,,11.2,,93.0,73.8,X
1|122,562,70,,12.5,,83.5,81.2,O
1|132,149,17,,11.4,,47.1,75.9,X
1|133,79,5,,6.3,,47.0,81.7,O
1|211,1309,124,,9.5,,99.9,84.1,O
1|212,153,10,,6.5,,37.1,72.5,X
1|213,63,2,,3.2,,13.0,68.6,X
1|22,1139,123,,10.8,,84.4,83.4,O
1|221,2373,236,,9.9,,85.2,81.3,O
1|222,46113,4325,,9.4,,77.0,79.7,X
1|223,2639,272,,10.3,,81.0,77.4,X
1|232,16557,1435,,8.7,,84.3,78.9,X
1|233,15843,1211,,7.6,,74.3,76.5,X
1|311,63,7,,11.1,,78.8,55.3,X
1|32,552,70,,12.7,,99.9,91.8,O
1|321,131,14,,10.7,,119.6,79.8,X
1|322,2046,200,,9.8,,85.8,76.5,X
1|323,4159,378,,9.1,,77.3,74.0,X
1|33,1038,87,,8.4,,70.8,72.9,X
1|332,2031,193,,9.5,,88.2,77.7,X
1|333,8006,626,,7.8,,72.4,74.1,X
2|111,367,26,,7.1,,39.2,75.0,X
2|121,158,17,,10.8,,49.1,67.0,X
2|122,312,23,,7.4,,73.2,69.1,X
2|132,84,11,,13.1,,95.3,81.2,O
2|133,39,2,,5.1,,38.2,98.3,O
2|211,884,70,,7.9,,103.6,81.6,O
2|22,291,40,,13.7,,130.3,87.1,O
2|221,1420,119,,8.4,,74.7,78.1,X
2|222,20684,2023,,9.8,,83.1,81.4,O
2|223,811,89,,11.0,,90.8,74.6,X
2|232,10543,871,,8.3,,74.9,77.1,X
2|233,6907,509,,7.4,,65.8,72.2,X
2|32,147,20,,13.6,,71.8,86.1,O
2|321,85,10,,11.8,,60.1,63.0,X
2|322,885,68,,7.7,,73.7,83.2,O
2|323,1438,120,,8.3,,63.1,68.3,X
2|33,182,17,,9.3,,40.3,55.8,X
2|332,1021,73,,7.1,,61.6,74.4,X
2|333,3157,267,,8.5,,74.4,73.7,X
3|111,119,12,,10.1,,200.1,112.1,O
3|121,84,8,,9.5,,138.3,95.8,O
3|122,123,9,,7.3,,74.5,100.9,O
3|132,58,1,,1.7,,5.0,73.7,X
3|211,503,26,,5.2,,50.2,63.2,X
3|22,64,9,,14.1,,149.8,97.6,O
3|221,744,57,,7.7,,74.7,81.5,O
3|222,9911,914,,9.2,,84.8,79.7,X
3|223,259,22,,8.5,,86.6,85.5,O
3|232,6065,440,,7.3,,87.5,80.6,O
3|233,2568,212,,8.3,,88.6,74.7,X
3|32,43,4,,9.3,,36.7,80.4,O
3|321,51,3,,5.9,,96.4,58.3,X
3|322,306,29,,9.5,,59.0,65.8,X
3|323,440,35,,8.0,,87.3,83.9,O
3|33,47,2,,4.3,,35.1,44.8,X
3|332,483,38,,7.9,,77.2,77.5,X
3|333,1413,119,,8.4,,91.0,80.9,O
9|111,169,8,,4.7,,64.5,75.6,X
9|121,90,10,,11.1,,85.2,58.9,X
9|122,55,5,,9.1,,76.4,55.4,X
9|132,55,10,,18.2,,90.4,76.4,X
9|211,350,27,,7.7,,90.4,77.4,X
9|22,74,6,,8.1,,52.1,55.3,X
9|221,715,69,,9.7,,70.7,78.4,X
9|222,10080,935,,9.3,,82.7,78.4,X
9|223,173,26,,15.0,,87.3,73.6,X
9|232,6820,555,,8.1,,73.5,79.1,X
9|233,2180,161,,7.4,,61.4,80.1,O
9|32,42,5,,11.9,,77.0,71.0,X
9|321,40,3,,7.5,,43.9,41.2,X
9|322,375,26,,6.9,,45.7,70.1,X
9|323,282,31,,11.0,,66.0,70.7,X
9|33,64,5,,7.8,,235.4,127.9,O
9|332,601,55,,9.2,,102.2,90.5,O
9|333,1431,99,,6.9,,66.5,67.0,X
