bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|1000,641,15,,2.3,,79.5,88.3,O
10|1150,277,7,,2.5,,66.9,62.7,X
10|1200,4634,124,,2.7,,78.7,82.6,O
10|1300,178,2,,1.1,,58.7,65.9,X
10|1400,3133,85,,2.7,,91.2,75.4,X
10|1500,107,2,,1.9,,98.8,92.5,O
10|1600,2435,61,,2.5,,84.5,79.0,X
10|1700,1411,40,,2.8,,84.9,86.8,O
10|1800,4650,111,,2.4,,75.3,75.9,X
10|1900,257,4,,1.6,,40.4,83.7,O
10|2000,1880,54,,2.9,,108.2,78.8,X
10|2100,275,5,,1.8,,55.4,77.1,X
10|2200,359,14,,3.9,,108.5,73.3,X
10|2400,376,8,,2.1,,64.6,101.0,O
10|2500,88,1,,1.1,,11.1,26.9,X
10|2600,247,9,,3.6,,122.4,65.5,X
10|2750,64,1,,1.6,,24.6,79.2,X
10|2770,40,1,,2.5,,77.6,115.6,O
10|2850,75,4,,5.3,,170.4,149.3,O
10|2860,70,3,,4.3,,265.0,150.1,O
10|2880,51,0,,0.0,,0.0,60.4,X
10|2890,61,1,,1.6,,86.7,68.8,X
10|2970,50,1,,2.0,,55.6,94.0,O
10|3000,122,2,,1.6,,61.3,59.9,X
10|3110,30,0,,0.0,,0.0,142.0,O
11|1000,527,17,,3.2,,100.0,79.2,X
11|1150,224,7,,3.1,,197.4,95.4,O
11|1200,3876,115,,3.0,,100.4,72.8,X
11|1300,144,4,,2.8,,221.0,90.7,O
11|1400,2601,58,,2.2,,86.6,73.2,X
11|1500,93,3,,3.2,,188.6,78.9,X
11|1600,1882,41,,2.2,,72.9,77.1,X
11|1700,1180,26,,2.2,,87.0,73.2,X
11|1800,3591,53,,1.5,,62.5,75.9,X
11|1900,192,3,,1.6,,32.5,58.8,X
11|2000,1402,24,,1.7,,53.2,71.8,X
11|2100,216,4,,1.9,,50.7,74.7,X
11|2200,267,3,,1.1,,15.7,56.9,X
11|2400,256,4,,1.6,,85.4,78.5,X
11|2500,61,2,,3.3,,111.0,78.5,X
11|2600,192,4,,2.1,,64.8,108.2,O
11|2750,46,2,,4.3,,166.6,31.6,X
11|2850,62,1,,1.6,,59.0,149.0,O
11|2860,49,2,,4.1,,147.3,60.7,X
11|2880,33,0,,0.0,,0.0,104.1,O
11|2890,47,2,,4.3,,59.4,126.3,O
11|3000,83,2,,2.4,,160.4,95.1,O
12|1000,420,5,,1.2,,60.2,62.0,X
12|1150,207,3,,1.4,,22.8,54.3,X
12|1200,3261,63,,1.9,,74.7,89.0,O
12|1300,118,3,,2.5,,78.6,56.6,X
12|1400,2108,44,,2.1,,81.7,74.4,X
12|1500,55,0,,0.0,,0.0,140.0,O
12|1600,1489,25,,1.7,,64.8,78.6,X
12|1700,924,14,,1.5,,67.7,75.3,X
12|1800,2669,49,,1.8,,75.2,82.2,O
12|1900,143,4,,2.8,,227.8,91.5,O
12|2000,1080,26,,2.4,,104.7,75.0,X
12|2100,160,2,,1.2,,117.3,64.3,X
12|2200,202,8,,4.0,,128.2,96.1,O
12|2400,196,5,,2.6,,59.4,48.9,X
12|2500,53,0,,0.0,,0.0,13.0,X
12|2600,143,1,,0.7,,14.3,49.8,X
12|2850,44,0,,0.0,,0.0,26.1,X
12|2890,39,1,,2.6,,15.4,77.2,X
12|3000,69,0,,0.0,,0.0,101.9,O
13|1000,245,8,,3.3,,88.1,86.3,O
13|1150,158,3,,1.9,,134.4,83.9,O
13|1200,2562,53,,2.1,,84.8,86.6,O
13|1300,86,0,,0.0,,0.0,72.2,X
13|1400,1593,28,,1.8,,78.8,82.3,O
13|1500,42,0,,0.0,,0.0,38.9,X
13|1600,1050,17,,1.6,,73.7,64.4,X
13|1700,705,15,,2.1,,116.2,75.7,X
13|1800,1929,34,,1.8,,91.9,95.4,O
13|1900,100,3,,3.0,,116.5,81.8,O
13|2000,814,22,,2.7,,144.5,90.3,O
13|2100,122,1,,0.8,,7.8,74.1,X
13|2200,126,2,,1.6,,123.7,58.1,X
13|2400,109,1,,0.9,,32.6,143.5,O
13|2500,31,1,,3.2,,209.2,64.4,X
13|2600,115,3,,2.6,,182.5,135.1,O
13|3000,42,1,,2.4,,43.7,61.2,X
14|1000,185,2,,1.1,,81.0,52.9,X
14|1150,116,2,,1.7,,186.2,93.5,O
14|1200,1976,34,,1.7,,85.6,87.9,O
14|1300,61,3,,4.9,,420.3,176.9,O
14|1400,1180,19,,1.6,,82.7,82.6,O
14|1600,755,9,,1.2,,102.2,87.8,O
14|1700,496,11,,2.2,,121.8,100.1,O
14|1800,1342,24,,1.8,,93.5,94.8,O
14|1900,77,1,,1.3,,60.5,85.0,O
14|2000,564,6,,1.1,,44.1,66.6,X
14|2100,97,0,,0.0,,0.0,45.4,X
14|2200,97,1,,1.0,,31.6,22.8,X
14|2400,74,0,,0.0,,0.0,16.8,X
14|2600,72,1,,1.4,,69.8,78.3,X
14|3000,33,0,,0.0,,0.0,31.0,X
15|1000,94,1,,1.1,,40.9,81.0,O
15|1150,87,0,,0.0,,0.0,71.6,X
15|1200,1372,26,,1.9,,97.6,89.7,O
15|1300,41,1,,2.4,,189.5,105.0,O
15|1400,830,10,,1.2,,66.5,83.2,O
15|1600,477,3,,0.6,,15.2,53.0,X
15|1700,248,4,,1.6,,130.6,88.9,O
15|1800,828,9,,1.1,,50.4,65.0,X
15|1900,48,0,,0.0,,0.0,87.9,O
15|2000,370,3,,0.8,,58.5,48.9,X
15|2100,57,0,,0.0,,0.0,63.9,X
15|2200,68,2,,2.9,,152.0,73.7,X
15|2400,48,0,,0.0,,0.0,73.5,X
15|2600,36,0,,0.0,,0.0,15.1,X
16|1000,76,6,,7.9,,201.2,92.7,O
16|1150,55,4,,7.3,,324.0,197.5,O
16|1200,820,6,,0.7,,22.8,67.5,X
16|1400,522,8,,1.5,,83.4,99.6,O
16|1600,285,3,,1.1,,62.1,80.3,O
16|1700,95,1,,1.1,,91.6,44.0,X
16|1800,397,9,,2.3,,117.1,86.5,O
16|2000,216,10,,4.6,,208.5,133.6,O
16|2100,40,1,,2.5,,107.5,75.0,X
16|2200,40,2,,5.0,,313.1,190.3,O
17|1000,41,1,,2.4,,173.3,44.0,X
17|1200,199,4,,2.0,,127.9,108.5,O
17|1400,126,4,,3.2,,248.1,109.9,O
17|1600,66,1,,1.5,,73.0,103.6,O
17|2000,70,0,,0.0,,0.0,53.8,X
18|1200,117,1,,0.9,,48.5,86.4,O
18|1400,63,0,,0.0,,0.0,40.7,X
18|1600,35,0,,0.0,,0.0,0.0,X
18|2000,36,1,,2.8,,261.1,56.1,X
1|1000,860,248,,28.8,,74.7,80.0,O
1|1150,341,90,,26.4,,69.6,78.2,X
1|1200,6208,1886,,30.4,,79.4,83.9,O
1|1300,242,75,,31.0,,75.7,81.0,O
1|1400,4293,1299,,30.3,,77.9,82.0,O
1|1500,191,72,,37.7,,101.0,85.0,O
1|1600,3881,1281,,33.0,,77.8,84.1,O
1|1700,1922,577,,30.0,,78.3,80.9,O
1|1800,7619,2524,,33.1,,77.5,83.8,O
1|1900,403,120,,29.8,,69.9,83.0,O
1|2000,3388,1059,,31.3,,74.7,81.4,O
1|2100,349,105,,30.1,,81.7,86.3,O
1|2200,660,194,,29.4,,72.6,86.4,O
1|2400,732,242,,33.1,,77.7,80.9,O
1|2500,142,58,,40.8,,105.1,94.1,O
1|2600,356,100,,28.1,,72.6,77.8,X
1|2750,105,36,,34.3,,79.4,92.3,O
1|2770,53,21,,39.6,,119.4,110.9,O
1|2850,119,44,,37.0,,80.7,88.4,O
1|2860,131,51,,38.9,,88.9,91.1,O
1|2880,83,27,,32.5,,71.1,70.8,X
1|2890,87,27,,31.0,,78.8,86.8,O
1|2910,37,16,,43.2,,101.4,99.6,O
1|2970,87,27,,31.0,,77.6,85.6,O
1|3000,181,72,,39.8,,93.3,91.0,O
1|3110,48,14,,29.2,,57.2,53.6,X
1|3170,33,9,,27.3,,42.4,78.2,X
1|3390,30,13,,43.3,,116.9,102.9,O
2|1000,859,146,,17.0,,87.1,87.8,O
2|1150,343,84,,24.5,,103.5,87.8,O
2|1200,6207,1119,,18.0,,78.7,80.2,O
2|1300,243,53,,21.8,,81.8,88.4,O
2|1400,4286,771,,18.0,,78.6,82.6,O
2|1500,192,36,,18.8,,63.4,83.2,O
2|1600,3885,737,,19.0,,80.0,81.4,O
2|1700,1914,323,,16.9,,74.8,76.2,X
2|1800,7612,1437,,18.9,,76.3,81.3,O
2|1900,403,72,,17.9,,75.0,81.5,O
2|2000,3384,665,,19.7,,79.8,82.9,O
2|2100,349,70,,20.1,,86.3,81.3,O
2|2200,659,132,,20.0,,69.4,76.2,X
2|2400,732,153,,20.9,,81.9,82.7,O
2|2500,142,22,,15.5,,55.7,75.2,X
2|2600,354,71,,20.1,,87.6,80.1,O
2|2750,106,24,,22.6,,118.4,92.8,O
2|2770,55,11,,20.0,,99.6,70.2,X
2|2850,117,21,,17.9,,66.3,77.6,X
2|2860,130,30,,23.1,,98.8,90.7,O
2|2880,88,18,,20.5,,80.5,85.3,O
2|2890,89,13,,14.6,,57.3,75.9,X
2|2910,33,5,,15.2,,44.9,84.1,O
2|2970,81,19,,23.5,,80.3,88.0,O
2|3000,178,26,,14.6,,64.7,78.3,X
2|3110,51,8,,15.7,,79.4,97.8,O
2|3170,32,7,,21.9,,106.2,88.7,O
3|1000,860,113,,13.1,,79.5,85.4,O
3|1150,344,37,,10.8,,65.8,73.1,X
3|1200,6212,807,,13.0,,78.2,78.6,X
3|1300,244,26,,10.7,,63.3,66.5,X
3|1400,4297,566,,13.2,,77.0,76.4,X
3|1500,192,28,,14.6,,81.3,73.0,X
3|1600,3882,522,,13.4,,80.0,81.7,O
3|1700,1920,248,,12.9,,75.3,76.2,X
3|1800,7620,1000,,13.1,,74.4,80.6,O
3|1900,401,51,,12.7,,71.4,79.3,X
3|2000,3394,503,,14.8,,83.2,80.6,O
3|2100,346,29,,8.4,,47.2,68.7,X
3|2200,659,95,,14.4,,82.9,81.0,O
3|2400,725,102,,14.1,,74.8,83.9,O
3|2500,141,19,,13.5,,67.2,95.7,O
3|2600,356,40,,11.2,,63.8,76.0,X
3|2750,99,13,,13.1,,72.3,80.7,O
3|2770,53,5,,9.4,,53.0,88.5,O
3|2850,116,15,,12.9,,90.3,83.5,O
3|2860,129,11,,8.5,,38.2,75.9,X
3|2880,84,13,,15.5,,86.5,91.7,O
3|2890,87,10,,11.5,,79.4,76.0,X
3|2910,37,5,,13.5,,128.2,85.2,O
3|2970,88,18,,20.5,,105.6,78.1,X
3|3000,181,25,,13.8,,112.7,65.1,X
3|3110,51,9,,17.6,,100.9,89.5,O
3|3170,33,3,,9.1,,17.7,69.3,X
4|1000,863,86,,10.0,,77.0,63.1,X
4|1150,343,47,,13.7,,126.0,89.0,O
4|1200,6211,578,,9.3,,74.1,76.5,X
4|1300,240,18,,7.5,,59.7,76.7,X
4|1400,4290,436,,10.2,,82.6,80.8,O
4|1500,192,21,,10.9,,95.7,72.0,X
4|1600,3879,366,,9.4,,76.5,76.2,X
4|1700,1920,198,,10.3,,77.9,82.7,O
4|1800,7609,729,,9.6,,79.3,76.6,X
4|1900,400,45,,11.2,,95.7,77.8,X
4|2000,3392,319,,9.4,,75.9,79.9,X
4|2100,348,31,,8.9,,56.6,69.1,X
4|2200,657,71,,10.8,,81.3,82.7,O
4|2400,730,64,,8.8,,66.3,75.4,X
4|2500,142,18,,12.7,,102.1,61.3,X
4|2600,356,38,,10.7,,78.1,75.9,X
4|2750,100,8,,8.0,,44.7,71.2,X
4|2770,57,6,,10.5,,115.4,79.0,X
4|2850,114,7,,6.1,,59.1,92.7,O
4|2860,127,14,,11.0,,68.4,64.0,X
4|2880,86,11,,12.8,,100.5,95.2,O
4|2890,88,10,,11.4,,88.4,81.4,O
4|2910,37,6,,16.2,,191.3,100.3,O
4|2970,86,9,,10.5,,85.4,85.5,O
4|3000,180,18,,10.0,,55.4,74.1,X
4|3110,48,7,,14.6,,132.3,97.6,O
4|3170,31,3,,9.7,,83.4,129.0,O
5|1000,854,56,,6.6,,59.6,67.8,X
5|1150,344,15,,4.4,,33.1,73.5,X
5|1200,6207,442,,7.1,,75.8,78.2,X
5|1300,244,10,,4.1,,61.6,67.2,X
5|1400,4274,317,,7.4,,73.2,75.6,X
5|1500,191,10,,5.2,,68.1,88.2,O
5|1600,3873,271,,7.0,,74.4,80.0,O
5|1700,1916,151,,7.9,,77.3,80.6,O
5|1800,7597,526,,6.9,,78.9,73.9,X
5|1900,401,36,,9.0,,80.0,68.9,X
5|2000,3372,232,,6.9,,80.4,77.0,X
5|2100,350,34,,9.7,,94.3,88.6,O
5|2200,657,58,,8.8,,90.7,77.7,X
5|2400,730,62,,8.5,,101.1,77.5,X
5|2500,141,6,,4.3,,49.9,62.4,X
5|2600,356,29,,8.1,,85.2,68.8,X
5|2750,104,7,,6.7,,63.0,61.5,X
5|2770,56,3,,5.4,,101.6,62.3,X
5|2850,116,8,,6.9,,72.9,70.6,X
5|2860,124,10,,8.1,,129.8,88.5,O
5|2880,84,9,,10.7,,103.9,73.7,X
5|2890,89,11,,12.4,,140.9,80.2,O
5|2910,37,4,,10.8,,120.2,81.3,O
5|2970,85,9,,10.6,,103.2,74.6,X
5|3000,177,17,,9.6,,111.3,77.4,X
5|3110,50,3,,6.0,,181.9,112.5,O
5|3170,30,5,,16.7,,270.6,157.5,O
6|1000,852,55,,6.5,,76.6,77.0,X
6|1150,341,18,,5.3,,62.3,82.3,O
6|1200,6166,358,,5.8,,79.6,73.1,X
6|1300,241,14,,5.8,,108.3,87.0,O
6|1400,4267,234,,5.5,,80.9,75.2,X
6|1500,190,7,,3.7,,45.9,92.4,O
6|1600,3825,189,,4.9,,72.4,75.5,X
6|1700,1908,101,,5.3,,76.6,84.4,O
6|1800,7509,396,,5.3,,77.7,74.4,X
6|1900,394,23,,5.8,,89.2,95.7,O
6|2000,3310,173,,5.2,,73.9,74.9,X
6|2100,346,28,,8.1,,109.2,72.5,X
6|2200,643,24,,3.7,,38.6,75.2,X
6|2400,714,34,,4.8,,68.4,73.9,X
6|2500,141,3,,2.1,,16.2,61.0,X
6|2600,350,23,,6.6,,91.4,90.4,O
6|2750,101,6,,5.9,,85.6,77.0,X
