bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|0,29528,2042,,6.9,,78.9,80.1,O
A|1,22133,1839,,8.3,,81.6,79.1,X
A|2,33693,3081,,9.1,,76.9,79.4,X
A|3,939,88,,9.4,,66.0,72.2,X
A|5,27514,2349,,8.5,,76.4,79.9,X
A|6,269,22,,8.2,,112.4,80.8,O
B|0,21663,1133,,5.2,,76.4,74.5,X
B|1,16466,1141,,6.9,,79.1,77.5,X
B|2,19650,1391,,7.1,,78.0,76.0,X
B|3,703,57,,8.1,,156.9,91.4,O
B|5,15676,1072,,6.8,,81.8,81.5,O
B|6,139,7,,5.0,,71.5,49.1,X
C|0,16255,675,,4.2,,84.6,78.7,X
C|1,12354,725,,5.9,,71.0,76.5,X
C|2,12467,723,,5.8,,77.0,78.2,X
C|3,381,29,,7.6,,77.8,65.9,X
C|5,10119,553,,5.5,,70.4,79.0,X
C|6,130,9,,6.9,,70.0,45.6,X
D|0,3793,120,,3.2,,72.6,68.9,X
D|1,1782,71,,4.0,,57.6,58.7,X
D|2,1477,70,,4.7,,58.7,74.1,X
D|3,55,2,,3.6,,42.7,55.6,X
D|5,1291,55,,4.3,,68.9,63.0,X
D|6,41,5,,12.2,,140.0,82.2,O
S|0,26510,3471,,13.1,,83.9,79.2,X
S|1,16698,2167,,13.0,,76.7,77.3,X
S|2,32596,4978,,15.3,,81.2,82.2,O
S|3,804,125,,15.5,,73.3,74.9,X
S|5,29520,4354,,14.7,,80.1,80.5,O
S|6,479,69,,14.4,,95.9,74.9,X
