bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
A|1,9422,2244,,23.8,,75.2,81.6,O
A|2,10035,1538,,15.3,,79.3,82.2,O
A|3,10223,1199,,11.7,,78.0,80.4,O
A|4,10400,904,,8.7,,68.4,77.0,X
A|5,10445,776,,7.4,,76.9,78.7,X
A|6,9939,650,,6.5,,81.9,76.7,X
B|1,4755,993,,20.9,,78.1,82.0,O
B|2,5413,769,,14.2,,87.2,83.5,O
B|3,5891,629,,10.7,,81.0,79.3,X
B|4,6044,484,,8.0,,83.6,79.3,X
B|5,6309,361,,5.7,,71.7,77.6,X
B|6,6456,329,,5.1,,73.6,75.4,X
C|1,2895,545,,18.8,,79.9,82.8,O
C|2,3485,420,,12.1,,77.1,81.4,O
C|3,3826,300,,7.8,,74.2,80.2,O
C|4,4249,277,,6.5,,83.4,78.3,X
C|5,4538,252,,5.6,,83.1,82.4,O
C|6,4536,205,,4.5,,86.3,79.9,X
D|1,411,60,,14.6,,70.8,85.9,O
D|2,502,50,,10.0,,60.3,67.4,X
D|3,624,42,,6.7,,74.9,73.3,X
D|4,682,37,,5.4,,101.0,71.6,X
D|5,763,20,,2.6,,45.4,67.6,X
D|6,775,18,,2.3,,58.7,64.8,X
S|1,15335,4833,,31.5,,80.8,85.1,O
S|2,13320,2840,,21.3,,82.6,83.9,O
S|3,12053,1983,,16.5,,77.8,81.2,O
S|4,10998,1465,,13.3,,79.4,79.5,X
S|5,9539,1036,,10.9,,75.1,78.1,X
S|6,8446,786,,9.3,,73.7,79.6,X
