bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.0|0,267,2,,0.7,,33.2,28.6,X
0.0|1,137,2,,1.5,,65.6,27.5,X
0.0|2,99,2,,2.0,,266.7,127.3,O
0.0|5,90,1,,1.1,,16.1,144.1,O
0.1|0,3866,41,,1.1,,51.1,69.3,X
0.1|1,2405,42,,1.7,,94.7,86.3,O
0.1|2,2075,38,,1.8,,87.1,79.7,X
0.1|3,52,2,,3.8,,258.2,88.3,O
0.1|5,1937,29,,1.5,,78.9,82.6,O
0.1|6,33,0,,0.0,,0.0,36.4,X
0.2|0,12543,197,,1.6,,81.1,75.6,X
0.2|1,9072,164,,1.8,,76.8,78.0,X
0.2|2,9652,196,,2.0,,82.8,78.0,X
0.2|3,251,7,,2.8,,111.0,60.9,X
0.2|5,8421,149,,1.8,,76.2,79.8,X
0.2|6,107,2,,1.9,,38.5,10.2,X
0.3|0,6502,102,,1.6,,57.0,73.9,X
0.3|1,3461,79,,2.3,,91.5,73.8,X
0.3|2,4311,91,,2.1,,78.5,72.9,X
0.3|3,124,3,,2.4,,140.4,72.3,X
0.3|5,3979,78,,2.0,,64.1,71.5,X
0.3|6,53,1,,1.9,,94.8,46.5,X
0.4|0,13530,311,,2.3,,79.1,76.2,X
0.4|1,9646,292,,3.0,,84.3,77.4,X
0.4|2,12608,360,,2.9,,76.2,79.6,X
0.4|3,355,11,,3.1,,118.3,71.4,X
0.4|5,10522,312,,3.0,,79.6,79.5,X
0.4|6,108,6,,5.6,,179.6,86.9,O
0.5|0,4729,135,,2.9,,90.2,80.2,O
0.5|1,2180,66,,3.0,,69.6,82.3,O
0.5|2,3281,110,,3.4,,74.5,81.4,O
0.5|3,87,2,,2.3,,89.4,76.0,X
0.5|5,2778,102,,3.7,,75.2,75.8,X
0.5|6,34,0,,0.0,,0.0,5.5,X
0.6|0,6994,257,,3.7,,80.9,75.8,X
0.6|1,5321,191,,3.6,,63.2,70.6,X
0.6|2,7214,272,,3.8,,79.0,78.8,X
0.6|3,206,7,,3.4,,80.7,64.9,X
0.6|5,6180,263,,4.3,,79.7,79.4,X
0.6|6,67,5,,7.5,,198.6,83.5,O
0.7|0,5372,234,,4.4,,90.4,82.6,O
0.7|1,3485,157,,4.5,,65.5,74.9,X
0.7|2,4731,236,,5.0,,84.0,78.0,X
0.7|3,138,6,,4.3,,62.4,74.4,X
0.7|5,4081,213,,5.2,,80.0,81.8,O
0.7|6,58,3,,5.2,,58.8,63.9,X
0.8|0,5076,295,,5.8,,90.3,76.2,X
0.8|1,3475,217,,6.2,,81.6,77.3,X
0.8|2,5023,295,,5.9,,80.8,78.5,X
0.8|3,151,6,,4.0,,38.0,82.2,O
0.8|5,4151,245,,5.9,,79.3,81.8,O
0.8|6,66,5,,7.6,,116.0,82.8,O
0.9|0,4226,273,,6.5,,85.4,76.9,X
0.9|1,3244,193,,5.9,,69.1,73.9,X
0.9|2,4838,331,,6.8,,77.3,75.7,X
0.9|3,159,7,,4.4,,52.9,64.9,X
0.9|5,4044,287,,7.1,,83.4,80.0,O
0.9|6,42,2,,4.8,,37.5,107.0,O
1.0|0,3060,213,,7.0,,86.5,79.2,X
1.0|1,1691,112,,6.6,,74.4,78.1,X
1.0|2,2754,219,,8.0,,72.6,83.6,O
1.0|3,80,9,,11.2,,159.3,71.2,X
1.0|5,2347,171,,7.3,,80.1,72.5,X
1.0|6,40,4,,10.0,,151.5,110.2,O
1.1|0,3029,231,,7.6,,75.1,78.6,X
1.1|1,2504,220,,8.8,,79.1,79.0,X
1.1|2,3676,310,,8.4,,80.3,79.7,X
1.1|3,118,11,,9.3,,78.8,90.8,O
