bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.0|1.0,36,1,,2.8,,286.1,71.4,X
0.0|10.0,59,0,,0.0,,0.0,121.5,O
0.0|11.0,47,2,,4.3,,138.6,97.0,O
0.0|12.0,46,2,,4.3,,432.7,176.7,O
0.0|13.0,37,1,,2.7,,102.3,119.0,O
0.0|14.0,37,0,,0.0,,0.0,87.2,O
0.0|8.0,42,0,,0.0,,0.0,20.3,X
0.0|9.0,37,0,,0.0,,0.0,115.6,O
0.1|1.0,656,10,,1.5,,40.5,55.7,X
0.1|10.0,883,9,,1.0,,66.4,100.0,O
0.1|11.0,786,13,,1.7,,120.7,122.4,O
0.1|12.0,704,10,,1.4,,47.1,69.2,X
0.1|13.0,627,11,,1.8,,87.3,73.6,X
0.1|14.0,543,8,,1.5,,77.6,79.0,X
0.1|15.0,410,6,,1.5,,133.5,79.9,X
0.1|16.0,327,6,,1.8,,114.1,79.2,X
0.1|17.0,67,0,,0.0,,0.0,61.4,X
0.1|18.0,43,0,,0.0,,0.0,71.7,X
0.1|2.0,84,0,,0.0,,0.0,55.2,X
0.1|3.0,132,2,,1.5,,91.2,85.3,O
0.1|4.0,242,2,,0.8,,37.4,40.7,X
0.1|5.0,402,5,,1.2,,63.7,78.0,X
0.1|6.0,607,9,,1.5,,53.7,63.9,X
0.1|7.0,848,17,,2.0,,97.6,84.3,O
0.1|8.0,949,12,,1.3,,47.1,77.7,X
0.1|9.0,959,19,,2.0,,112.1,80.2,O
0.2|1.0,2626,35,,1.3,,40.4,69.5,X
0.2|10.0,3183,56,,1.8,,94.6,75.3,X
0.2|11.0,2809,66,,2.3,,107.6,101.3,O
0.2|12.0,2500,51,,2.0,,90.5,81.2,O
0.2|13.0,2167,36,,1.7,,82.3,80.8,O
0.2|14.0,1726,28,,1.6,,82.8,78.9,X
0.2|15.0,1391,34,,2.4,,122.9,82.4,O
0.2|16.0,957,24,,2.5,,95.1,56.1,X
0.2|17.0,238,5,,2.1,,116.0,111.0,O
0.2|18.0,143,1,,0.7,,11.2,34.9,X
0.2|2.0,411,6,,1.5,,54.0,65.5,X
0.2|3.0,685,16,,2.3,,108.2,82.3,O
0.2|4.0,1424,23,,1.6,,60.9,76.7,X
0.2|5.0,2395,38,,1.6,,71.2,72.5,X
0.2|6.0,3086,52,,1.7,,72.8,73.6,X
0.2|7.0,3516,72,,2.0,,86.3,85.6,O
0.2|8.0,3729,62,,1.7,,75.8,67.2,X
0.2|9.0,3535,60,,1.7,,62.8,80.9,O
0.3|1.0,1379,26,,1.9,,74.3,71.0,X
0.3|10.0,1352,23,,1.7,,65.8,85.4,O
0.3|11.0,1150,19,,1.7,,73.6,74.9,X
0.3|12.0,1045,21,,2.0,,99.9,78.0,X
0.3|13.0,840,11,,1.3,,46.1,62.2,X
0.3|14.0,705,14,,2.0,,69.1,77.3,X
0.3|15.0,474,7,,1.5,,35.1,43.6,X
0.3|16.0,377,8,,2.1,,137.5,82.9,O
