bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.0|01,34,1,,2.9,,329.9,82.3,O
0.0|02,36,0,,0.0,,0.0,103.2,O
0.0|07,32,0,,0.0,,0.0,0.0,X
0.0|08,32,0,,0.0,,0.0,48.0,X
0.0|09,39,0,,0.0,,0.0,72.0,X
0.0|10,33,0,,0.0,,0.0,79.9,X
0.0|11,39,0,,0.0,,0.0,127.6,O
0.0|12,30,1,,3.3,,131.5,100.0,O
0.1|00,143,2,,1.4,,49.5,85.4,O
0.1|01,722,10,,1.4,,55.4,68.7,X
0.1|02,851,20,,2.4,,110.0,77.9,X
0.1|03,634,11,,1.7,,86.6,80.8,O
0.1|04,599,6,,1.0,,50.6,95.5,O
0.1|05,587,11,,1.9,,60.2,66.6,X
0.1|06,547,11,,2.0,,103.1,65.8,X
0.1|07,649,9,,1.4,,66.1,79.9,X
0.1|08,592,8,,1.4,,116.7,91.5,O
0.1|09,634,8,,1.3,,78.9,91.0,O
0.1|10,638,10,,1.6,,88.6,76.3,X
0.1|11,575,5,,0.9,,32.0,68.9,X
0.1|12,535,8,,1.5,,63.6,89.5,O
0.1|13,475,7,,1.5,,49.6,75.4,X
0.1|14,433,4,,0.9,,55.2,62.6,X
0.1|15,342,9,,2.6,,231.1,126.9,O
0.1|16,236,0,,0.0,,0.0,69.6,X
0.1|17,45,0,,0.0,,0.0,9.8,X
0.1|18,32,0,,0.0,,0.0,346.1,O
0.2|00,410,6,,1.5,,40.9,88.9,O
0.2|01,2730,53,,1.9,,64.4,79.6,X
0.2|02,3280,70,,2.1,,105.9,83.6,O
0.2|03,2580,48,,1.9,,70.1,64.2,X
0.2|04,2518,37,,1.5,,48.2,77.0,X
0.2|05,2473,43,,1.7,,74.7,75.4,X
0.2|06,2512,38,,1.5,,65.7,80.7,O
0.2|07,2683,41,,1.5,,72.3,84.0,O
0.2|08,2665,67,,2.5,,107.8,81.6,O
0.2|09,2531,45,,1.8,,90.3,75.3,X
0.2|10,2377,45,,1.9,,102.7,78.9,X
0.2|11,2273,44,,1.9,,90.5,84.0,O
0.2|12,1958,30,,1.5,,67.5,75.5,X
0.2|13,1824,29,,1.6,,69.6,81.4,O
0.2|14,1469,29,,2.0,,104.2,71.6,X
0.2|15,1173,14,,1.2,,50.9,74.0,X
0.2|16,787,23,,2.9,,137.4,76.2,X
0.2|17,176,2,,1.1,,11.9,52.4,X
0.2|18,102,1,,1.0,,50.5,66.4,X
0.3|00,155,1,,0.6,,71.9,43.1,X
0.3|01,1159,20,,1.7,,49.9,68.0,X
0.3|02,1517,37,,2.4,,62.5,77.3,X
0.3|03,1279,26,,2.0,,59.8,75.4,X
0.3|04,1269,33,,2.6,,123.8,68.1,X
0.3|05,1146,30,,2.6,,116.0,86.3,O
0.3|06,1182,17,,1.4,,33.6,75.0,X
0.3|07,1289,23,,1.8,,67.9,81.8,O
0.3|08,1257,17,,1.4,,74.6,81.3,O
0.3|09,1198,31,,2.6,,93.3,69.9,X
0.3|10,1120,22,,2.0,,69.2,68.1,X
0.3|11,1006,10,,1.0,,36.2,70.2,X
0.3|12,870,13,,1.5,,42.9,67.5,X
0.3|13,764,14,,1.8,,101.3,88.6,O
0.3|14,659,19,,2.9,,113.5,76.8,X
0.3|15,450,8,,1.8,,80.0,80.7,O
0.3|16,291,8,,2.7,,101.2,68.2,X
0.3|17,75,1,,1.3,,47.2,68.1,X
0.3|18,41,1,,2.4,,71.8,65.3,X
0.4|00,399,13,,3.3,,120.6,88.7,O
0.4|01,3172,104,,3.3,,73.3,76.0,X
0.4|02,4217,141,,3.3,,89.3,78.4,X
0.4|03,3449,117,,3.4,,79.9,80.8,O
0.4|04,3157,93,,2.9,,72.6,87.6,O
0.4|05,3123,75,,2.4,,70.1,79.4,X
0.4|06,3147,85,,2.7,,74.8,80.6,O
0.4|07,3364,98,,2.9,,87.8,79.7,X
0.4|08,3171,77,,2.4,,87.6,73.1,X
0.4|09,3092,88,,2.8,,82.7,79.6,X
0.4|10,2689,68,,2.5,,90.5,76.6,X
0.4|11,2502,57,,2.3,,64.8,73.8,X
0.4|12,2168,55,,2.5,,84.2,73.5,X
0.4|13,1887,38,,2.0,,61.8,63.9,X
0.4|14,1428,29,,2.0,,65.9,69.4,X
0.4|15,1128,33,,2.9,,91.0,84.4,O
0.4|16,659,19,,2.9,,75.4,81.2,O
0.4|17,186,4,,2.2,,21.6,67.3,X
0.4|18,121,2,,1.7,,23.4,45.3,X
0.5|00,96,0,,0.0,,0.0,50.3,X
0.5|01,897,31,,3.5,,79.0,65.2,X
0.5|02,1156,44,,3.8,,79.5,96.1,O
0.5|03,996,35,,3.5,,80.0,77.1,X
0.5|04,900,24,,2.7,,76.8,83.2,O
0.5|05,1006,34,,3.4,,63.3,77.4,X
0.5|06,1019,27,,2.6,,74.3,87.9,O
0.5|07,970,19,,2.0,,57.6,74.8,X
0.5|08,864,29,,3.4,,81.4,70.8,X
0.5|09,877,34,,3.9,,83.3,82.1,O
0.5|10,784,21,,2.7,,67.6,78.7,X
0.5|11,678,13,,1.9,,50.3,62.1,X
0.5|12,508,23,,4.5,,148.3,91.9,O
0.5|13,444,9,,2.0,,60.8,72.4,X
0.5|14,364,16,,4.4,,109.3,79.7,X
0.5|15,295,11,,3.7,,119.5,76.0,X
0.5|16,187,6,,3.2,,48.5,76.7,X
0.5|17,45,2,,4.4,,147.9,118.6,O
0.6|00,209,8,,3.8,,84.2,57.8,X
0.6|01,1938,77,,4.0,,71.4,71.5,X
0.6|02,2581,105,,4.1,,67.6,74.4,X
0.6|03,2088,91,,4.4,,77.3,81.8,O
0.6|04,1889,73,,3.9,,79.9,73.5,X
0.6|05,1871,88,,4.7,,95.1,83.0,O
0.6|06,1850,58,,3.1,,68.6,72.6,X
0.6|07,1918,79,,4.1,,80.3,86.2,O
0.6|08,1693,63,,3.7,,66.6,71.3,X
0.6|09,1578,68,,4.3,,84.6,82.5,O
0.6|10,1426,50,,3.5,,78.6,85.7,O
0.6|11,1244,34,,2.7,,66.1,68.6,X
0.6|12,1137,35,,3.1,,49.8,72.4,X
0.6|13,906,34,,3.8,,97.2,75.7,X
0.6|14,657,26,,4.0,,88.8,75.3,X
0.6|15,473,16,,3.4,,79.3,88.0,O
0.6|16,298,12,,4.0,,73.4,75.5,X
0.6|17,86,3,,3.5,,56.1,63.3,X
0.6|18,34,1,,2.9,,11.9,68.6,X
0.7|00,126,6,,4.8,,148.1,102.8,O
0.7|01,1347,71,,5.3,,67.7,68.4,X
0.7|02,1874,92,,4.9,,80.1,80.4,O
0.7|03,1510,78,,5.2,,78.7,79.8,X
0.7|04,1438,81,,5.6,,92.2,79.5,X
0.7|05,1342,61,,4.5,,72.7,78.8,X
0.7|06,1280,71,,5.5,,91.5,90.6,O
0.7|07,1389,75,,5.4,,95.8,77.4,X
0.7|08,1152,45,,3.9,,79.7,75.4,X
0.7|09,1073,41,,3.8,,67.2,75.8,X
0.7|10,916,47,,5.1,,95.1,77.8,X
0.7|11,819,25,,3.1,,45.4,74.6,X
0.7|12,734,23,,3.1,,50.9,66.9,X
0.7|13,553,26,,4.7,,81.8,75.8,X
0.7|14,443,26,,5.9,,105.9,83.1,O
0.7|15,303,10,,3.3,,73.9,92.6,O
0.7|16,158,4,,2.5,,69.9,101.1,O
