bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10|1,407,28,,6.9,,48.7,79.7,X
10|2,405,21,,5.2,,50.4,68.4,X
10|3,375,23,,6.1,,43.1,85.3,O
10|4,366,28,,7.7,,94.8,82.3,O
10|5,348,24,,6.9,,45.1,73.6,X
10|6,396,22,,5.6,,43.6,67.0,X
10|7,348,23,,6.6,,77.3,76.6,X
10|8,332,25,,7.5,,78.2,77.9,X
11|1,368,20,,5.4,,61.4,75.4,X
11|2,374,26,,7.0,,78.9,89.9,O
11|3,342,27,,7.9,,113.6,95.2,O
11|4,317,30,,9.5,,95.7,81.3,O
11|5,331,18,,5.4,,105.2,78.3,X
11|6,315,24,,7.6,,75.3,76.7,X
11|7,302,24,,7.9,,96.9,88.0,O
11|8,288,25,,8.7,,167.9,110.5,O
12|1,378,27,,7.1,,62.9,69.5,X
12|2,327,27,,8.3,,82.6,70.1,X
12|3,325,23,,7.1,,47.7,70.6,X
12|4,289,24,,8.3,,82.4,73.1,X
12|5,295,19,,6.4,,96.8,107.5,O
12|6,249,14,,5.6,,39.5,90.9,O
12|7,288,19,,6.6,,124.6,78.0,X
12|8,236,12,,5.1,,113.2,75.2,X
13|1,290,20,,6.9,,128.8,76.9,X
13|2,294,20,,6.8,,76.7,74.1,X
13|3,257,19,,7.4,,47.9,69.6,X
13|4,214,14,,6.5,,87.5,86.3,O
13|5,235,18,,7.7,,118.7,69.9,X
13|6,198,13,,6.6,,59.3,85.2,O
13|7,205,10,,4.9,,63.8,108.1,O
13|8,190,5,,2.6,,8.5,68.1,X
14|1,229,13,,5.7,,68.9,78.4,X
14|2,247,13,,5.3,,98.0,82.2,O
14|3,224,15,,6.7,,55.1,73.1,X
14|4,186,19,,10.2,,99.2,75.1,X
14|5,172,6,,3.5,,26.6,53.5,X
14|6,196,9,,4.6,,53.5,64.9,X
14|7,186,21,,11.3,,203.8,111.9,O
14|8,193,12,,6.2,,63.5,89.4,O
15|1,167,8,,4.8,,114.3,102.8,O
15|2,168,8,,4.8,,25.6,35.6,X
15|3,144,9,,6.2,,43.7,56.6,X
15|4,153,6,,3.9,,171.7,134.5,O
