bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0|1,3361,598,,17.8,,85.5,79.1,X
0|2,4111,516,,12.6,,89.6,80.7,O
0|3,6388,641,,10.0,,93.7,81.1,O
0|5,8962,661,,7.4,,72.6,75.9,X
0|6,3271,210,,6.4,,92.3,78.4,X
0|7,3545,218,,6.1,,83.7,77.8,X
0|8,5710,244,,4.3,,75.5,68.7,X
1|1,3204,495,,15.4,,81.0,74.1,X
1|2,4690,645,,13.8,,85.8,78.2,X
1|3,7525,916,,12.2,,79.8,78.9,X
1|5,10703,1213,,11.3,,79.8,78.5,X
1|6,3798,381,,10.0,,75.9,79.5,X
1|7,4127,395,,9.6,,66.5,75.7,X
1|8,6116,494,,8.1,,69.0,73.3,X
1|9,46,6,,13.0,,183.6,140.8,O
2|1,9645,1475,,15.3,,81.1,79.0,X
2|2,12175,1517,,12.5,,79.8,80.2,O
2|3,18005,2097,,11.6,,81.9,79.7,X
2|5,24676,2539,,10.3,,79.9,81.5,O
2|6,9147,873,,9.5,,85.0,79.4,X
2|7,9643,844,,8.8,,83.8,81.6,O
2|8,14470,1091,,7.5,,74.8,78.3,X
2|9,114,16,,14.0,,164.6,109.7,O
3|1,11234,1558,,13.9,,80.8,79.5,X
3|2,13681,1409,,10.3,,72.2,78.8,X
3|3,20422,1924,,9.4,,80.3,79.1,X
3|5,28505,2314,,8.1,,81.9,81.8,O
3|6,10526,747,,7.1,,75.6,80.2,O
3|7,11801,848,,7.2,,78.0,80.3,O
3|8,19360,1155,,6.0,,73.3,78.4,X
3|9,127,15,,11.8,,170.5,113.3,O
4|1,5223,577,,11.0,,79.7,77.9,X
4|2,7237,579,,8.0,,76.6,80.0,O
4|3,11340,855,,7.5,,83.5,75.7,X
4|5,17562,1159,,6.6,,79.6,77.8,X
4|6,6932,426,,6.1,,74.8,77.3,X
4|7,8016,416,,5.2,,64.0,71.9,X
4|8,14945,681,,4.6,,73.3,74.8,X
4|9,102,7,,6.9,,126.9,38.9,X
