bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0|1,572,44,,7.7,,86.1,64.4,X
0|2,573,77,,13.4,,111.3,80.2,O
0|3,558,84,,15.1,,115.7,76.6,X
0|4,571,74,,13.0,,109.9,90.0,O
0|5,527,50,,9.5,,63.2,71.6,X
0|6,481,37,,7.7,,64.6,71.2,X
0|7,438,45,,10.3,,75.0,88.6,O
0|8,418,40,,9.6,,102.8,100.8,O
1|1,860,82,,9.5,,81.2,66.3,X
1|2,755,95,,12.6,,70.6,73.0,X
1|3,753,90,,12.0,,66.1,75.8,X
1|4,740,71,,9.6,,48.6,64.4,X
1|5,802,97,,12.1,,77.8,75.8,X
1|6,728,107,,14.7,,85.2,88.3,O
1|7,737,96,,13.0,,88.1,78.6,X
1|8,669,63,,9.4,,79.5,73.3,X
2|1,1852,170,,9.2,,67.5,78.3,X
2|2,1843,209,,11.3,,79.4,76.4,X
2|3,1837,215,,11.7,,76.6,79.5,X
2|4,1816,196,,10.8,,95.0,86.9,O
2|5,1802,200,,11.1,,99.6,92.4,O
2|6,1798,201,,11.2,,91.8,80.4,O
2|7,1691,182,,10.8,,72.8,73.8,X
2|8,1590,158,,9.9,,70.1,82.0,O
3|1,2029,165,,8.1,,76.7,81.9,O
3|2,2116,196,,9.3,,85.1,77.5,X
3|3,2138,200,,9.4,,72.0,76.3,X
3|4,2182,218,,10.0,,79.2,78.9,X
3|5,2126,190,,8.9,,66.7,75.9,X
3|6,2001,168,,8.4,,66.9,78.5,X
3|7,1911,179,,9.4,,104.5,83.0,O
3|8,1745,134,,7.7,,83.3,77.6,X
4|1,1717,112,,6.5,,92.3,81.7,O
4|2,1613,118,,7.3,,65.5,74.3,X
4|3,1502,116,,7.7,,62.1,81.7,O
4|4,1387,119,,8.6,,103.4,81.7,O
4|5,1230,73,,5.9,,84.9,82.4,O
4|6,1186,80,,6.7,,63.3,66.9,X
4|7,1060,70,,6.6,,93.1,85.9,O
4|8,955,61,,6.4,,81.6,80.6,O
