bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0|15.0,179,11,,6.1,,63.5,110.1,O
0|16.0,133,13,,9.8,,230.2,164.0,O
0|17.0,196,14,,7.1,,71.0,69.7,X
0|18.0,250,26,,10.4,,58.8,69.5,X
0|19.0,119,7,,5.9,,62.3,78.6,X
0|20.0,50,5,,10.0,,77.5,92.8,O
0|21.0,331,38,,11.5,,117.7,113.3,O
0|22.0,702,79,,11.3,,86.2,94.2,O
0|23.0,898,108,,12.0,,118.9,91.8,O
0|24.0,1057,107,,10.1,,53.9,74.1,X
0|25.0,1001,116,,11.6,,88.5,77.6,X
0|26.0,409,62,,15.2,,82.6,81.9,O
0|27.0,119,18,,15.1,,131.9,89.7,O
0|28.0,717,71,,9.9,,102.2,81.4,O
0|29.0,1396,145,,10.4,,80.3,89.3,O
0|30.0,1751,180,,10.3,,110.9,84.8,O
0|31.0,1726,176,,10.2,,74.5,85.8,O
0|32.0,1181,111,,9.4,,70.5,73.6,X
0|33.0,419,45,,10.7,,69.4,66.2,X
0|34.0,143,16,,11.2,,60.3,59.8,X
0|35.0,755,67,,8.9,,56.0,63.5,X
0|36.0,1646,133,,8.1,,80.6,75.2,X
0|37.0,1798,133,,7.4,,71.3,68.4,X
0|38.0,1734,158,,9.1,,107.9,84.3,O
0|39.0,1018,77,,7.6,,58.1,62.5,X
0|40.0,255,24,,9.4,,65.4,81.9,O
0|41.0,75,2,,2.7,,7.3,52.4,X
0|42.0,644,53,,8.2,,105.8,80.2,O
0|43.0,1372,131,,9.5,,93.5,76.0,X
0|44.0,1644,128,,7.8,,87.1,72.6,X
0|45.0,1392,97,,7.0,,78.4,84.1,O
0|46.0,787,61,,7.8,,99.4,60.7,X
0|47.0,131,14,,10.7,,166.8,85.0,O
0|48.0,77,10,,13.0,,44.0,78.5,X
0|49.0,433,36,,8.3,,42.6,65.3,X
0|50.0,932,67,,7.2,,78.7,80.4,O
0|51.0,1099,80,,7.3,,55.7,73.0,X
0|52.0,1003,79,,7.9,,80.2,66.4,X
0|53.0,483,33,,6.8,,87.7,76.4,X
0|54.0,93,8,,8.6,,125.8,95.5,O
0|56.0,222,20,,9.0,,100.8,59.1,X
0|57.0,570,38,,6.7,,56.8,65.9,X
0|58.0,682,47,,6.9,,69.4,66.5,X
0|59.0,568,40,,7.0,,96.8,63.0,X
0|60.0,300,21,,7.0,,99.3,86.5,O
0|61.0,40,2,,5.0,,24.2,57.1,X
0|63.0,128,8,,6.2,,26.2,70.0,X
0|64.0,315,16,,5.1,,90.9,66.4,X
0|65.0,359,28,,7.8,,115.1,68.2,X
0|66.0,293,16,,5.5,,73.6,63.1,X
0|67.0,148,10,,6.8,,46.4,37.2,X
0|70.0,65,4,,6.2,,50.8,89.6,O
0|71.0,160,11,,6.9,,47.7,59.7,X
0|72.0,174,8,,4.6,,90.8,66.4,X
0|73.0,170,10,,5.9,,104.6,113.6,O
0|74.0,59,3,,5.1,,54.3,73.1,X
0|77.0,30,2,,6.7,,78.2,48.9,X
0|78.0,81,3,,3.7,,19.8,45.7,X
0|79.0,87,5,,5.7,,23.5,49.9,X
0|80.0,78,3,,3.8,,28.1,35.7,X
0|85.0,51,6,,11.8,,45.2,108.8,O
0|86.0,57,3,,5.3,,10.1,114.2,O
0|87.0,34,4,,11.8,,175.0,185.6,O
0|92.0,30,1,,3.3,,26.1,55.9,X
0|93.0,33,1,,3.0,,11.7,19.5,X
1|10.0,609,63,,10.3,,94.1,79.7,X
1|11.0,779,82,,10.5,,121.8,92.0,O
1|12.0,363,47,,12.9,,83.8,68.2,X
1|13.0,95,14,,14.7,,173.5,104.2,O
1|14.0,547,51,,9.3,,80.9,77.1,X
1|15.0,856,85,,9.9,,107.9,90.0,O
1|16.0,1166,112,,9.6,,81.8,78.5,X
1|17.0,1415,143,,10.1,,76.9,82.7,O
1|18.0,1375,144,,10.5,,69.1,75.7,X
1|19.0,642,74,,11.5,,87.0,75.4,X
1|20.0,136,16,,11.8,,124.8,76.2,X
