bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|0,6565,996,,15.2,,85.5,78.3,X
1|1,3601,417,,11.6,,76.5,76.1,X
1|2,11778,1794,,15.2,,80.1,80.6,O
1|3,290,40,,13.8,,84.8,72.2,X
1|5,9894,1400,,14.1,,83.3,78.3,X
1|6,221,31,,14.0,,99.5,71.9,X
2|0,9090,994,,10.9,,94.5,81.4,O
2|1,6820,678,,9.9,,70.9,78.3,X
2|2,13532,1551,,11.5,,73.1,78.0,X
2|3,350,40,,11.4,,73.1,78.9,X
2|5,11434,1350,,11.8,,79.0,82.0,O
2|6,140,15,,10.7,,83.8,82.8,O
3|0,15101,1390,,9.2,,91.3,82.5,O
3|1,11889,1100,,9.3,,75.1,75.8,X
3|2,19110,2108,,11.0,,82.8,77.8,X
3|3,517,58,,11.2,,70.4,68.8,X
3|5,16111,1705,,10.6,,81.4,80.9,O
3|6,175,17,,9.7,,50.9,59.8,X
5|0,23556,1715,,7.3,,75.7,78.1,X
5|1,18378,1638,,8.9,,85.5,80.3,O
5|2,25012,2409,,9.6,,80.4,80.4,O
5|3,671,67,,10.0,,121.3,88.0,O
5|5,21240,1945,,9.2,,76.8,80.7,O
5|6,215,24,,11.2,,139.9,84.2,O
6|0,9246,600,,6.5,,86.3,79.4,X
6|1,7172,596,,8.3,,77.7,76.5,X
6|2,8906,744,,8.4,,76.9,78.9,X
6|3,267,24,,9.0,,81.2,87.5,O
6|5,7421,630,,8.5,,75.8,79.3,X
6|6,72,4,,5.6,,18.8,50.0,X
7|0,11115,665,,6.0,,74.6,74.3,X
7|1,8098,635,,7.8,,78.5,79.6,X
7|2,9242,729,,7.9,,72.3,81.2,O
7|3,271,23,,8.5,,53.1,53.2,X
7|5,7695,628,,8.2,,76.1,80.3,O
7|6,86,10,,11.6,,200.7,74.2,X
8|0,22850,1072,,4.7,,70.5,74.8,X
8|1,13380,867,,6.5,,71.7,73.5,X
8|2,12235,894,,7.3,,76.6,79.3,X
8|3,503,48,,9.5,,116.4,78.2,X
8|5,10241,715,,7.0,,71.1,77.5,X
8|6,151,11,,7.3,,59.1,53.3,X
9|0,57,1,,1.8,,20.9,43.3,X
9|1,96,11,,11.5,,235.5,130.1,O
9|2,118,20,,16.9,,207.0,110.1,O
9|5,115,10,,8.7,,109.6,78.9,X
