bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|10.0,46,3,,6.5,,130.1,81.0,O
1|11.0,47,3,,6.4,,273.4,106.8,O
1|12.0,63,14,,22.2,,91.9,74.1,X
1|13.0,64,8,,12.5,,68.8,44.0,X
1|14.0,108,10,,9.3,,35.7,58.4,X
1|15.0,114,12,,10.5,,70.3,52.4,X
1|16.0,124,15,,12.1,,73.3,74.3,X
1|17.0,156,20,,12.8,,80.5,78.6,X
1|18.0,179,31,,17.3,,104.4,58.1,X
1|19.0,191,26,,13.6,,113.1,82.8,O
1|20.0,245,35,,14.3,,121.5,74.8,X
1|21.0,278,40,,14.4,,137.8,114.4,O
1|22.0,329,36,,10.9,,72.1,70.6,X
1|23.0,376,43,,11.4,,141.0,83.3,O
1|24.0,400,41,,10.2,,48.9,72.2,X
1|25.0,435,46,,10.6,,56.6,76.8,X
1|26.0,458,53,,11.6,,62.0,72.9,X
1|27.0,478,62,,13.0,,56.9,77.1,X
1|28.0,534,69,,12.9,,98.4,86.3,O
1|29.0,628,88,,14.0,,93.2,83.9,O
1|30.0,696,99,,14.2,,67.9,61.4,X
1|31.0,679,89,,13.1,,79.1,71.8,X
1|32.0,704,95,,13.5,,68.1,67.6,X
1|33.0,701,102,,14.6,,81.9,82.0,O
1|34.0,824,128,,15.5,,87.0,79.3,X
1|35.0,810,127,,15.7,,91.0,87.7,O
1|36.0,836,117,,14.0,,53.2,77.7,X
1|37.0,851,144,,16.9,,82.1,80.2,O
1|38.0,887,142,,16.0,,98.9,87.9,O
1|39.0,874,133,,15.2,,71.9,82.2,O
1|40.0,950,138,,14.5,,73.8,80.1,O
1|41.0,953,143,,15.0,,65.0,69.1,X
1|42.0,971,159,,16.4,,99.5,92.2,O
1|43.0,905,143,,15.8,,62.5,75.9,X
1|44.0,938,143,,15.2,,83.9,87.0,O
1|45.0,920,134,,14.6,,87.5,77.3,X
1|46.0,929,141,,15.2,,68.2,78.8,X
1|47.0,830,148,,17.8,,90.8,85.0,O
1|48.0,944,161,,17.1,,86.7,83.8,O
1|49.0,811,116,,14.3,,97.8,76.4,X
1|50.0,882,124,,14.1,,61.8,71.2,X
1|51.0,790,127,,16.1,,83.5,77.3,X
1|52.0,737,105,,14.2,,66.0,63.8,X
1|53.0,703,107,,15.2,,70.8,76.9,X
1|54.0,645,110,,17.1,,100.3,95.1,O
1|55.0,632,91,,14.4,,67.5,65.2,X
1|56.0,554,85,,15.3,,106.7,76.8,X
1|57.0,548,74,,13.5,,68.4,74.3,X
1|58.0,492,64,,13.0,,63.2,81.6,O
1|59.0,453,68,,15.0,,91.0,79.2,X
1|60.0,410,51,,12.4,,85.9,64.0,X
1|61.0,344,51,,14.8,,89.8,91.2,O
1|62.0,305,58,,19.0,,99.3,85.2,O
1|63.0,271,35,,12.9,,59.2,72.0,X
1|64.0,252,31,,12.3,,117.6,76.3,X
1|65.0,214,34,,15.9,,75.1,65.6,X
1|66.0,206,23,,11.2,,47.3,80.5,O
1|67.0,181,21,,11.6,,49.3,80.4,O
1|68.0,168,12,,7.1,,78.0,98.4,O
1|69.0,136,15,,11.0,,106.8,83.6,O
1|70.0,118,10,,8.5,,77.6,89.0,O
1|71.0,116,13,,11.2,,122.2,84.2,O
1|72.0,102,10,,9.8,,169.0,97.6,O
1|73.0,90,8,,8.9,,69.0,67.3,X
1|74.0,72,4,,5.6,,24.5,36.3,X
