bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1000,9762,858,,8.8,,76.0,75.4,X
1150,4138,343,,8.3,,83.5,80.3,O
1200,73037,6194,,8.5,,78.1,78.8,X
1300,2777,241,,8.7,,93.2,80.5,O
1400,49615,4276,,8.6,,79.4,78.0,X
1500,1952,193,,9.9,,80.7,81.6,O
1600,41728,3862,,9.3,,76.6,78.8,X
1700,21897,1912,,8.7,,80.5,79.7,X
1800,80398,7600,,9.5,,79.5,78.5,X
1900,4281,400,,9.3,,79.8,80.5,O
2000,35042,3379,,9.6,,80.9,78.7,X
2100,4012,344,,8.6,,68.8,76.1,X
2200,6770,658,,9.7,,78.9,77.1,X
2300,169,19,,11.2,,56.5,93.9,O
2400,7219,731,,10.1,,75.6,81.8,O
2500,1496,142,,9.5,,72.9,66.2,X
2600,3921,355,,9.1,,80.0,79.5,X
2750,1042,108,,10.4,,82.5,76.4,X
2770,579,56,,9.7,,72.1,81.3,O
2850,1247,119,,9.5,,86.6,83.6,O
2860,1239,133,,10.7,,81.6,75.3,X
2880,844,88,,10.4,,72.4,81.0,O
2890,957,90,,9.4,,92.4,80.9,O
2910,375,38,,10.1,,66.5,68.1,X
2970,810,90,,11.1,,76.3,93.6,O
3000,1921,183,,9.5,,68.5,81.9,O
3100,103,10,,9.7,,62.4,81.5,O
3110,513,51,,9.9,,106.1,90.4,O
3140,173,19,,11.0,,46.7,77.7,X
3170,301,33,,11.0,,84.3,80.5,O
3200,275,27,,9.8,,50.9,77.1,X
3210,109,10,,9.2,,63.6,77.2,X
3250,256,26,,10.2,,115.3,80.8,O
3290,165,14,,8.5,,59.1,107.1,O
3300,247,24,,9.7,,74.7,93.1,O
3330,184,19,,10.3,,78.6,96.7,O
3350,189,18,,9.5,,81.1,88.5,O
3380,202,20,,9.9,,49.9,74.5,X
3390,292,30,,10.3,,53.2,69.4,X
3400,118,9,,7.6,,35.1,90.2,O
3570,106,10,,9.4,,98.4,78.0,X
3600,112,10,,8.9,,69.4,62.1,X
3900,95,12,,12.6,,209.7,70.7,X
3930,51,6,,11.8,,123.8,102.7,O
4100,81,10,,12.3,,61.5,88.6,O
4250,67,9,,13.4,,89.8,121.9,O
