bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1000|01,2617,250,,9.6,,93.5,81.5,O
1000|03,4170,341,,8.2,,72.5,71.7,X
1000|04,1596,144,,9.0,,73.7,73.3,X
1000|05,742,71,,9.6,,68.7,85.7,O
1000|06,62,5,,8.1,,47.4,47.4,X
1000|07,558,45,,8.1,,43.1,74.0,X
1150|01,1212,106,,8.7,,91.1,82.6,O
1150|03,1652,149,,9.0,,79.0,76.7,X
1150|04,741,48,,6.5,,77.2,81.0,O
1150|05,272,23,,8.5,,115.2,98.9,O
1150|06,30,3,,10.0,,218.7,103.5,O
1150|07,224,13,,5.8,,35.4,66.3,X
1200|01,16753,1415,,8.4,,75.4,79.1,X
1200|02,123,6,,4.9,,29.8,123.1,O
1200|03,32713,2864,,8.8,,79.5,79.2,X
1200|04,13133,1057,,8.0,,77.6,75.8,X
1200|05,5395,416,,7.7,,76.1,76.6,X
1200|06,618,49,,7.9,,64.0,75.2,X
1200|07,4273,384,,9.0,,84.5,85.6,O
1300|01,755,66,,8.7,,95.1,82.3,O
1300|03,1135,87,,7.7,,101.9,77.5,X
1300|04,506,52,,10.3,,77.0,87.6,O
1300|05,163,17,,10.4,,105.5,89.3,O
1300|07,195,18,,9.2,,66.5,65.1,X
1400|01,11327,968,,8.5,,81.3,78.9,X
1400|02,61,9,,14.8,,236.7,98.6,O
1400|03,21986,1895,,8.6,,76.1,76.7,X
1400|04,9473,817,,8.6,,89.1,80.8,O
1400|05,3479,282,,8.1,,68.3,73.7,X
1400|06,503,36,,7.2,,72.8,85.1,O
1400|07,2743,261,,9.5,,77.5,79.0,X
1400|11,43,8,,18.6,,64.0,115.2,O
1500|01,378,36,,9.5,,95.7,65.5,X
1500|03,890,89,,10.0,,72.6,84.8,O
1500|04,418,36,,8.6,,77.7,89.7,O
1500|05,153,20,,13.1,,116.9,67.1,X
1500|07,83,8,,9.6,,31.9,97.5,O
1600|01,7886,677,,8.6,,75.5,77.9,X
1600|02,42,5,,11.9,,152.4,102.8,O
1600|03,19020,1841,,9.7,,79.4,78.7,X
1600|04,8784,810,,9.2,,75.5,80.9,O
1600|05,3248,293,,9.0,,70.4,78.1,X
1600|06,491,25,,5.1,,34.2,69.1,X
1600|07,2230,205,,9.2,,76.3,77.2,X
1700|01,5284,496,,9.4,,99.0,91.4,O
1700|02,44,4,,9.1,,19.7,63.3,X
1700|03,9149,772,,8.4,,76.5,76.1,X
1700|04,4435,386,,8.7,,76.1,80.0,O
1700|05,1426,123,,8.6,,69.0,71.1,X
1700|06,225,16,,7.1,,39.4,94.4,O
1700|07,1318,112,,8.5,,70.8,63.5,X
1800|01,16408,1529,,9.3,,77.0,79.1,X
1800|02,158,10,,6.3,,42.3,68.7,X
1800|03,35229,3373,,9.6,,81.2,78.3,X
1800|04,16733,1569,,9.4,,81.5,78.9,X
1800|05,6017,576,,9.6,,75.2,75.4,X
1800|06,786,60,,7.6,,73.3,84.7,O
1800|07,4988,470,,9.4,,75.6,78.3,X
1800|11,79,13,,16.5,,70.1,107.3,O
1900|01,916,89,,9.7,,103.7,85.9,O
1900|03,1856,182,,9.8,,74.8,79.2,X
1900|04,834,66,,7.9,,59.6,74.8,X
1900|05,313,30,,9.6,,71.0,70.6,X
1900|06,49,3,,6.1,,15.6,78.4,X
1900|07,299,29,,9.7,,113.8,93.9,O
2000|01,5412,443,,8.2,,78.6,78.2,X
2000|02,37,0,,0.0,,0.0,57.8,X
2000|03,15686,1605,,10.2,,83.3,79.6,X
2000|04,8502,831,,9.8,,85.6,80.3,O
2000|05,2944,291,,9.9,,68.0,75.6,X
2000|06,411,23,,5.6,,41.4,57.7,X
2000|07,2028,183,,9.0,,77.5,74.7,X
2100|01,898,80,,8.9,,55.3,74.5,X
2100|03,1625,140,,8.6,,69.9,76.3,X
2100|04,853,75,,8.8,,82.4,77.8,X
2100|05,309,21,,6.8,,94.0,96.0,O
2100|07,282,25,,8.9,,41.4,58.1,X
2200|01,973,94,,9.7,,78.0,69.6,X
2200|03,3012,293,,9.7,,78.2,78.1,X
2200|04,1698,166,,9.8,,76.4,75.7,X
2200|05,540,59,,10.9,,98.0,82.3,O
2200|06,77,7,,9.1,,56.1,94.2,O
2200|07,462,39,,8.4,,77.5,83.0,O
2300|03,70,5,,7.1,,32.6,97.5,O
2300|04,44,7,,15.9,,91.4,98.3,O
2400|01,1231,120,,9.7,,76.6,80.3,O
2400|03,3181,344,,10.8,,78.2,79.6,X
2400|04,1763,165,,9.4,,66.4,82.5,O
2400|05,529,51,,9.6,,84.7,79.4,X
2400|06,52,5,,9.6,,58.6,83.1,O
2400|07,449,45,,10.0,,81.4,98.5,O
2500|01,269,29,,10.8,,96.7,75.4,X
2500|03,604,56,,9.3,,59.1,54.3,X
2500|04,409,33,,8.1,,70.0,75.7,X
2500|05,112,15,,13.4,,96.6,86.9,O
2500|07,87,7,,8.0,,32.2,49.1,X
2600|01,559,55,,9.8,,122.3,95.9,O
2600|03,1737,159,,9.2,,82.0,77.2,X
2600|04,999,86,,8.6,,62.9,74.4,X
2600|05,253,20,,7.9,,54.8,63.5,X
2600|07,331,32,,9.7,,74.2,86.8,O
2750|01,203,13,,6.4,,42.1,54.2,X
2750|03,431,43,,10.0,,76.1,66.6,X
2750|04,248,33,,13.3,,94.0,105.6,O
2750|05,103,12,,11.7,,55.2,75.3,X
2750|07,44,7,,15.9,,342.0,137.5,O
2770|01,107,10,,9.3,,59.3,44.8,X
2770|03,226,28,,12.4,,98.3,92.6,O
2770|04,139,8,,5.8,,27.7,78.8,X
2770|05,54,5,,9.3,,56.5,94.9,O
2770|07,37,3,,8.1,,61.9,95.8,O
2850|01,229,15,,6.6,,69.3,82.4,O
2850|03,498,64,,12.9,,115.1,105.9,O
2850|04,303,25,,8.3,,51.6,54.4,X
2850|05,126,10,,7.9,,131.0,67.7,X
2850|07,75,4,,5.3,,24.4,71.2,X
2860|01,210,19,,9.0,,78.5,89.8,O
2860|03,552,66,,12.0,,64.6,72.9,X
2860|04,279,30,,10.8,,125.9,77.2,X
2860|05,100,11,,11.0,,98.8,73.9,X
2860|07,78,6,,7.7,,36.8,55.5,X
2880|01,161,14,,8.7,,90.6,61.2,X
2880|03,329,30,,9.1,,62.9,86.0,O
2880|04,192,24,,12.5,,77.9,96.8,O
2880|05,80,8,,10.0,,37.6,55.2,X
2880|07,55,9,,16.4,,92.5,85.5,O
2890|01,183,12,,6.6,,108.3,77.6,X
2890|03,409,44,,10.8,,113.8,90.2,O
2890|04,190,17,,8.9,,49.1,65.8,X
2890|05,102,12,,11.8,,82.7,84.6,O
2890|07,64,5,,7.8,,60.5,78.9,X
2910|01,98,10,,10.2,,26.8,51.3,X
2910|03,167,20,,12.0,,90.1,65.0,X
2910|04,69,7,,10.1,,89.2,92.3,O
2970|01,177,20,,11.3,,56.8,75.6,X
2970|03,360,38,,10.6,,85.4,105.8,O
2970|04,156,19,,12.2,,61.6,96.6,O
2970|05,51,10,,19.6,,142.7,78.6,X
2970|07,54,3,,5.6,,69.8,93.2,O
3000|01,382,27,,7.1,,39.5,87.0,O
3000|03,843,83,,9.8,,75.9,82.6,O
3000|04,398,45,,11.3,,58.0,77.6,X
3000|05,158,15,,9.5,,156.3,92.5,O
3000|07,111,11,,9.9,,43.6,57.0,X
3100|03,51,5,,9.8,,82.9,83.5,O
3110|01,76,8,,10.5,,67.8,55.1,X
3110|03,243,22,,9.1,,114.0,99.1,O
3110|04,116,9,,7.8,,96.7,64.5,X
3110|05,46,10,,21.7,,184.1,124.4,O
3140|01,31,2,,6.5,,2.2,25.7,X
3140|03,77,11,,14.3,,77.2,118.7,O
3140|04,31,2,,6.5,,25.7,50.3,X
3170|01,69,9,,13.0,,84.0,70.0,X
3170|03,120,8,,6.7,,94.7,58.1,X
3170|04,61,7,,11.5,,55.7,129.7,O
3200|01,47,3,,6.4,,43.8,83.4,O
3200|03,105,10,,9.5,,44.9,81.8,O
3200|04,65,6,,9.2,,37.3,69.9,X
3200|05,32,5,,15.6,,69.1,74.0,X
3210|03,41,7,,17.1,,114.1,63.5,X
3250|01,32,5,,15.6,,252.2,73.8,X
3250|03,106,10,,9.4,,101.3,78.1,X
3250|04,57,6,,10.5,,44.1,89.8,O
3250|05,34,3,,8.8,,82.9,74.5,X
3290|01,32,2,,6.2,,19.5,8.2,X
3290|03,75,5,,6.7,,52.4,82.6,O
3290|04,32,4,,12.5,,35.0,84.4,O
3300|01,39,3,,7.7,,35.7,60.6,X
3300|03,115,15,,13.0,,109.3,104.8,O
3300|04,50,3,,6.0,,47.1,99.4,O
3330|03,80,8,,10.0,,67.9,87.1,O
3330|04,41,3,,7.3,,78.9,52.7,X
3350|03,76,5,,6.6,,59.0,58.3,X
3350|04,57,9,,15.8,,92.9,74.2,X
3380|01,36,3,,8.3,,51.5,111.6,O
3380|03,92,10,,10.9,,55.5,84.4,O
3380|04,40,3,,7.5,,48.2,43.3,X
3390|03,136,15,,11.0,,50.1,82.6,O
3390|04,79,12,,15.2,,76.2,49.5,X
3390|05,30,1,,3.3,,8.9,71.4,X
3400|03,61,3,,4.9,,17.2,115.3,O
3570|03,47,5,,10.6,,52.2,41.3,X
3600|03,63,7,,11.1,,110.0,70.4,X
3900|03,43,8,,18.6,,412.0,84.6,O
4100|03,34,6,,17.6,,123.7,114.2,O
