bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|0,61,3,,4.9,,12.3,73.7,X
1|3,30,4,,13.3,,52.1,99.4,O
2|0,2953,271,,9.2,,99.3,83.6,O
2|1,593,72,,12.1,,85.7,76.6,X
2|2,593,102,,17.2,,63.5,76.2,X
2|3,908,105,,11.6,,71.3,75.0,X
2|4,371,16,,4.3,,73.7,82.9,O
3|0,1019,87,,8.5,,57.8,72.8,X
3|1,104,17,,16.3,,97.7,71.2,X
3|2,153,29,,19.0,,63.2,68.7,X
3|3,290,35,,12.1,,109.5,87.8,O
3|4,114,8,,7.0,,73.1,83.2,O
5|0,2006,161,,8.0,,75.0,78.7,X
5|1,453,61,,13.5,,102.7,82.5,O
5|2,350,49,,14.0,,84.0,70.0,X
5|3,664,73,,11.0,,63.2,78.3,X
5|4,240,11,,4.6,,72.6,96.5,O
