bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
2|16,1218,126,,10.3,,72.4,78.9,X
2|17,419,48,,11.5,,62.1,67.5,X
2|18,286,38,,13.3,,75.6,80.1,O
2|19,378,39,,10.3,,84.4,80.9,O
2|20,469,48,,10.2,,89.1,87.4,O
2|21,493,44,,8.9,,89.5,73.2,X
2|22,550,57,,10.4,,81.5,75.7,X
2|23,560,66,,11.8,,111.6,83.6,O
2|24,531,52,,9.8,,76.5,78.1,X
2|25,514,48,,9.3,,89.3,87.0,O
3|16,415,47,,11.3,,88.7,86.6,O
3|17,98,9,,9.2,,63.0,79.2,X
3|18,59,9,,15.3,,68.8,84.6,O
3|19,108,18,,16.7,,83.7,85.0,O
3|20,174,18,,10.3,,89.6,66.4,X
3|21,166,20,,12.0,,52.3,73.6,X
3|22,171,13,,7.6,,66.7,68.7,X
3|23,182,18,,9.9,,103.7,100.1,O
3|24,164,14,,8.5,,58.7,63.6,X
3|25,143,10,,7.0,,45.7,67.5,X
5|16,654,54,,8.3,,89.6,78.3,X
5|17,321,29,,9.0,,75.7,74.9,X
5|18,239,16,,6.7,,68.4,83.9,O
5|19,235,26,,11.1,,103.4,71.6,X
5|20,314,29,,9.2,,58.0,89.2,O
5|21,393,43,,10.9,,87.3,78.7,X
5|22,381,44,,11.5,,94.8,76.9,X
5|23,471,42,,8.9,,65.3,85.6,O
5|24,391,42,,10.7,,60.6,83.4,O
5|25,314,30,,9.6,,87.3,68.1,X
