bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|1,1629,596,,36.6,,79.5,84.8,O
1|2,1025,324,,31.6,,83.5,87.8,O
1|3,565,145,,25.7,,77.3,75.5,X
1|4,278,62,,22.3,,77.1,82.0,O
1|5,166,41,,24.7,,91.1,91.6,O
1|6,95,20,,21.1,,58.6,67.8,X
2|1,7711,2387,,31.0,,78.0,82.2,O
2|2,5490,1387,,25.3,,80.1,83.4,O
2|3,3910,778,,19.9,,77.8,80.6,O
2|4,2723,426,,15.6,,76.0,77.2,X
2|5,1796,214,,11.9,,70.7,77.7,X
2|6,1345,170,,12.6,,78.7,76.8,X
3|1,23439,5056,,21.6,,80.2,81.5,O
3|2,26170,4448,,17.0,,82.5,81.7,O
3|3,28088,3638,,13.0,,77.6,79.7,X
3|4,29356,2874,,9.8,,78.8,79.1,X
3|5,29783,2239,,7.5,,73.5,77.5,X
3|6,29202,1897,,6.5,,75.9,78.0,X
4|1,32,1,,3.1,,11.0,73.9,X
4|2,51,6,,11.8,,89.1,107.9,O
4|3,112,10,,8.9,,85.4,78.0,X
4|4,147,12,,8.2,,177.7,74.8,X
4|5,250,14,,5.6,,84.7,83.9,O
4|6,322,7,,2.2,,26.0,101.3,O
