bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|0.0,1473,476,,32.3,,75.7,83.6,O
1|10.0,58,21,,36.2,,102.0,93.3,O
1|11.0,85,25,,29.4,,81.0,86.8,O
1|12.0,89,21,,23.6,,54.7,69.8,X
1|14.0,103,29,,28.2,,80.0,80.1,O
1|17.0,119,34,,28.6,,72.6,89.8,O
1|18.0,41,9,,22.0,,82.0,95.7,O
1|20.0,136,49,,36.0,,103.8,83.8,O
1|22.0,38,13,,34.2,,83.5,88.2,O
1|25.0,152,35,,23.0,,66.9,81.9,O
1|27.0,32,10,,31.2,,59.5,71.2,X
1|29.0,62,28,,45.2,,134.6,96.7,O
1|30.0,35,12,,34.3,,85.7,89.1,O
1|33.0,166,51,,30.7,,77.4,83.7,O
1|38.0,34,13,,38.2,,75.0,73.9,X
1|40.0,55,22,,40.0,,100.2,86.2,O
1|43.0,30,8,,26.7,,78.7,70.1,X
1|5.0,32,5,,15.6,,17.7,68.1,X
1|50.0,200,64,,32.0,,70.4,84.3,O
1|6.0,53,12,,22.6,,61.0,79.6,X
1|67.0,53,19,,35.8,,101.7,85.6,O
1|7.0,50,11,,22.0,,65.1,85.1,O
1|8.0,68,17,,25.0,,110.5,88.5,O
1|9.0,51,18,,35.3,,100.3,98.9,O
1|99.9,124,45,,36.3,,84.8,77.2,X
2|0.0,9257,2162,,23.4,,80.9,82.1,O
2|10.0,481,84,,17.5,,70.1,74.4,X
2|11.0,535,103,,19.3,,76.0,83.6,O
2|12.0,720,152,,21.1,,80.8,83.2,O
2|13.0,154,21,,13.6,,52.1,64.2,X
2|14.0,650,133,,20.5,,77.8,78.4,X
2|15.0,234,39,,16.7,,72.5,64.5,X
2|16.0,92,13,,14.1,,67.9,70.5,X
2|17.0,764,177,,23.2,,82.4,85.2,O
2|18.0,311,50,,16.1,,54.3,68.5,X
2|19.0,160,31,,19.4,,84.8,97.0,O
2|20.0,864,191,,22.1,,76.8,88.3,O
2|21.0,170,28,,16.5,,80.1,77.0,X
2|22.0,307,62,,20.2,,57.1,83.1,O
2|23.0,149,26,,17.4,,96.4,75.8,X
2|24.0,94,21,,22.3,,100.3,84.9,O
2|25.0,1002,220,,22.0,,77.9,89.4,O
2|26.0,53,7,,13.2,,44.4,47.6,X
2|27.0,181,28,,15.5,,52.0,71.7,X
2|28.0,40,5,,12.5,,35.6,52.2,X
2|29.0,351,65,,18.5,,76.2,81.2,O
2|3.0,76,11,,14.5,,66.4,73.9,X
2|30.0,162,26,,16.0,,66.8,74.5,X
2|31.0,92,20,,21.7,,97.8,79.8,X
2|32.0,39,9,,23.1,,190.8,90.2,O
2|33.0,1129,238,,21.1,,78.2,82.1,O
2|35.0,46,6,,13.0,,64.0,46.7,X
2|36.0,112,13,,11.6,,50.1,72.1,X
2|38.0,215,49,,22.8,,68.5,85.4,O
2|4.0,178,28,,15.7,,70.9,57.7,X
2|40.0,365,80,,21.9,,64.1,78.5,X
2|42.0,58,11,,19.0,,59.2,67.3,X
2|43.0,182,40,,22.0,,67.3,92.2,O
2|44.0,79,11,,13.9,,33.9,68.4,X
2|45.0,40,9,,22.5,,76.1,62.7,X
2|46.0,35,4,,11.4,,28.6,48.3,X
2|5.0,300,37,,12.3,,69.5,60.0,X
2|50.0,1196,275,,23.0,,81.5,80.0,O
2|56.0,46,7,,15.2,,49.7,75.9,X
2|57.0,76,16,,21.1,,67.1,66.9,X
2|6.0,386,68,,17.6,,74.4,78.4,X
2|60.0,126,26,,20.6,,97.6,81.8,O
2|62.0,48,13,,27.1,,148.0,111.0,O
2|67.0,376,84,,22.3,,80.6,91.2,O
2|7.0,408,78,,19.1,,84.4,84.3,O
2|71.0,40,6,,15.0,,41.8,64.7,X
2|75.0,122,28,,23.0,,128.9,88.1,O
2|8.0,544,95,,17.5,,71.9,71.6,X
2|80.0,53,9,,17.0,,47.3,70.1,X
2|9.0,381,82,,21.5,,88.9,80.8,O
2|99.9,810,195,,24.1,,77.4,81.5,O
3|0.0,96395,8528,,8.8,,77.8,78.2,X
3|10.0,5692,431,,7.6,,76.9,83.3,O
3|11.0,6423,494,,7.7,,93.1,83.3,O
3|12.0,7993,582,,7.3,,71.3,75.2,X
3|13.0,2379,143,,6.0,,74.3,78.1,X
3|14.0,7659,669,,8.7,,91.6,81.1,O
3|15.0,3221,197,,6.1,,71.7,80.3,O
3|16.0,1478,83,,5.6,,65.5,80.4,O
3|17.0,8587,686,,8.0,,76.6,78.2,X
3|18.0,3711,233,,6.3,,75.4,76.0,X
3|19.0,2103,110,,5.2,,59.6,65.5,X
3|2.0,353,21,,5.9,,56.9,85.5,O
3|20.0,9490,817,,8.6,,82.6,79.7,X
3|21.0,2379,134,,5.6,,74.6,74.1,X
3|22.0,3591,271,,7.5,,84.8,75.9,X
