bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|10.0,191,14,,7.3,,68.3,72.5,X
1|11.0,142,11,,7.7,,35.2,84.4,O
1|12.0,52,5,,9.6,,100.7,121.3,O
1|13.0,30,3,,10.0,,60.3,98.8,O
1|14.0,105,5,,4.8,,36.9,42.3,X
1|15.0,194,16,,8.2,,122.5,90.9,O
1|16.0,250,21,,8.4,,72.8,58.2,X
1|17.0,310,29,,9.4,,96.0,79.8,X
1|18.0,246,17,,6.9,,114.8,99.1,O
1|19.0,83,13,,15.7,,173.8,95.1,O
1|21.0,123,8,,6.5,,112.3,93.0,O
1|22.0,288,17,,5.9,,28.6,65.6,X
1|23.0,290,20,,6.9,,67.3,75.1,X
1|24.0,280,26,,9.3,,78.7,59.1,X
1|25.0,234,25,,10.7,,142.9,87.2,O
1|26.0,67,6,,9.0,,133.2,107.5,O
1|28.0,73,3,,4.1,,36.1,64.2,X
1|29.0,150,11,,7.3,,73.2,80.1,O
1|30.0,115,8,,7.0,,36.3,64.5,X
1|31.0,116,7,,6.0,,83.5,65.1,X
1|32.0,88,9,,10.2,,61.4,76.2,X
1|35.0,31,1,,3.2,,7.0,50.4,X
1|36.0,69,6,,8.7,,60.4,108.8,O
1|37.0,81,5,,6.2,,80.2,81.9,O
1|38.0,69,6,,8.7,,79.3,127.7,O
1|39.0,37,2,,5.4,,15.6,17.5,X
1|45.0,33,0,,0.0,,0.0,36.9,X
2|10.0,165,17,,10.3,,107.6,107.3,O
2|11.0,155,11,,7.1,,93.0,80.5,O
2|12.0,48,4,,8.3,,66.1,113.3,O
2|14.0,76,3,,3.9,,34.8,98.1,O
2|15.0,174,12,,6.9,,87.5,72.3,X
2|16.0,222,22,,9.9,,94.2,80.8,O
2|17.0,255,20,,7.8,,106.7,86.4,O
2|18.0,222,21,,9.5,,74.4,77.8,X
2|19.0,86,10,,11.6,,138.1,89.3,O
2|21.0,113,11,,9.7,,68.8,73.5,X
2|22.0,240,18,,7.5,,73.3,78.5,X
2|23.0,268,39,,14.6,,118.9,73.4,X
2|24.0,259,33,,12.7,,118.0,82.3,O
2|25.0,206,32,,15.5,,114.5,78.2,X
2|26.0,57,2,,3.5,,7.2,49.5,X
2|28.0,75,13,,17.3,,102.0,63.1,X
2|29.0,139,19,,13.7,,54.5,51.0,X
2|30.0,146,22,,15.1,,145.4,97.5,O
2|31.0,121,14,,11.6,,79.5,92.2,O
2|32.0,86,5,,5.8,,19.4,53.4,X
2|33.0,30,3,,10.0,,33.0,56.9,X
2|35.0,31,0,,0.0,,0.0,43.9,X
2|36.0,68,7,,10.3,,35.3,59.0,X
2|37.0,64,2,,3.1,,22.8,26.9,X
2|38.0,58,7,,12.1,,173.8,87.5,O
2|39.0,47,6,,12.8,,123.3,55.1,X
2|43.0,43,3,,7.0,,19.3,22.2,X
2|45.0,30,2,,6.7,,16.2,46.0,X
2|51.0,30,3,,10.0,,80.5,126.5,O
3|10.0,130,10,,7.7,,81.5,68.4,X
3|11.0,136,16,,11.8,,96.0,78.3,X
3|12.0,47,2,,4.3,,10.8,35.5,X
3|14.0,106,12,,11.3,,50.1,101.1,O
3|15.0,152,10,,6.6,,59.7,55.3,X
3|16.0,224,21,,9.4,,70.2,68.7,X
3|17.0,250,22,,8.8,,47.2,83.4,O
3|18.0,176,19,,10.8,,108.3,81.2,O
3|19.0,82,13,,15.9,,218.2,89.0,O
3|21.0,108,18,,16.7,,83.7,108.1,O
3|22.0,213,24,,11.3,,74.4,71.6,X
3|23.0,254,31,,12.2,,81.0,58.3,X
3|24.0,232,38,,16.4,,134.9,111.0,O
3|25.0,189,12,,6.3,,34.9,60.4,X
3|26.0,69,6,,8.7,,43.1,86.9,O
3|28.0,63,6,,9.5,,86.0,63.8,X
3|29.0,132,17,,12.9,,72.2,81.4,O
3|30.0,124,8,,6.5,,46.7,55.9,X
3|31.0,130,12,,9.2,,108.1,104.6,O
3|32.0,86,9,,10.5,,112.2,60.5,X
3|35.0,36,7,,19.4,,121.3,129.1,O
3|36.0,58,8,,13.8,,167.3,71.2,X
3|37.0,60,5,,8.3,,195.7,110.4,O
3|38.0,62,5,,8.1,,60.9,85.7,O
3|43.0,39,3,,7.7,,99.8,87.3,O
3|44.0,33,5,,15.2,,127.3,44.3,X
4|10.0,142,9,,6.3,,58.4,73.0,X
