bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|380,119,5,,4.2,,43.1,75.7,X
1|400,811,55,,6.8,,80.1,67.4,X
1|420,2920,233,,8.0,,68.5,75.7,X
1|440,5819,494,,8.5,,74.6,78.5,X
1|460,7604,689,,9.1,,72.8,79.6,X
1|480,6428,618,,9.6,,86.9,81.6,O
1|500,3523,343,,9.7,,80.9,78.2,X
1|520,1232,133,,10.8,,80.8,84.0,O
1|540,253,20,,7.9,,52.9,92.4,O
1|560,54,5,,9.3,,42.1,68.3,X
2|380,105,6,,5.7,,34.9,65.6,X
2|400,727,52,,7.2,,84.1,80.1,O
2|420,2802,251,,9.0,,69.7,80.3,O
2|440,5639,546,,9.7,,74.9,76.7,X
2|460,7746,852,,11.0,,82.5,80.6,O
2|480,6188,724,,11.7,,81.9,82.2,O
2|500,3469,376,,10.8,,70.9,82.3,O
2|520,1219,138,,11.3,,71.4,73.2,X
2|540,257,36,,14.0,,79.0,92.6,O
2|560,46,2,,4.3,,20.2,79.1,X
3|380,112,6,,5.4,,41.5,77.1,X
3|400,747,54,,7.2,,56.9,69.4,X
3|420,2721,260,,9.6,,82.1,89.4,O
3|440,5478,554,,10.1,,73.0,82.0,O
3|460,7424,731,,9.8,,71.1,75.6,X
3|480,6286,724,,11.5,,88.2,83.9,O
3|500,3424,397,,11.6,,82.7,77.8,X
3|520,1261,154,,12.2,,99.7,77.4,X
3|540,247,28,,11.3,,103.3,80.5,O
3|560,48,8,,16.7,,86.1,42.5,X
4|380,117,4,,3.4,,38.0,66.0,X
4|400,697,61,,8.8,,96.3,80.5,O
4|420,2612,221,,8.5,,74.8,75.0,X
4|440,5399,500,,9.3,,74.6,79.8,X
4|460,7317,807,,11.0,,80.9,82.1,O
4|480,6105,719,,11.8,,79.7,82.8,O
4|500,3469,422,,12.2,,88.1,85.2,O
4|520,1225,167,,13.6,,107.8,92.6,O
4|540,255,26,,10.2,,58.9,82.2,O
4|560,40,4,,10.0,,50.5,104.1,O
5|380,100,5,,5.0,,41.4,52.4,X
5|400,701,56,,8.0,,85.1,76.0,X
5|420,2413,180,,7.5,,62.8,76.8,X
5|440,5052,452,,8.9,,88.9,85.4,O
5|460,6960,690,,9.9,,68.5,76.1,X
5|480,5978,696,,11.6,,87.9,82.1,O
5|500,3424,377,,11.0,,74.1,82.5,O
5|520,1157,159,,13.7,,99.2,99.8,O
5|540,259,29,,11.2,,111.3,70.1,X
5|560,47,10,,21.3,,298.6,113.9,O
6|380,95,6,,6.3,,304.3,74.2,X
6|400,634,46,,7.3,,102.8,89.4,O
6|420,2267,174,,7.7,,61.7,74.3,X
6|440,4854,443,,9.1,,77.1,77.9,X
6|460,6599,648,,9.8,,76.4,76.2,X
6|480,5726,604,,10.5,,80.5,81.3,O
6|500,3158,363,,11.5,,81.8,81.6,O
6|520,1209,142,,11.7,,90.9,78.6,X
6|540,257,34,,13.2,,90.1,85.6,O
6|560,57,6,,10.5,,83.9,75.2,X
7|380,93,4,,4.3,,71.4,81.2,O
7|400,587,32,,5.5,,66.3,69.6,X
7|420,2099,157,,7.5,,68.1,79.3,X
7|440,4358,352,,8.1,,76.2,75.4,X
7|460,6134,606,,9.9,,86.2,82.4,O
7|480,5229,527,,10.1,,71.1,77.2,X
7|500,2956,324,,11.0,,69.7,72.8,X
7|520,1065,124,,11.6,,104.0,86.0,O
7|540,282,28,,9.9,,104.3,80.4,O
7|560,50,1,,2.0,,4.8,21.8,X
8|380,82,1,,1.2,,3.2,78.1,X
8|400,529,30,,5.7,,83.0,86.4,O
8|420,1873,126,,6.7,,59.0,73.9,X
8|440,3997,312,,7.8,,67.8,78.1,X
8|460,5362,500,,9.3,,83.3,79.9,X
8|480,4792,455,,9.5,,67.6,76.4,X
8|500,2705,259,,9.6,,74.8,79.9,X
8|520,928,114,,12.3,,88.5,73.3,X
8|540,246,26,,10.6,,135.8,73.6,X
8|560,33,7,,21.2,,378.8,131.3,O
