bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|00,104,9,,8.7,,88.3,90.1,O
1|01,568,51,,9.0,,65.0,62.6,X
1|02,780,87,,11.2,,78.5,77.1,X
1|03,610,58,,9.5,,76.2,75.1,X
1|04,528,59,,11.2,,100.6,74.2,X
1|05,472,38,,8.1,,54.6,83.6,O
1|06,477,35,,7.3,,68.8,96.2,O
1|07,465,33,,7.1,,91.7,83.9,O
1|08,446,34,,7.6,,96.1,80.1,O
1|09,399,35,,8.8,,64.2,76.8,X
1|10,386,25,,6.5,,98.1,77.3,X
1|11,319,17,,5.3,,56.6,87.8,O
1|12,273,16,,5.9,,55.7,55.6,X
1|13,213,13,,6.1,,136.0,99.4,O
1|14,168,8,,4.8,,90.7,75.5,X
1|15,140,5,,3.6,,74.4,98.3,O
1|16,74,6,,8.1,,88.7,79.3,X
2|00,82,7,,8.5,,57.9,64.4,X
2|01,557,67,,12.0,,51.5,61.3,X
2|02,752,120,,16.0,,95.2,80.5,O
2|03,570,61,,10.7,,65.2,77.5,X
2|04,535,49,,9.2,,53.6,82.6,O
2|05,520,50,,9.6,,95.6,70.6,X
2|06,461,42,,9.1,,68.7,66.7,X
2|07,486,43,,8.8,,59.3,84.8,O
2|08,449,34,,7.6,,102.5,74.4,X
2|09,422,44,,10.4,,135.4,103.7,O
2|10,353,25,,7.1,,48.0,77.9,X
2|11,279,15,,5.4,,26.7,44.8,X
2|12,254,19,,7.5,,85.2,77.4,X
2|13,207,15,,7.2,,67.5,73.3,X
2|14,176,10,,5.7,,93.3,94.6,O
2|15,121,8,,6.6,,89.2,65.1,X
2|16,69,6,,8.7,,134.4,62.8,X
3|00,89,6,,6.7,,76.6,45.0,X
3|01,547,68,,12.4,,70.1,77.1,X
3|02,725,98,,13.5,,75.5,74.6,X
3|03,626,76,,12.1,,92.1,78.8,X
3|04,536,66,,12.3,,75.0,77.6,X
3|05,533,42,,7.9,,45.0,82.4,O
3|06,494,52,,10.5,,74.7,97.2,O
3|07,457,46,,10.1,,77.4,80.8,O
3|08,402,30,,7.5,,60.2,73.3,X
3|09,387,42,,10.9,,77.1,65.3,X
3|10,339,29,,8.6,,65.6,60.7,X
3|11,307,19,,6.2,,55.0,81.5,O
3|12,248,11,,4.4,,61.6,71.9,X
3|13,186,6,,3.2,,13.2,103.8,O
3|14,140,13,,9.3,,76.1,66.0,X
3|15,114,9,,7.9,,78.9,122.8,O
3|16,69,4,,5.8,,88.5,84.4,O
4|00,83,4,,4.8,,78.5,85.6,O
4|01,535,62,,11.6,,52.7,68.9,X
4|02,769,98,,12.7,,86.1,76.6,X
4|03,583,65,,11.1,,68.1,71.7,X
4|04,546,57,,10.4,,86.0,83.9,O
4|05,543,55,,10.1,,79.1,87.8,O
4|06,503,53,,10.5,,99.9,90.8,O
4|07,459,44,,9.6,,58.0,71.7,X
4|08,394,36,,9.1,,114.8,88.4,O
4|09,374,32,,8.6,,109.9,67.0,X
4|10,323,27,,8.4,,98.4,82.4,O
4|11,285,25,,8.8,,119.7,81.3,O
4|12,217,14,,6.5,,103.1,97.6,O
4|13,173,11,,6.4,,85.2,66.7,X
4|14,141,8,,5.7,,73.1,76.6,X
4|15,106,9,,8.5,,143.1,106.3,O
4|16,68,4,,5.9,,37.7,107.1,O
5|00,91,9,,9.9,,48.3,63.4,X
5|01,576,75,,13.0,,104.3,88.2,O
5|02,811,99,,12.2,,71.6,82.0,O
5|03,596,69,,11.6,,73.9,85.0,O
5|04,502,47,,9.4,,56.2,75.7,X
5|05,470,55,,11.7,,109.7,85.4,O
5|06,503,53,,10.5,,79.6,85.2,O
5|07,426,28,,6.6,,111.9,83.7,O
5|08,389,24,,6.2,,147.1,99.8,O
5|09,356,17,,4.8,,44.0,73.9,X
5|10,301,18,,6.0,,39.0,84.1,O
5|11,277,23,,8.3,,76.5,78.5,X
5|12,223,18,,8.1,,66.9,61.8,X
5|13,159,11,,6.9,,86.6,59.7,X
5|14,133,6,,4.5,,110.7,115.5,O
5|15,78,2,,2.6,,3.2,49.6,X
5|16,52,6,,11.5,,78.7,57.9,X
6|00,85,5,,5.9,,96.5,71.3,X
6|01,535,86,,16.1,,90.9,76.7,X
6|02,746,98,,13.1,,93.0,80.7,O
6|03,563,77,,13.7,,106.8,85.1,O
6|04,584,59,,10.1,,79.5,89.6,O
6|05,486,50,,10.3,,77.7,82.9,O
6|06,409,29,,7.1,,50.0,60.0,X
6|07,414,33,,8.0,,100.9,82.3,O
6|08,367,23,,6.3,,42.9,73.9,X
6|09,311,22,,7.1,,83.8,77.3,X
6|10,275,19,,6.9,,48.1,89.1,O
6|11,278,18,,6.5,,39.7,79.2,X
6|12,208,8,,3.8,,26.8,74.0,X
6|13,140,5,,3.6,,41.5,54.6,X
6|14,133,14,,10.5,,109.7,64.2,X
6|15,98,5,,5.1,,26.0,47.9,X
6|16,60,3,,5.0,,68.6,67.1,X
7|00,77,7,,9.1,,66.1,74.9,X
7|01,525,70,,13.3,,89.7,77.2,X
7|02,713,96,,13.5,,98.3,86.5,O
7|03,551,52,,9.4,,53.7,51.7,X
7|04,499,52,,10.4,,90.6,89.9,O
7|05,424,45,,10.6,,101.1,83.8,O
7|06,399,45,,11.3,,88.8,90.7,O
7|07,430,37,,8.6,,72.6,80.3,O
7|08,345,28,,8.1,,96.1,61.0,X
7|09,334,17,,5.1,,95.2,72.2,X
7|10,268,22,,8.2,,90.7,116.5,O
7|11,249,16,,6.4,,79.5,61.7,X
7|12,187,12,,6.4,,104.9,96.9,O
7|13,144,9,,6.2,,60.7,78.9,X
7|14,110,10,,9.1,,110.4,97.8,O
7|15,87,5,,5.7,,267.8,109.2,O
7|16,40,4,,10.0,,183.0,74.8,X
8|00,82,7,,8.5,,29.0,60.5,X
8|01,473,41,,8.7,,52.0,57.5,X
8|02,648,68,,10.5,,106.9,92.2,O
8|03,521,60,,11.5,,84.0,79.9,X
8|04,423,40,,9.5,,92.6,76.4,X
8|05,431,45,,10.4,,84.2,86.6,O
8|06,406,34,,8.4,,70.5,70.2,X
8|07,343,22,,6.4,,45.0,74.6,X
8|08,313,18,,5.8,,71.5,81.7,O
8|09,290,24,,8.3,,130.1,121.0,O
8|10,221,12,,5.4,,63.0,77.1,X
8|11,214,11,,5.1,,42.7,51.9,X
8|12,189,8,,4.2,,26.2,87.0,O
8|13,153,10,,6.5,,171.1,85.5,O
8|14,98,8,,8.2,,95.6,106.1,O
8|15,82,4,,4.9,,64.6,46.5,X
8|16,52,3,,5.8,,9.4,42.7,X
