bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|1,2211,818,,37.0,,81.4,88.8,O
1|2,1571,299,,19.0,,72.0,79.4,X
1|3,2237,262,,11.7,,80.7,84.2,O
1|4,3490,297,,8.5,,82.8,76.0,X
1|5,4839,315,,6.5,,69.4,75.7,X
1|6,4863,282,,5.8,,78.7,82.2,O
2|1,3465,1242,,35.8,,84.3,86.2,O
2|2,2392,495,,20.7,,77.4,81.5,O
2|3,2616,365,,14.0,,80.4,82.0,O
2|4,3358,309,,9.2,,86.8,76.5,X
2|5,3771,273,,7.2,,72.5,78.7,X
2|6,3727,222,,6.0,,74.9,78.3,X
3|1,3584,1169,,32.6,,79.1,88.1,O
3|2,2846,571,,20.1,,80.3,84.4,O
3|3,2780,335,,12.1,,72.8,75.3,X
3|4,3172,314,,9.9,,77.2,79.5,X
3|5,3353,254,,7.6,,79.0,71.4,X
3|6,3276,186,,5.7,,72.9,81.2,O
4|1,3381,1131,,33.5,,85.7,87.1,O
4|2,3091,604,,19.5,,76.4,83.3,O
4|3,2962,399,,13.5,,79.2,81.0,O
4|4,3048,297,,9.7,,75.1,82.1,O
4|5,2958,228,,7.7,,79.4,77.5,X
4|6,3059,186,,6.1,,82.2,82.0,O
5|1,3100,912,,29.4,,81.7,84.1,O
5|2,3053,567,,18.6,,77.1,85.9,O
5|3,2982,404,,13.5,,74.6,82.4,O
5|4,2831,294,,10.4,,76.7,77.1,X
5|5,2918,230,,7.9,,83.2,80.5,O
5|6,2835,156,,5.5,,74.7,79.3,X
6|1,2797,802,,28.7,,82.8,84.2,O
6|2,2968,568,,19.1,,82.4,84.5,O
6|3,2758,391,,14.2,,76.0,81.6,O
6|4,2687,262,,9.8,,75.1,75.6,X
6|5,2434,195,,8.0,,86.8,76.3,X
6|6,2291,135,,5.9,,84.9,75.4,X
7|1,2471,659,,26.7,,78.5,81.8,O
7|2,2601,448,,17.2,,73.5,81.7,O
7|3,2568,346,,13.5,,75.0,80.5,O
7|4,2344,242,,10.3,,74.4,73.6,X
7|5,2130,175,,8.2,,77.3,72.8,X
7|6,1985,100,,5.0,,51.7,72.4,X
8|1,2070,505,,24.4,,78.8,82.3,O
8|2,2308,412,,17.9,,73.9,76.1,X
8|3,2278,306,,13.4,,77.4,76.0,X
8|4,1978,211,,10.7,,81.4,78.7,X
8|5,1778,158,,8.9,,95.7,83.1,O
8|6,1778,106,,6.0,,65.2,68.3,X
