bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|1,178,14,,7.9,,43.6,72.7,X
01|11,684,75,,11.0,,121.8,79.2,X
01|111,1102,118,,10.7,,85.1,82.2,O
01|112,31,3,,9.7,,107.7,90.5,O
01|121,4385,433,,9.9,,98.5,85.9,O
01|122,7219,668,,9.3,,79.8,85.0,O
01|132,5586,446,,8.0,,80.1,80.0,O
01|133,4205,302,,7.2,,70.0,78.6,X
01|2,245,20,,8.2,,74.9,72.8,X
01|21,4708,456,,9.7,,85.1,84.2,O
01|211,979,105,,10.7,,91.1,85.9,O
01|212,523,58,,11.1,,91.1,79.6,X
01|213,535,59,,11.0,,63.6,85.2,O
01|22,2924,250,,8.5,,79.6,72.1,X
01|221,2720,286,,10.5,,84.8,84.3,O
01|222,6765,617,,9.1,,75.7,79.0,X
01|223,503,49,,9.7,,104.3,80.9,O
01|232,4231,403,,9.5,,93.9,82.4,O
01|233,5268,483,,9.2,,75.6,78.8,X
01|311,56,13,,23.2,,119.0,116.5,O
01|32,6433,493,,7.7,,72.4,74.2,X
01|321,477,54,,11.3,,130.5,89.6,O
01|322,1002,75,,7.5,,85.3,72.9,X
01|323,781,54,,6.9,,63.2,69.7,X
01|33,1637,96,,5.9,,63.0,71.0,X
01|331,46,3,,6.5,,46.3,140.9,O
01|332,458,52,,11.4,,91.9,81.8,O
01|333,216,12,,5.6,,88.7,55.5,X
02|121,43,1,,2.3,,15.3,111.0,O
02|132,36,3,,8.3,,31.7,101.7,O
02|21,38,3,,7.9,,52.9,155.2,O
02|22,35,5,,14.3,,283.1,109.6,O
02|222,33,5,,15.2,,308.2,90.5,O
02|232,50,7,,14.0,,49.3,110.8,O
03|1,297,30,,10.1,,86.3,125.8,O
03|11,1483,159,,10.7,,68.6,80.4,O
03|111,2652,286,,10.8,,90.5,78.8,X
03|112,89,10,,11.2,,89.1,69.8,X
03|113,101,11,,10.9,,61.5,63.2,X
03|121,7765,712,,9.2,,82.4,78.5,X
03|122,13322,1288,,9.7,,77.9,78.5,X
03|132,8707,755,,8.7,,76.3,80.1,O
03|133,7371,571,,7.7,,72.4,80.5,O
03|2,631,73,,11.6,,84.6,83.7,O
03|21,9864,932,,9.4,,72.8,79.4,X
03|211,2767,328,,11.9,,88.1,80.6,O
03|212,1145,139,,12.1,,77.6,82.5,O
03|213,1169,116,,9.9,,80.1,85.0,O
03|22,5700,547,,9.6,,79.4,78.7,X
03|221,7766,757,,9.7,,73.4,80.7,O
03|222,18364,1923,,10.5,,83.4,81.2,O
