bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|0.0,5021,489,,9.7,,80.1,80.1,O
01|10.0,309,25,,8.1,,49.6,76.9,X
01|11.0,363,40,,11.0,,212.1,105.2,O
01|12.0,475,43,,9.1,,82.5,86.3,O
01|13.0,124,6,,4.8,,78.6,68.5,X
01|14.0,507,57,,11.2,,151.5,102.7,O
01|15.0,179,11,,6.1,,30.1,67.8,X
01|16.0,86,5,,5.8,,185.5,72.1,X
01|17.0,531,43,,8.1,,80.7,63.9,X
01|18.0,194,14,,7.2,,85.9,100.8,O
01|19.0,126,8,,6.3,,143.5,55.8,X
01|20.0,566,47,,8.3,,64.9,84.2,O
01|21.0,120,12,,10.0,,87.0,59.8,X
01|22.0,220,14,,6.4,,100.6,76.2,X
01|23.0,109,6,,5.5,,78.1,79.3,X
01|24.0,70,3,,4.3,,39.3,51.0,X
01|25.0,649,74,,11.4,,99.6,105.2,O
01|26.0,40,3,,7.5,,92.8,66.7,X
01|27.0,143,10,,7.0,,41.3,45.8,X
01|28.0,42,3,,7.1,,111.0,147.7,O
01|29.0,266,21,,7.9,,104.7,71.8,X
01|3.0,87,2,,2.3,,14.2,71.3,X
01|30.0,120,12,,10.0,,77.9,72.6,X
01|31.0,72,9,,12.5,,200.9,111.4,O
01|32.0,35,4,,11.4,,118.5,89.9,O
01|33.0,671,67,,10.0,,95.4,98.0,O
01|35.0,39,4,,10.3,,43.8,75.3,X
01|36.0,90,8,,8.9,,37.6,58.5,X
01|38.0,136,12,,8.8,,71.7,79.8,X
01|4.0,162,5,,3.1,,26.9,103.0,O
01|40.0,284,30,,10.6,,84.9,84.1,O
01|42.0,34,3,,8.8,,103.0,46.7,X
01|43.0,121,9,,7.4,,91.9,89.7,O
01|44.0,67,8,,11.9,,196.6,90.0,O
01|45.0,48,4,,8.3,,27.6,71.1,X
01|47.0,31,3,,9.7,,67.6,51.2,X
01|5.0,219,18,,8.2,,55.3,71.2,X
01|50.0,692,60,,8.7,,90.7,74.1,X
01|57.0,56,4,,7.1,,17.1,55.8,X
01|6.0,270,19,,7.0,,89.3,101.2,O
01|60.0,101,8,,7.9,,21.6,72.7,X
01|62.0,38,1,,2.6,,2.1,38.2,X
01|67.0,219,14,,6.4,,38.8,72.6,X
01|7.0,270,18,,6.7,,31.9,75.8,X
01|75.0,101,7,,6.9,,41.2,113.8,O
01|8.0,367,34,,9.3,,85.7,81.4,O
01|80.0,43,3,,7.0,,31.6,47.7,X
01|9.0,256,22,,8.6,,63.7,87.5,O
01|99.9,580,37,,6.4,,103.0,86.8,O
02|0.0,43,4,,9.3,,54.1,65.4,X
03|0.0,10510,1035,,9.8,,78.6,77.0,X
03|10.0,694,51,,7.3,,51.8,83.4,O
03|11.0,769,71,,9.2,,104.2,92.2,O
03|12.0,1027,81,,7.9,,78.0,75.5,X
03|13.0,271,24,,8.9,,133.8,83.5,O
03|14.0,955,72,,7.5,,62.8,67.6,X
03|15.0,352,29,,8.2,,70.3,56.5,X
03|16.0,142,12,,8.5,,120.3,58.9,X
03|17.0,1015,99,,9.8,,79.7,86.0,O
03|18.0,395,31,,7.8,,68.8,85.6,O
03|19.0,225,15,,6.7,,72.9,80.0,O
03|2.0,31,3,,9.7,,73.5,109.0,O
03|20.0,1136,136,,12.0,,101.3,75.8,X
03|21.0,255,13,,5.1,,76.1,82.3,O
03|22.0,445,37,,8.3,,105.1,73.0,X
03|23.0,215,18,,8.4,,53.7,69.3,X
03|24.0,155,8,,5.2,,47.8,76.9,X
03|25.0,1277,111,,8.7,,65.2,83.6,O
03|26.0,100,5,,5.0,,71.5,77.8,X
03|27.0,301,20,,6.6,,36.6,71.2,X
03|28.0,74,6,,8.1,,121.9,70.3,X
03|29.0,494,44,,8.9,,73.8,58.6,X
03|3.0,180,14,,7.8,,157.1,105.2,O
03|30.0,236,17,,7.2,,71.7,76.3,X
03|31.0,152,15,,9.9,,95.1,96.1,O
03|32.0,73,5,,6.8,,96.8,69.8,X
03|33.0,1409,130,,9.2,,63.4,76.9,X
03|35.0,68,4,,5.9,,77.6,68.5,X
03|36.0,191,17,,8.9,,60.6,81.5,O
03|38.0,306,28,,9.2,,53.0,64.6,X
03|39.0,59,5,,8.5,,125.2,69.6,X
03|4.0,319,27,,8.5,,74.4,66.0,X
03|40.0,480,35,,7.3,,57.9,72.6,X
03|41.0,45,5,,11.1,,144.0,84.6,O
03|42.0,75,5,,6.7,,40.9,41.7,X
03|43.0,245,27,,11.0,,54.3,104.4,O
03|44.0,141,10,,7.1,,51.0,53.9,X
03|45.0,82,6,,7.3,,35.7,64.4,X
03|46.0,47,4,,8.5,,63.0,157.1,O
03|47.0,48,3,,6.2,,121.5,90.0,O
03|5.0,443,31,,7.0,,62.6,90.2,O
03|50.0,1506,145,,9.6,,68.3,80.8,O
03|53.0,32,1,,3.1,,16.7,78.6,X
03|54.0,32,3,,9.4,,286.9,166.2,O
03|55.0,52,2,,3.8,,24.2,82.3,O
03|56.0,60,3,,5.0,,45.5,126.0,O
03|57.0,106,15,,14.2,,116.5,77.4,X
03|6.0,565,38,,6.7,,76.3,80.6,O
03|60.0,223,14,,6.3,,68.2,99.3,O
03|62.0,63,5,,7.9,,206.1,83.8,O
03|64.0,34,4,,11.8,,72.6,113.8,O
03|67.0,468,35,,7.5,,67.8,60.2,X
03|7.0,597,52,,8.7,,66.8,77.9,X
03|71.0,59,6,,10.2,,82.9,45.8,X
03|75.0,196,19,,9.7,,115.0,80.6,O
03|8.0,752,70,,9.3,,119.5,86.5,O
03|80.0,98,4,,4.1,,24.7,50.5,X
03|83.0,50,3,,6.0,,34.7,78.9,X
03|9.0,583,50,,8.6,,61.0,95.7,O
03|99.9,1179,96,,8.1,,54.7,73.3,X
04|0.0,4733,439,,9.3,,70.9,70.1,X
04|10.0,302,26,,8.6,,60.1,85.8,O
04|11.0,403,35,,8.7,,66.5,82.1,O
04|12.0,512,44,,8.6,,61.3,67.0,X
04|13.0,129,14,,10.9,,79.2,69.2,X
04|14.0,452,46,,10.2,,77.4,82.1,O
04|15.0,194,11,,5.7,,50.0,83.7,O
04|16.0,94,2,,2.1,,16.0,75.8,X
04|17.0,524,61,,11.6,,118.8,79.2,X
04|18.0,199,15,,7.5,,88.2,92.5,O
04|19.0,131,10,,7.6,,36.1,69.0,X
04|20.0,573,57,,9.9,,97.0,70.4,X
04|21.0,168,10,,6.0,,41.0,56.1,X
04|22.0,214,22,,10.3,,118.9,85.5,O
04|23.0,113,6,,5.3,,35.9,70.5,X
04|24.0,81,6,,7.4,,32.2,71.0,X
04|25.0,608,59,,9.7,,52.3,75.5,X
04|26.0,62,3,,4.8,,30.0,100.1,O
04|27.0,167,10,,6.0,,71.4,94.7,O
04|28.0,57,2,,3.5,,6.1,35.9,X
04|29.0,242,26,,10.7,,136.4,89.2,O
04|3.0,95,6,,6.3,,70.9,59.1,X
04|30.0,130,12,,9.2,,75.9,59.3,X
04|31.0,79,1,,1.3,,5.5,53.0,X
04|32.0,34,4,,11.8,,163.3,70.4,X
04|33.0,652,58,,8.9,,90.1,86.9,O
04|35.0,42,2,,4.8,,46.8,15.0,X
04|36.0,66,5,,7.6,,89.5,109.7,O
04|38.0,150,9,,6.0,,25.1,64.1,X
04|4.0,157,14,,8.9,,73.9,60.6,X
04|40.0,242,27,,11.2,,91.9,94.5,O
04|42.0,40,3,,7.5,,29.0,46.0,X
04|43.0,130,11,,8.5,,80.0,72.4,X
04|44.0,56,4,,7.1,,72.2,68.6,X
04|45.0,36,2,,5.6,,35.4,33.0,X
04|5.0,216,16,,7.4,,80.4,101.1,O
04|50.0,650,61,,9.4,,82.4,83.7,O
04|56.0,36,1,,2.8,,2.0,105.3,O
04|57.0,45,3,,6.7,,80.7,81.5,O
04|6.0,300,23,,7.7,,133.4,106.6,O
04|60.0,116,10,,8.6,,88.3,59.5,X
04|62.0,39,3,,7.7,,19.6,55.3,X
04|67.0,235,27,,11.5,,100.7,81.8,O
04|7.0,302,24,,7.9,,50.2,58.1,X
04|75.0,93,1,,1.1,,45.9,50.2,X
04|8.0,381,30,,7.9,,83.6,91.0,O
04|80.0,39,1,,2.6,,11.1,92.4,O
04|9.0,261,27,,10.3,,79.7,100.6,O
04|99.9,583,53,,9.1,,113.3,69.2,X
05|0.0,1737,160,,9.2,,80.5,81.7,O
05|10.0,123,3,,2.4,,13.8,53.4,X
05|11.0,149,12,,8.1,,115.0,91.6,O
05|12.0,172,9,,5.2,,49.3,54.7,X
05|13.0,45,4,,8.9,,44.4,60.0,X
05|14.0,190,23,,12.1,,141.4,92.0,O
05|15.0,66,6,,9.1,,131.1,130.3,O
05|17.0,216,14,,6.5,,33.5,68.8,X
05|18.0,78,10,,12.8,,91.7,81.0,O
05|19.0,48,6,,12.5,,158.4,83.1,O
05|20.0,198,17,,8.6,,48.0,57.1,X
05|21.0,48,7,,14.6,,149.1,92.1,O
05|22.0,77,8,,10.4,,66.5,67.1,X
05|23.0,40,4,,10.0,,50.5,62.8,X
05|25.0,234,32,,13.7,,183.1,100.1,O
05|27.0,52,3,,5.8,,62.6,69.5,X
05|29.0,75,6,,8.0,,67.9,74.3,X
05|3.0,54,2,,3.7,,11.2,73.4,X
05|30.0,44,0,,0.0,,0.0,22.1,X
05|33.0,227,28,,12.3,,193.2,90.0,O
05|38.0,54,5,,9.3,,30.6,33.7,X
05|4.0,84,8,,9.5,,152.2,79.8,X
05|40.0,82,9,,11.0,,63.1,76.9,X
05|43.0,31,2,,6.5,,59.5,76.5,X
05|5.0,95,8,,8.4,,39.5,52.5,X
05|50.0,220,23,,10.5,,62.3,64.2,X
05|6.0,138,10,,7.2,,100.8,68.2,X
05|60.0,30,2,,6.7,,27.7,50.4,X
05|67.0,80,4,,5.0,,39.4,45.8,X
05|7.0,114,10,,8.8,,83.6,77.1,X
05|75.0,33,3,,9.1,,74.2,125.5,O
05|8.0,154,20,,13.0,,100.3,78.1,X
05|9.0,106,13,,12.3,,93.4,75.9,X
05|99.9,193,18,,9.3,,73.4,78.5,X
06|0.0,250,21,,8.4,,59.9,84.6,O
07|0.0,1423,140,,9.8,,72.6,83.4,O
07|10.0,105,5,,4.8,,41.3,60.4,X
07|11.0,111,10,,9.0,,95.5,98.6,O
07|12.0,141,9,,6.4,,73.4,72.7,X
07|14.0,135,14,,10.4,,129.2,114.1,O
07|15.0,53,4,,7.5,,99.3,56.9,X
07|17.0,167,16,,9.6,,116.2,90.7,O
07|18.0,54,4,,7.4,,38.1,77.4,X
07|19.0,36,2,,5.6,,16.4,109.6,O
07|20.0,150,10,,6.7,,27.9,72.0,X
07|21.0,38,2,,5.3,,67.3,30.3,X
07|22.0,63,6,,9.5,,57.7,54.8,X
07|23.0,31,3,,9.7,,99.6,151.8,O
07|25.0,190,20,,10.5,,85.4,86.6,O
07|27.0,33,0,,0.0,,0.0,39.1,X
07|29.0,95,8,,8.4,,84.9,59.7,X
07|30.0,31,0,,0.0,,0.0,25.3,X
07|33.0,200,18,,9.0,,89.8,82.7,O
07|38.0,47,4,,8.5,,283.3,137.1,O
07|4.0,34,3,,8.8,,45.7,22.1,X
07|40.0,74,6,,8.1,,83.3,107.8,O
07|5.0,68,5,,7.4,,172.2,119.9,O
07|50.0,183,7,,3.8,,33.3,65.1,X
07|6.0,83,5,,6.0,,51.7,99.1,O
07|60.0,35,3,,8.6,,35.3,33.9,X
07|67.0,69,3,,4.3,,24.8,29.9,X
07|7.0,96,5,,5.2,,30.1,55.6,X
07|8.0,118,6,,5.1,,27.0,58.8,X
07|9.0,94,12,,12.8,,105.7,74.3,X
07|99.9,144,19,,13.2,,87.3,49.9,X
