bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0|1.0,681,85,,12.5,,77.9,66.3,X
1.0|10.0,162,8,,4.9,,67.9,69.1,X
1.0|11.0,118,11,,9.3,,50.8,69.6,X
1.0|12.0,107,5,,4.7,,27.5,69.2,X
1.0|13.0,88,3,,3.4,,70.2,48.9,X
1.0|14.0,76,4,,5.3,,42.2,45.4,X
1.0|15.0,50,6,,12.0,,53.7,28.8,X
1.0|16.0,39,3,,7.7,,111.0,85.6,O
1.0|2.0,1214,135,,11.1,,65.8,70.3,X
1.0|3.0,815,94,,11.5,,86.6,72.6,X
1.0|4.0,659,62,,9.4,,100.6,89.0,O
1.0|5.0,452,52,,11.5,,56.6,60.2,X
1.0|6.0,399,33,,8.3,,47.6,62.7,X
1.0|7.0,312,24,,7.7,,77.7,84.1,O
1.0|8.0,249,22,,8.8,,117.6,68.7,X
1.0|9.0,210,17,,8.1,,44.2,59.4,X
10.0|1.0,301,26,,8.6,,103.3,77.8,X
10.0|10.0,233,6,,2.6,,33.5,75.6,X
10.0|11.0,218,10,,4.6,,126.3,97.2,O
10.0|12.0,203,6,,3.0,,99.9,88.5,O
10.0|13.0,170,6,,3.5,,58.3,99.1,O
10.0|14.0,125,5,,4.0,,51.9,90.4,O
10.0|15.0,99,7,,7.1,,177.1,71.2,X
10.0|16.0,71,1,,1.4,,48.5,63.6,X
10.0|2.0,213,16,,7.5,,63.3,72.1,X
10.0|3.0,258,25,,9.7,,96.9,83.4,O
10.0|4.0,313,18,,5.8,,109.8,90.1,O
10.0|5.0,325,18,,5.5,,76.2,79.1,X
10.0|6.0,374,14,,3.7,,53.6,83.1,O
10.0|7.0,332,14,,4.2,,122.2,82.0,O
10.0|8.0,298,11,,3.7,,63.9,75.5,X
10.0|9.0,257,11,,4.3,,155.1,95.4,O
11.0|1.0,284,19,,6.7,,97.5,79.8,X
11.0|10.0,221,7,,3.2,,54.9,97.6,O
11.0|11.0,185,7,,3.8,,35.6,86.6,O
11.0|12.0,163,7,,4.3,,58.3,57.2,X
11.0|13.0,125,6,,4.8,,98.4,55.3,X
11.0|14.0,121,0,,0.0,,0.0,115.2,O
11.0|15.0,80,2,,2.5,,119.1,140.8,O
11.0|16.0,68,2,,2.9,,141.6,76.2,X
11.0|2.0,172,19,,11.0,,87.4,97.1,O
11.0|3.0,203,10,,4.9,,50.3,65.2,X
11.0|4.0,253,14,,5.5,,102.6,86.6,O
11.0|5.0,267,14,,5.2,,122.7,107.6,O
11.0|6.0,277,12,,4.3,,113.0,119.3,O
11.0|7.0,262,10,,3.8,,94.5,85.7,O
11.0|8.0,252,11,,4.4,,151.2,96.0,O
11.0|9.0,239,13,,5.4,,109.3,98.0,O
12.0|1.0,262,8,,3.1,,30.2,41.4,X
12.0|10.0,192,2,,1.0,,31.1,78.4,X
12.0|11.0,164,7,,4.3,,109.4,69.4,X
12.0|12.0,150,11,,7.3,,203.7,156.1,O
12.0|13.0,132,4,,3.0,,39.1,101.2,O
12.0|14.0,107,1,,0.9,,6.6,27.2,X
12.0|15.0,77,3,,3.9,,320.3,98.2,O
12.0|16.0,63,2,,3.2,,126.3,113.4,O
12.0|2.0,129,14,,10.9,,68.3,65.3,X
12.0|3.0,183,12,,6.6,,65.4,71.7,X
12.0|4.0,209,11,,5.3,,117.3,64.9,X
12.0|5.0,227,11,,4.8,,54.7,83.5,O
12.0|6.0,234,12,,5.1,,63.2,76.6,X
12.0|7.0,219,5,,2.3,,47.9,80.9,O
12.0|8.0,209,3,,1.4,,26.9,83.7,O
12.0|9.0,208,7,,3.4,,33.7,65.6,X
13.0|1.0,204,10,,4.9,,120.5,69.9,X
13.0|10.0,158,7,,4.4,,67.5,91.4,O
13.0|11.0,145,5,,3.4,,66.3,81.2,O
13.0|12.0,118,4,,3.4,,156.8,73.3,X
13.0|13.0,126,4,,3.2,,94.7,84.2,O
13.0|14.0,102,2,,2.0,,30.7,29.7,X
13.0|15.0,71,2,,2.8,,55.7,49.1,X
13.0|16.0,67,1,,1.5,,58.6,72.5,X
13.0|2.0,97,6,,6.2,,33.2,47.1,X
13.0|3.0,131,12,,9.2,,46.6,44.8,X
13.0|4.0,172,7,,4.1,,33.2,49.3,X
13.0|5.0,164,8,,4.9,,86.1,84.4,O
13.0|6.0,172,6,,3.5,,45.1,66.2,X
13.0|7.0,192,9,,4.7,,57.6,91.7,O
13.0|8.0,171,3,,1.8,,73.5,56.6,X
13.0|9.0,167,3,,1.8,,66.7,69.0,X
14.0|1.0,193,9,,4.7,,96.3,108.5,O
14.0|10.0,119,4,,3.4,,106.9,67.7,X
14.0|11.0,119,3,,2.5,,77.7,69.5,X
14.0|12.0,122,5,,4.1,,47.4,47.8,X
14.0|13.0,104,5,,4.8,,165.1,67.4,X
14.0|14.0,99,2,,2.0,,48.4,74.4,X
14.0|15.0,87,2,,2.3,,58.3,59.2,X
14.0|16.0,56,2,,3.6,,35.9,99.7,O
14.0|2.0,78,8,,10.3,,78.6,53.5,X
14.0|3.0,117,10,,8.5,,124.3,90.9,O
14.0|4.0,118,3,,2.5,,8.2,68.5,X
14.0|5.0,140,8,,5.7,,132.6,78.1,X
14.0|6.0,119,9,,7.6,,87.2,79.5,X
14.0|7.0,152,7,,4.6,,194.7,71.1,X
14.0|8.0,140,5,,3.6,,113.9,57.9,X
14.0|9.0,136,6,,4.4,,86.5,112.2,O
15.0|1.0,144,2,,1.4,,15.4,49.9,X
15.0|10.0,110,2,,1.8,,6.1,31.3,X
15.0|11.0,81,2,,2.5,,37.0,59.7,X
15.0|12.0,89,2,,2.2,,26.3,23.0,X
15.0|13.0,83,2,,2.4,,27.8,123.4,O
15.0|14.0,90,2,,2.2,,33.9,49.4,X
15.0|15.0,56,0,,0.0,,0.0,46.7,X
15.0|16.0,53,1,,1.9,,12.6,31.5,X
15.0|2.0,58,5,,8.6,,37.0,42.7,X
15.0|3.0,64,1,,1.6,,7.9,68.0,X
15.0|4.0,70,2,,2.9,,21.6,29.4,X
15.0|5.0,81,4,,4.9,,152.5,93.3,O
15.0|6.0,112,9,,8.0,,219.2,174.6,O
15.0|7.0,92,2,,2.2,,21.0,60.6,X
15.0|8.0,98,4,,4.1,,312.2,78.7,X
15.0|9.0,87,2,,2.3,,60.9,31.2,X
16.0|1.0,105,4,,3.8,,59.5,53.4,X
16.0|10.0,71,3,,4.2,,64.7,58.0,X
16.0|11.0,63,5,,7.9,,272.0,116.0,O
16.0|12.0,61,2,,3.3,,26.6,67.9,X
16.0|13.0,65,1,,1.5,,21.5,34.0,X
16.0|14.0,62,2,,3.2,,36.7,70.2,X
16.0|15.0,48,4,,8.3,,153.1,125.1,O
16.0|16.0,36,3,,8.3,,302.3,137.7,O
16.0|2.0,36,3,,8.3,,54.7,55.2,X
16.0|3.0,43,3,,7.0,,65.0,51.0,X
16.0|4.0,56,4,,7.1,,60.8,50.3,X
16.0|5.0,70,1,,1.4,,134.7,108.2,O
16.0|6.0,69,5,,7.2,,235.8,121.5,O
16.0|7.0,65,2,,3.1,,83.3,71.6,X
16.0|8.0,65,1,,1.5,,31.0,46.7,X
16.0|9.0,67,1,,1.5,,44.7,34.8,X
2.0|1.0,511,101,,19.8,,55.4,62.9,X
2.0|10.0,250,40,,16.0,,68.6,76.2,X
2.0|11.0,191,21,,11.0,,69.4,78.4,X
2.0|12.0,179,17,,9.5,,31.2,75.3,X
2.0|13.0,134,15,,11.2,,39.8,73.1,X
2.0|14.0,90,9,,10.0,,79.6,56.9,X
2.0|15.0,73,9,,12.3,,40.0,60.9,X
2.0|16.0,58,8,,13.8,,59.5,64.2,X
2.0|2.0,1079,278,,25.8,,64.2,79.4,X
2.0|3.0,949,234,,24.7,,79.3,82.7,O
2.0|4.0,734,142,,19.3,,71.6,78.4,X
2.0|5.0,646,134,,20.7,,82.6,83.4,O
2.0|6.0,498,79,,15.9,,70.5,77.0,X
2.0|7.0,434,70,,16.1,,66.0,76.0,X
2.0|8.0,325,39,,12.0,,87.1,74.1,X
2.0|9.0,325,40,,12.3,,94.0,77.1,X
3.0|1.0,489,71,,14.5,,72.6,75.5,X
3.0|10.0,350,35,,10.0,,66.7,77.0,X
3.0|11.0,233,22,,9.4,,67.1,84.5,O
3.0|12.0,181,17,,9.4,,81.2,90.1,O
3.0|13.0,141,10,,7.1,,70.6,81.0,O
3.0|14.0,116,13,,11.2,,44.3,60.3,X
3.0|15.0,82,9,,11.0,,135.5,109.0,O
3.0|16.0,53,7,,13.2,,85.9,66.7,X
3.0|2.0,913,202,,22.1,,70.9,79.4,X
3.0|3.0,880,154,,17.5,,76.9,81.0,O
3.0|4.0,785,126,,16.1,,84.3,87.7,O
3.0|5.0,709,96,,13.5,,88.0,77.3,X
3.0|6.0,556,65,,11.7,,105.6,86.1,O
3.0|7.0,469,61,,13.0,,89.9,80.0,O
3.0|8.0,400,38,,9.5,,59.7,77.3,X
3.0|9.0,361,33,,9.1,,94.6,83.5,O
4.0|1.0,430,57,,13.3,,72.7,61.2,X
4.0|10.0,293,27,,9.2,,95.3,79.4,X
4.0|11.0,238,19,,8.0,,70.4,78.7,X
4.0|12.0,240,16,,6.7,,79.3,96.7,O
4.0|13.0,193,9,,4.7,,33.9,72.8,X
4.0|14.0,151,14,,9.3,,86.4,80.3,O
4.0|15.0,107,6,,5.6,,34.5,63.3,X
4.0|16.0,69,7,,10.1,,66.3,89.8,O
4.0|2.0,729,114,,15.6,,60.4,74.0,X
4.0|3.0,731,122,,16.7,,84.3,79.0,X
4.0|4.0,725,96,,13.2,,82.7,84.6,O
4.0|5.0,670,74,,11.0,,87.7,82.3,O
4.0|6.0,635,67,,10.6,,99.9,82.3,O
4.0|7.0,496,49,,9.9,,79.2,86.8,O
4.0|8.0,467,40,,8.6,,86.2,79.3,X
4.0|9.0,462,38,,8.2,,72.0,73.2,X
5.0|1.0,449,53,,11.8,,76.6,73.5,X
5.0|10.0,346,22,,6.4,,86.1,72.9,X
5.0|11.0,298,25,,8.4,,93.7,74.6,X
5.0|12.0,235,9,,3.8,,44.9,69.7,X
5.0|13.0,196,8,,4.1,,41.8,96.9,O
5.0|14.0,138,11,,8.0,,112.1,116.8,O
5.0|15.0,95,4,,4.2,,23.5,71.3,X
5.0|16.0,60,4,,6.7,,87.8,57.9,X
5.0|2.0,588,79,,13.4,,64.3,90.2,O
5.0|3.0,663,79,,11.9,,82.0,86.2,O
5.0|4.0,665,57,,8.6,,64.4,74.3,X
5.0|5.0,638,56,,8.8,,82.6,91.8,O
5.0|6.0,571,44,,7.7,,115.3,81.7,O
5.0|7.0,563,37,,6.6,,76.0,80.9,O
5.0|8.0,510,20,,3.9,,41.2,86.4,O
5.0|9.0,445,32,,7.2,,119.3,77.5,X
6.0|1.0,438,45,,10.3,,64.7,73.2,X
6.0|10.0,364,21,,5.8,,107.9,77.8,X
6.0|11.0,269,17,,6.3,,133.5,93.2,O
6.0|12.0,238,5,,2.1,,15.7,78.7,X
6.0|13.0,192,10,,5.2,,140.9,95.8,O
6.0|14.0,160,7,,4.4,,28.0,100.5,O
6.0|15.0,105,2,,1.9,,16.0,43.9,X
6.0|16.0,73,4,,5.5,,285.4,166.7,O
6.0|2.0,479,66,,13.8,,76.3,80.1,O
6.0|3.0,533,51,,9.6,,76.4,74.3,X
6.0|4.0,602,36,,6.0,,60.0,75.9,X
6.0|5.0,566,36,,6.4,,81.9,74.8,X
6.0|6.0,542,34,,6.3,,74.1,65.4,X
6.0|7.0,503,28,,5.6,,88.0,100.7,O
6.0|8.0,406,27,,6.7,,82.5,72.4,X
6.0|9.0,365,11,,3.0,,84.8,68.3,X
7.0|1.0,398,36,,9.0,,99.8,73.0,X
7.0|10.0,339,24,,7.1,,159.9,91.5,O
7.0|11.0,259,6,,2.3,,90.6,83.1,O
7.0|12.0,219,8,,3.7,,71.5,67.9,X
7.0|13.0,190,15,,7.9,,110.4,74.4,X
7.0|14.0,153,7,,4.6,,93.5,89.3,O
7.0|15.0,116,3,,2.6,,15.3,57.5,X
7.0|16.0,79,3,,3.8,,74.1,142.3,O
7.0|2.0,405,52,,12.8,,103.8,87.6,O
7.0|3.0,439,35,,8.0,,53.3,63.4,X
7.0|4.0,472,40,,8.5,,73.7,86.4,O
7.0|5.0,510,42,,8.2,,118.6,94.5,O
7.0|6.0,503,28,,5.6,,62.0,80.1,O
7.0|7.0,471,22,,4.7,,49.6,68.9,X
7.0|8.0,439,24,,5.5,,92.0,81.4,O
7.0|9.0,390,14,,3.6,,68.0,76.0,X
8.0|1.0,359,18,,5.0,,45.7,72.0,X
8.0|10.0,342,14,,4.1,,69.0,92.9,O
8.0|11.0,281,12,,4.3,,59.3,62.1,X
8.0|12.0,198,3,,1.5,,53.7,77.6,X
8.0|13.0,190,8,,4.2,,80.6,76.6,X
8.0|14.0,162,5,,3.1,,43.4,41.4,X
8.0|15.0,99,2,,2.0,,47.7,104.8,O
8.0|16.0,80,5,,6.2,,92.7,123.3,O
8.0|2.0,330,49,,14.8,,80.0,70.1,X
8.0|3.0,360,33,,9.2,,99.6,72.9,X
8.0|4.0,438,33,,7.5,,74.1,75.2,X
8.0|5.0,481,23,,4.8,,44.5,68.3,X
8.0|6.0,440,24,,5.5,,78.8,65.7,X
8.0|7.0,455,23,,5.1,,74.4,78.7,X
8.0|8.0,443,23,,5.2,,98.8,89.8,O
8.0|9.0,371,17,,4.6,,122.7,84.4,O
9.0|1.0,376,21,,5.6,,58.7,77.6,X
9.0|10.0,278,15,,5.4,,130.7,132.5,O
9.0|11.0,294,13,,4.4,,88.6,96.1,O
9.0|12.0,196,12,,6.1,,78.5,68.2,X
9.0|13.0,183,9,,4.9,,128.3,95.7,O
9.0|14.0,159,6,,3.8,,41.2,56.9,X
9.0|15.0,106,4,,3.8,,65.9,86.0,O
9.0|16.0,73,3,,4.1,,18.0,78.3,X
9.0|2.0,245,22,,9.0,,79.6,74.2,X
9.0|3.0,348,31,,8.9,,56.3,85.2,O
9.0|4.0,344,27,,7.8,,117.3,93.1,O
9.0|5.0,398,18,,4.5,,47.3,65.6,X
9.0|6.0,382,18,,4.7,,47.5,84.7,O
9.0|7.0,382,16,,4.2,,50.6,62.5,X
9.0|8.0,374,16,,4.3,,78.9,101.2,O
9.0|9.0,330,14,,4.2,,54.4,78.5,X
