bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1-3|0.0,47722,5829,,12.2,,76.9,77.4,X
1-3|10.0,2144,233,,10.9,,81.2,79.2,X
1-3|11.0,2464,269,,10.9,,101.6,82.1,O
1-3|12.0,2840,319,,11.2,,81.4,75.7,X
1-3|13.0,713,54,,7.6,,66.1,74.7,X
1-3|14.0,2859,352,,12.3,,82.4,78.2,X
1-3|15.0,1039,104,,10.0,,78.0,82.9,O
1-3|16.0,408,36,,8.8,,74.8,86.4,O
1-3|17.0,3187,373,,11.7,,68.0,81.3,O
1-3|18.0,1154,107,,9.3,,98.0,84.5,O
1-3|19.0,546,50,,9.2,,76.0,77.3,X
1-3|2.0,149,11,,7.4,,80.7,106.6,O
1-3|20.0,3467,443,,12.8,,77.7,77.4,X
1-3|21.0,631,51,,8.1,,53.7,80.0,O
1-3|22.0,1109,118,,10.6,,79.8,76.1,X
1-3|23.0,484,42,,8.7,,51.2,75.1,X
1-3|24.0,325,31,,9.5,,67.5,84.4,O
1-3|25.0,3890,481,,12.4,,88.5,79.0,X
1-3|26.0,164,9,,5.5,,56.7,72.5,X
1-3|27.0,664,65,,9.8,,79.1,89.5,O
1-3|28.0,157,8,,5.1,,106.6,83.0,O
1-3|29.0,1297,155,,12.0,,89.1,74.8,X
1-3|3.0,634,47,,7.4,,76.0,88.8,O
1-3|30.0,510,62,,12.2,,81.1,83.1,O
1-3|31.0,311,28,,9.0,,76.0,76.9,X
1-3|32.0,123,15,,12.2,,161.6,85.8,O
1-3|33.0,4174,501,,12.0,,69.5,78.9,X
1-3|35.0,122,14,,11.5,,54.1,107.7,O
1-3|36.0,322,40,,12.4,,67.4,74.2,X
1-3|37.0,56,2,,3.6,,41.3,39.6,X
1-3|38.0,611,75,,12.3,,71.8,75.9,X
1-3|39.0,39,7,,17.9,,58.5,94.5,O
1-3|4.0,1123,84,,7.5,,87.7,79.2,X
1-3|40.0,1236,173,,14.0,,78.9,87.7,O
1-3|41.0,54,3,,5.6,,57.0,51.0,X
1-3|42.0,101,14,,13.9,,72.7,110.5,O
1-3|43.0,509,61,,12.0,,66.1,84.8,O
1-3|44.0,269,39,,14.5,,123.7,97.1,O
1-3|45.0,117,16,,13.7,,60.5,76.9,X
1-3|46.0,83,4,,4.8,,17.0,81.3,O
1-3|47.0,77,2,,2.6,,6.9,92.0,O
1-3|5.0,1539,113,,7.3,,71.6,82.1,O
1-3|50.0,3925,500,,12.7,,76.1,77.7,X
1-3|53.0,32,4,,12.5,,71.9,52.1,X
1-3|55.0,50,10,,20.0,,68.3,118.1,O
1-3|56.0,83,8,,9.6,,32.3,80.9,O
1-3|57.0,182,22,,12.1,,63.3,81.1,O
1-3|6.0,2057,179,,8.7,,74.9,78.2,X
1-3|60.0,398,46,,11.6,,92.0,88.5,O
1-3|62.0,97,12,,12.4,,65.6,68.5,X
1-3|67.0,964,112,,11.6,,82.0,81.2,O
1-3|7.0,2029,191,,9.4,,79.2,80.0,O
1-3|71.0,69,10,,14.5,,118.6,83.8,O
1-3|75.0,306,46,,15.0,,103.6,92.9,O
1-3|8.0,2568,271,,10.6,,90.7,80.6,O
1-3|80.0,113,13,,11.5,,60.7,73.8,X
1-3|83.0,48,5,,10.4,,29.3,81.8,O
1-3|86.0,36,8,,22.2,,235.4,119.5,O
1-3|9.0,1812,182,,10.0,,67.7,78.9,X
1-3|99.9,1414,192,,13.6,,76.9,75.3,X
10+|0.0,14467,879,,6.1,,79.5,79.7,X
10+|10.0,1328,91,,6.9,,83.7,77.5,X
10+|11.0,1462,83,,5.7,,84.8,80.1,O
10+|12.0,1971,104,,5.3,,70.2,77.4,X
10+|13.0,682,34,,5.0,,73.6,79.8,X
10+|14.0,1888,134,,7.1,,105.0,83.8,O
10+|15.0,867,40,,4.6,,70.0,79.4,X
10+|16.0,468,12,,2.6,,28.0,64.7,X
10+|17.0,2136,128,,6.0,,77.6,72.8,X
10+|18.0,1092,62,,5.7,,75.3,80.0,O
10+|19.0,702,30,,4.3,,85.4,59.8,X
10+|2.0,56,2,,3.6,,26.4,100.7,O
10+|20.0,2319,162,,7.0,,81.0,76.5,X
10+|21.0,771,45,,5.8,,94.0,70.2,X
10+|22.0,1065,64,,6.0,,106.0,78.4,X
10+|23.0,678,40,,5.9,,69.7,70.5,X
10+|24.0,559,20,,3.6,,44.0,64.8,X
10+|25.0,2925,215,,7.4,,95.9,85.1,O
10+|26.0,351,18,,5.1,,84.0,86.8,O
10+|27.0,876,47,,5.4,,54.8,75.3,X
10+|28.0,319,10,,3.1,,62.2,63.0,X
10+|29.0,1364,100,,7.3,,69.0,74.8,X
10+|3.0,361,14,,3.9,,119.2,78.7,X
10+|30.0,699,43,,6.2,,71.4,73.1,X
10+|31.0,561,24,,4.3,,78.8,90.5,O
10+|32.0,323,14,,4.3,,43.4,77.9,X
10+|33.0,3677,238,,6.5,,85.3,80.3,O
10+|34.0,57,4,,7.0,,95.2,50.8,X
10+|35.0,330,15,,4.5,,58.5,64.5,X
10+|36.0,593,34,,5.7,,78.2,70.2,X
10+|37.0,144,8,,5.6,,40.0,44.7,X
10+|38.0,920,67,,7.3,,80.2,77.3,X
10+|39.0,186,5,,2.7,,46.5,73.9,X
10+|4.0,688,30,,4.4,,80.3,65.5,X
10+|40.0,1310,92,,7.0,,66.0,75.4,X
10+|41.0,164,4,,2.4,,24.4,64.1,X
10+|42.0,322,18,,5.6,,49.7,70.1,X
10+|43.0,686,47,,6.9,,59.7,95.9,O
10+|44.0,498,25,,5.0,,39.2,73.4,X
10+|45.0,295,20,,6.8,,67.6,54.8,X
10+|46.0,179,12,,6.7,,53.3,99.3,O
10+|47.0,239,10,,4.2,,62.9,95.4,O
10+|48.0,129,4,,3.1,,18.0,59.6,X
10+|5.0,895,44,,4.9,,99.1,91.7,O
10+|50.0,4866,338,,6.9,,78.2,80.7,O
10+|52.0,94,4,,4.3,,83.7,89.7,O
10+|53.0,174,7,,4.0,,25.7,59.7,X
10+|54.0,142,8,,5.6,,171.9,84.0,O
10+|55.0,169,5,,3.0,,26.1,96.9,O
10+|56.0,264,19,,7.2,,107.5,84.6,O
10+|57.0,380,34,,8.9,,94.2,72.8,X
10+|58.0,127,5,,3.9,,44.2,49.5,X
10+|59.0,66,3,,4.5,,45.9,76.9,X
10+|6.0,1082,56,,5.2,,105.2,74.2,X
10+|60.0,716,42,,5.9,,75.0,77.1,X
10+|61.0,48,1,,2.1,,9.4,52.3,X
10+|62.0,313,19,,6.1,,43.8,52.8,X
10+|64.0,130,9,,6.9,,27.2,68.6,X
10+|65.0,50,2,,4.0,,40.1,63.0,X
10+|67.0,1689,126,,7.5,,109.9,89.6,O
10+|68.0,30,3,,10.0,,81.6,26.2,X
10+|69.0,50,2,,4.0,,24.2,78.4,X
10+|7.0,1122,62,,5.5,,105.1,72.4,X
10+|70.0,105,6,,5.7,,70.6,77.1,X
10+|71.0,228,12,,5.3,,40.7,45.7,X
10+|73.0,75,4,,5.3,,52.4,67.9,X
10+|75.0,716,42,,5.9,,64.6,78.5,X
10+|78.0,60,2,,3.3,,26.2,138.7,O
10+|8.0,1430,78,,5.5,,90.4,75.7,X
10+|80.0,325,21,,6.5,,83.4,65.6,X
10+|83.0,160,8,,5.0,,33.8,81.0,O
10+|86.0,77,3,,3.9,,39.8,112.4,O
10+|88.0,37,3,,8.1,,107.9,114.7,O
10+|9.0,1078,74,,6.9,,79.8,86.6,O
10+|99.9,6723,415,,6.2,,73.3,69.7,X
4-6|0.0,28557,3032,,10.6,,79.3,78.5,X
4-6|10.0,1630,128,,7.9,,66.2,86.7,O
4-6|11.0,1774,165,,9.3,,73.5,83.3,O
4-6|12.0,2254,195,,8.7,,64.6,73.6,X
4-6|13.0,627,47,,7.5,,60.4,78.7,X
4-6|14.0,2102,208,,9.9,,96.3,83.9,O
4-6|15.0,859,58,,6.8,,75.5,69.5,X
4-6|16.0,384,34,,8.9,,114.7,87.2,O
4-6|17.0,2421,236,,9.7,,83.1,77.7,X
4-6|18.0,997,73,,7.3,,55.5,71.1,X
4-6|19.0,516,40,,7.8,,54.3,67.4,X
4-6|2.0,105,8,,7.6,,45.5,62.1,X
4-6|20.0,2643,273,,10.3,,87.0,84.7,O
4-6|21.0,600,37,,6.2,,84.1,79.0,X
4-6|22.0,947,94,,9.9,,79.0,76.8,X
4-6|23.0,488,35,,7.2,,88.1,75.7,X
4-6|24.0,333,30,,9.0,,68.1,64.1,X
4-6|25.0,3140,328,,10.4,,74.8,87.2,O
4-6|26.0,213,14,,6.6,,47.6,62.0,X
4-6|27.0,645,54,,8.4,,80.6,91.1,O
4-6|28.0,181,9,,5.0,,70.2,50.8,X
4-6|29.0,1179,103,,8.7,,58.4,75.3,X
4-6|3.0,454,18,,4.0,,48.5,64.3,X
4-6|30.0,563,44,,7.8,,52.4,75.2,X
4-6|31.0,368,37,,10.1,,112.1,88.4,O
4-6|32.0,135,11,,8.1,,71.6,110.4,O
4-6|33.0,3613,384,,10.6,,83.1,88.9,O
4-6|35.0,154,11,,7.1,,41.7,67.0,X
4-6|36.0,364,29,,8.0,,44.8,71.5,X
4-6|37.0,72,5,,6.9,,40.8,63.8,X
4-6|38.0,638,56,,8.8,,68.7,74.4,X
4-6|39.0,90,5,,5.6,,24.6,63.3,X
4-6|4.0,820,51,,6.2,,56.0,65.7,X
4-6|40.0,1136,119,,10.5,,67.7,74.7,X
