bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
00|1,183,34,,18.6,,59.7,71.4,X
00|2,190,36,,18.9,,86.1,66.4,X
00|3,184,27,,14.7,,86.8,77.0,X
00|4,189,15,,7.9,,63.9,64.2,X
00|5,213,16,,7.5,,52.5,59.4,X
00|6,206,12,,5.8,,58.9,70.9,X
01|1,3892,1254,,32.2,,82.5,82.7,O
01|2,3643,713,,19.6,,76.3,77.6,X
01|3,3175,471,,14.8,,82.1,77.6,X
01|4,3029,339,,11.2,,79.1,72.4,X
01|5,2740,248,,9.1,,75.5,73.4,X
01|6,2492,150,,6.0,,63.7,66.4,X
02|1,5428,1627,,30.0,,76.6,83.6,O
02|2,4866,985,,20.2,,76.0,81.4,O
02|3,4381,686,,15.7,,81.2,83.4,O
02|4,4138,459,,11.1,,78.4,80.9,O
02|5,3691,310,,8.4,,79.7,80.4,O
02|6,3339,215,,6.4,,80.6,78.9,X
03|1,4132,1240,,30.0,,79.2,84.4,O
03|2,3747,722,,19.3,,75.0,81.3,O
03|3,3501,485,,13.9,,74.9,79.7,X
03|4,3306,360,,10.9,,75.6,76.5,X
03|5,3059,224,,7.3,,65.0,78.6,X
03|6,2681,175,,6.5,,84.4,76.3,X
04|1,3249,972,,29.9,,84.3,84.1,O
04|2,3183,621,,19.5,,86.4,83.9,O
04|3,3161,394,,12.5,,67.1,76.2,X
04|4,2815,291,,10.3,,73.9,79.0,X
04|5,2724,220,,8.1,,74.0,75.9,X
04|6,2458,154,,6.3,,74.8,75.3,X
05|1,2734,789,,28.9,,78.8,82.8,O
05|2,2718,488,,18.0,,72.0,76.4,X
05|3,2662,385,,14.5,,82.0,80.8,O
05|4,2609,248,,9.5,,74.9,84.7,O
05|5,2586,192,,7.4,,73.6,77.6,X
05|6,2371,142,,6.0,,73.1,78.9,X
06|1,2190,583,,26.6,,75.8,84.5,O
06|2,2279,404,,17.7,,81.7,83.1,O
06|3,2334,334,,14.3,,90.4,84.3,O
06|4,2280,188,,8.2,,59.4,75.1,X
06|5,2238,178,,8.0,,96.9,77.8,X
06|6,2137,130,,6.1,,80.7,79.0,X
07|1,1992,557,,28.0,,79.9,84.4,O
07|2,2084,333,,16.0,,72.0,81.6,O
07|3,2170,270,,12.4,,70.2,83.4,O
07|4,2354,215,,9.1,,75.1,79.7,X
07|5,2333,183,,7.8,,78.2,79.5,X
07|6,2187,116,,5.3,,79.1,85.0,O
08|1,1482,366,,24.7,,73.8,85.8,O
08|2,1690,290,,17.2,,83.8,85.0,O
08|3,1827,213,,11.7,,64.8,77.4,X
08|4,1910,183,,9.6,,88.9,79.2,X
08|5,1880,121,,6.4,,62.5,71.2,X
08|6,1984,108,,5.4,,80.6,83.6,O
09|1,1128,305,,27.0,,85.1,83.7,O
09|2,1325,229,,17.3,,76.9,82.5,O
09|3,1484,196,,13.2,,73.9,80.0,O
09|4,1631,159,,9.7,,80.6,77.0,X
09|5,1739,119,,6.8,,64.7,72.8,X
09|6,1724,88,,5.1,,69.5,73.2,X
10|1,1013,270,,26.7,,84.7,86.5,O
10|2,1178,216,,18.3,,87.5,85.0,O
10|3,1279,144,,11.3,,70.1,81.3,O
10|4,1359,112,,8.2,,72.1,75.7,X
10|5,1498,118,,7.9,,94.9,80.9,O
10|6,1596,104,,6.5,,108.4,79.1,X
11|1,752,179,,23.8,,70.3,77.6,X
11|2,897,157,,17.5,,84.7,82.5,O
11|3,999,127,,12.7,,77.8,76.1,X
11|4,1133,103,,9.1,,82.6,82.6,O
11|5,1297,71,,5.5,,54.0,71.7,X
11|6,1376,62,,4.5,,72.8,82.0,O
12|1,538,121,,22.5,,70.2,73.7,X
12|2,683,110,,16.1,,90.1,90.8,O
12|3,857,90,,10.5,,77.2,73.7,X
12|4,947,95,,10.0,,91.3,76.5,X
12|5,998,76,,7.6,,71.5,69.9,X
12|6,1132,49,,4.3,,66.5,80.9,O
13|1,455,112,,24.6,,81.0,89.9,O
13|2,508,77,,15.2,,65.7,84.0,O
13|3,692,89,,12.9,,91.3,83.8,O
13|4,721,71,,9.8,,93.1,84.9,O
13|5,838,77,,9.2,,87.7,74.8,X
13|6,932,46,,4.9,,71.0,76.4,X
14|1,315,74,,23.5,,74.6,77.5,X
14|2,321,50,,15.6,,82.2,86.1,O
14|3,470,64,,13.6,,94.5,79.1,X
14|4,530,45,,8.5,,78.3,73.4,X
14|5,624,29,,4.6,,48.4,70.6,X
14|6,690,42,,6.1,,89.3,94.2,O
15|1,202,40,,19.8,,58.3,66.4,X
15|2,248,45,,18.1,,96.7,76.8,X
15|3,331,35,,10.6,,76.3,74.5,X
15|4,374,29,,7.8,,60.7,64.0,X
15|5,432,27,,6.2,,79.0,78.5,X
15|6,491,15,,3.1,,45.5,71.8,X
16|1,118,33,,28.0,,85.3,89.7,O
16|2,138,25,,18.1,,102.5,88.7,O
16|3,173,24,,13.9,,86.1,85.0,O
16|4,197,14,,7.1,,62.6,83.9,O
16|5,243,17,,7.0,,94.8,67.0,X
16|6,305,21,,6.9,,81.3,78.8,X
17|1,30,6,,20.0,,103.1,90.4,O
17|2,48,5,,10.4,,72.4,63.3,X
17|3,48,1,,2.1,,3.2,67.8,X
17|4,66,4,,6.1,,38.1,54.8,X
17|5,63,3,,4.8,,42.2,118.3,O
17|6,78,7,,9.0,,132.8,83.8,O
18|4,33,1,,3.0,,57.6,28.5,X
18|6,49,3,,6.1,,70.7,94.4,O
