bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
00|211,35,3,,8.6,,172.8,84.8,O
00|221,62,5,,8.1,,40.7,42.4,X
00|222,593,49,,8.3,,85.1,77.7,X
00|232,619,44,,7.1,,66.9,77.4,X
00|233,690,40,,5.8,,99.8,83.2,O
00|322,59,5,,8.5,,87.7,98.1,O
00|323,52,4,,7.7,,56.8,104.1,O
00|33,46,3,,6.5,,25.8,52.6,X
00|332,88,8,,9.1,,67.9,77.9,X
00|333,270,8,,3.0,,52.4,77.2,X
01|111,221,21,,9.5,,47.3,85.5,O
01|121,92,15,,16.3,,151.9,87.1,O
01|122,197,25,,12.7,,64.1,90.4,O
01|132,55,6,,10.9,,46.1,47.2,X
01|133,35,4,,11.4,,37.5,43.5,X
01|211,445,46,,10.3,,77.0,77.4,X
01|212,58,4,,6.9,,48.8,62.6,X
01|22,395,58,,14.7,,74.9,92.8,O
01|221,725,91,,12.6,,70.1,68.6,X
01|222,14133,1729,,12.2,,73.4,76.4,X
01|223,705,80,,11.3,,58.3,76.8,X
01|232,4221,519,,12.3,,81.0,78.0,X
01|233,3355,352,,10.5,,75.2,73.7,X
01|32,224,32,,14.3,,83.2,75.8,X
01|321,45,4,,8.9,,55.7,113.5,O
01|322,622,80,,12.9,,84.1,75.9,X
01|323,1144,127,,11.1,,58.2,64.0,X
01|33,294,27,,9.2,,62.7,71.7,X
01|332,620,62,,10.0,,84.3,73.6,X
01|333,2121,236,,11.1,,81.7,75.0,X
02|111,264,27,,10.2,,98.5,101.2,O
02|121,137,16,,11.7,,52.1,66.8,X
02|122,240,30,,12.5,,104.2,71.3,X
02|132,64,13,,20.3,,109.4,85.9,O
02|133,34,3,,8.8,,71.0,72.8,X
02|211,541,58,,10.7,,53.9,66.9,X
02|212,65,4,,6.2,,60.8,72.2,X
02|22,508,79,,15.6,,95.0,86.0,O
02|221,1014,126,,12.4,,100.4,93.8,O
02|222,18415,2293,,12.5,,80.1,81.5,O
02|223,1100,142,,12.9,,83.6,82.1,O
02|232,5927,690,,11.6,,81.8,80.0,O
02|233,4565,468,,10.3,,74.8,83.0,O
02|32,282,44,,15.6,,96.0,98.0,O
02|321,59,10,,16.9,,178.3,102.4,O
02|322,813,106,,13.0,,106.3,74.6,X
02|323,1544,173,,11.2,,70.1,68.1,X
02|33,406,43,,10.6,,94.7,74.4,X
02|332,796,97,,12.2,,98.6,74.5,X
02|333,2802,300,,10.7,,83.8,81.2,O
03|111,188,21,,11.2,,59.9,89.9,O
03|121,101,10,,9.9,,65.5,60.8,X
03|122,187,22,,11.8,,93.5,58.6,X
03|132,52,5,,9.6,,29.9,74.2,X
03|211,425,42,,9.9,,91.5,84.0,O
03|212,52,4,,7.7,,24.9,60.6,X
03|22,379,50,,13.2,,74.3,79.8,X
03|221,747,88,,11.8,,80.8,85.7,O
03|222,14253,1712,,12.0,,76.8,80.3,O
03|223,853,114,,13.4,,90.2,77.2,X
03|232,4910,499,,10.2,,76.2,74.8,X
03|233,3767,376,,10.0,,80.4,82.9,O
03|32,215,20,,9.3,,81.8,71.8,X
03|321,45,5,,11.1,,43.4,71.4,X
03|322,706,84,,11.9,,67.3,77.6,X
03|323,1196,138,,11.5,,75.0,83.6,O
03|33,387,39,,10.1,,58.5,56.6,X
03|332,715,84,,11.7,,73.1,87.0,O
03|333,2314,235,,10.2,,63.0,72.7,X
04|111,157,14,,8.9,,38.7,83.6,O
04|121,89,14,,15.7,,85.8,66.0,X
04|122,143,15,,10.5,,106.7,92.1,O
04|132,42,6,,14.3,,97.9,150.9,O
04|211,344,31,,9.0,,82.9,82.6,O
04|212,42,3,,7.1,,38.3,40.7,X
04|22,317,46,,14.5,,130.2,89.0,O
04|221,679,54,,8.0,,57.6,79.6,X
04|222,12688,1452,,11.4,,82.3,80.8,O
04|223,785,88,,11.2,,68.4,66.4,X
04|232,4439,464,,10.5,,73.8,83.2,O
04|233,3347,289,,8.6,,62.6,76.9,X
04|32,163,14,,8.6,,66.2,86.1,O
04|321,58,6,,10.3,,80.9,48.6,X
04|322,595,62,,10.4,,60.3,67.0,X
04|323,1065,108,,10.1,,89.9,85.5,O
04|33,285,26,,9.1,,46.8,86.3,O
04|332,615,67,,10.9,,75.2,75.8,X
04|333,2119,189,,8.9,,85.5,73.3,X
05|111,155,17,,11.0,,157.4,80.8,O
05|121,57,9,,15.8,,120.3,74.7,X
05|122,136,19,,14.0,,55.9,93.0,O
05|132,49,5,,10.2,,56.4,65.3,X
