bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
01|16,1266,100,,7.9,,67.6,75.3,X
01|17,1242,114,,9.2,,72.0,87.0,O
01|18,1158,102,,8.8,,90.3,87.3,O
01|19,1189,115,,9.7,,90.5,80.9,O
01|20,1355,108,,8.0,,80.9,82.1,O
01|21,1472,117,,7.9,,71.3,73.9,X
01|22,1357,125,,9.2,,76.5,80.8,O
01|23,1433,123,,8.6,,88.1,74.7,X
01|24,1365,122,,8.9,,72.8,76.2,X
01|25,1282,120,,9.4,,86.4,81.1,O
02|16,1390,122,,8.8,,94.9,80.9,O
02|17,1342,117,,8.7,,83.4,80.0,O
02|18,1331,123,,9.2,,77.2,84.6,O
02|19,1265,112,,8.9,,62.2,72.3,X
02|20,1390,129,,9.3,,79.1,77.0,X
02|21,1102,91,,8.3,,76.1,77.6,X
02|22,1167,95,,8.1,,70.1,73.1,X
02|23,1347,127,,9.4,,84.4,78.9,X
02|24,1116,105,,9.4,,67.7,77.8,X
02|25,1148,96,,8.4,,65.2,68.0,X
03|16,2201,176,,8.0,,84.9,76.9,X
03|17,2219,155,,7.0,,66.4,71.7,X
03|18,2189,166,,7.6,,76.3,73.2,X
03|19,2218,186,,8.4,,85.0,79.9,X
03|20,2342,172,,7.3,,77.7,83.7,O
03|21,1369,103,,7.5,,81.2,79.3,X
03|22,2157,162,,7.5,,68.6,77.1,X
03|23,2237,175,,7.8,,68.9,74.4,X
03|24,2089,158,,7.6,,78.9,70.0,X
03|25,2171,152,,7.0,,65.9,82.9,O
04|16,2777,198,,7.1,,62.0,76.6,X
04|17,2825,232,,8.2,,79.6,80.6,O
04|18,2605,220,,8.4,,76.4,75.8,X
04|19,2576,235,,9.1,,80.9,79.4,X
04|20,3019,270,,8.9,,88.2,85.3,O
04|21,4035,348,,8.6,,84.3,80.3,O
04|22,2909,283,,9.7,,78.3,80.1,O
04|23,2805,261,,9.3,,85.1,83.3,O
04|24,2822,248,,8.8,,74.4,82.4,O
04|25,2568,221,,8.6,,83.8,77.7,X
05|16,5464,537,,9.8,,77.5,76.3,X
05|17,5346,492,,9.2,,67.3,76.5,X
05|18,5207,504,,9.7,,71.3,78.3,X
05|19,5006,484,,9.7,,78.4,77.5,X
05|20,5239,461,,8.8,,74.9,75.2,X
05|21,5267,513,,9.7,,78.3,76.2,X
05|22,4973,536,,10.8,,86.4,82.1,O
05|23,5039,509,,10.1,,74.9,75.7,X
05|24,4816,492,,10.2,,70.7,73.0,X
05|25,4848,478,,9.9,,83.9,76.6,X
06|16,4874,421,,8.6,,72.0,73.4,X
06|17,5046,403,,8.0,,75.1,77.2,X
06|18,4621,375,,8.1,,67.6,73.9,X
06|19,4751,397,,8.4,,67.9,73.6,X
06|20,5162,431,,8.3,,79.7,80.0,O
06|21,4884,414,,8.5,,76.7,77.0,X
06|22,4635,378,,8.2,,64.8,72.2,X
06|23,4777,411,,8.6,,73.7,75.8,X
06|24,4654,427,,9.2,,71.2,75.4,X
06|25,4819,450,,9.3,,92.8,79.7,X
07|16,3238,283,,8.7,,85.4,82.2,O
07|17,3208,288,,9.0,,86.1,75.9,X
07|18,3164,301,,9.5,,79.2,86.5,O
07|19,3112,287,,9.2,,88.0,80.5,O
07|20,2620,218,,8.3,,63.0,83.6,O
07|21,5187,476,,9.2,,76.1,83.3,O
07|22,4907,466,,9.5,,71.7,81.1,O
07|23,3477,337,,9.7,,84.8,80.4,O
07|24,3001,282,,9.4,,85.0,82.3,O
07|25,3705,363,,9.8,,84.1,82.0,O
08|16,5392,534,,9.9,,89.2,86.5,O
08|17,5117,506,,9.9,,86.4,86.9,O
08|18,4837,543,,11.2,,91.0,87.9,O
08|19,4926,497,,10.1,,83.9,85.4,O
08|20,4634,477,,10.3,,89.4,81.9,O
08|21,260,22,,8.5,,61.0,72.1,X
08|23,2495,247,,9.9,,73.9,81.2,O
08|24,5706,589,,10.3,,79.7,80.8,O
08|25,4932,479,,9.7,,83.9,78.3,X
09|16,4741,442,,9.3,,86.4,87.6,O
09|17,4874,500,,10.3,,89.2,81.1,O
09|18,4640,454,,9.8,,85.5,79.3,X
09|19,4739,462,,9.7,,78.4,81.9,O
09|20,5305,510,,9.6,,78.0,79.7,X
09|21,5500,554,,10.1,,86.9,83.6,O
09|22,5621,586,,10.4,,77.7,78.1,X
09|23,5250,541,,10.3,,84.9,78.0,X
09|24,2672,296,,11.1,,77.3,77.7,X
09|25,3317,362,,10.9,,84.4,83.7,O
10|16,2108,154,,7.3,,93.1,73.1,X
10|17,2124,155,,7.3,,78.5,76.7,X
10|18,2026,164,,8.1,,83.9,76.3,X
10|19,2019,171,,8.5,,74.1,80.9,O
10|20,2071,180,,8.7,,85.2,81.0,O
10|21,3272,291,,8.9,,81.0,79.1,X
10|22,3164,269,,8.5,,63.7,73.9,X
10|23,2465,206,,8.4,,69.7,80.5,O
10|24,2733,245,,9.0,,78.6,76.0,X
10|25,2072,178,,8.6,,70.4,81.4,O
30|16,58,3,,5.2,,28.8,47.6,X
30|17,67,6,,9.0,,152.4,60.3,X
30|18,45,1,,2.2,,22.7,71.1,X
30|19,63,1,,1.6,,91.0,96.5,O
30|20,54,5,,9.3,,220.0,129.6,O
30|21,70,1,,1.4,,7.6,37.9,X
30|22,55,6,,10.9,,279.5,100.9,O
30|23,54,2,,3.7,,80.0,61.1,X
30|24,38,2,,5.3,,51.3,67.6,X
30|25,45,3,,6.7,,87.1,54.9,X
35|16,36,0,,0.0,,0.0,18.9,X
35|17,36,2,,5.6,,58.1,50.6,X
35|20,41,4,,9.8,,98.3,99.0,O
35|21,33,2,,6.1,,32.4,112.7,O
35|22,37,0,,0.0,,0.0,80.5,O
35|23,37,2,,5.4,,104.9,184.1,O
42|19,40,1,,2.5,,8.5,39.0,X
42|20,32,2,,6.2,,113.8,51.6,X
42|21,42,1,,2.4,,16.4,53.6,X
42|22,34,1,,2.9,,15.3,145.3,O
42|23,44,2,,4.5,,32.3,100.9,O
42|25,33,2,,6.1,,127.6,90.9,O
43|16,31,1,,3.2,,14.2,109.0,O
43|17,37,2,,5.4,,129.2,153.8,O
43|18,34,1,,2.9,,12.4,63.8,X
43|19,35,4,,11.4,,327.7,152.3,O
43|20,36,4,,11.1,,65.3,150.6,O
43|21,38,0,,0.0,,0.0,88.9,O
43|22,34,3,,8.8,,77.4,133.5,O
43|23,47,3,,6.4,,134.9,70.4,X
43|24,32,0,,0.0,,0.0,62.2,X
43|25,48,3,,6.2,,140.0,67.5,X
44|16,42,3,,7.1,,260.5,71.9,X
44|17,59,4,,6.8,,255.1,118.6,O
44|18,52,4,,7.7,,100.0,37.9,X
44|19,53,3,,5.7,,84.5,100.2,O
44|20,40,7,,17.5,,152.2,79.8,X
44|21,45,3,,6.7,,26.4,55.3,X
44|22,38,2,,5.3,,63.2,100.3,O
44|23,50,5,,10.0,,80.6,128.4,O
44|24,39,3,,7.7,,143.1,156.4,O
44|25,37,3,,8.1,,44.6,40.0,X
45|16,68,1,,1.5,,23.4,57.2,X
45|17,54,1,,1.9,,47.0,39.6,X
45|18,66,3,,4.5,,98.6,81.8,O
45|19,63,2,,3.2,,30.6,56.7,X
45|20,48,5,,10.4,,124.2,51.2,X
45|21,60,2,,3.3,,110.2,124.2,O
45|22,79,2,,2.5,,13.8,55.8,X
45|23,70,3,,4.3,,36.6,80.3,O
45|24,51,3,,5.9,,96.5,70.6,X
45|25,46,1,,2.2,,10.0,76.5,X
46|21,36,1,,2.8,,9.2,34.7,X
46|22,34,1,,2.9,,33.5,191.8,O
46|24,34,0,,0.0,,0.0,84.4,O
47|16,58,0,,0.0,,0.0,41.0,X
47|17,51,0,,0.0,,0.0,91.8,O
47|18,42,0,,0.0,,0.0,66.4,X
47|19,51,1,,2.0,,17.1,28.8,X
47|20,39,2,,5.1,,28.5,57.9,X
47|22,43,2,,4.7,,69.3,79.8,X
47|23,49,2,,4.1,,15.3,8.6,X
47|24,36,1,,2.8,,10.3,96.9,O
47|25,33,0,,0.0,,0.0,95.8,O
48|16,46,1,,2.2,,3.9,101.3,O
48|17,58,2,,3.4,,52.4,67.4,X
48|18,53,3,,5.7,,93.0,54.7,X
48|19,70,2,,2.9,,31.6,34.6,X
48|20,61,1,,1.6,,4.3,39.7,X
48|21,63,2,,3.2,,25.6,97.1,O
48|22,61,1,,1.6,,12.0,35.6,X
48|23,43,1,,2.3,,12.1,30.5,X
48|24,53,3,,5.7,,59.2,67.4,X
48|25,45,1,,2.2,,23.8,73.1,X
50|16,100,6,,6.0,,122.7,96.8,O
50|17,107,4,,3.7,,154.6,77.3,X
50|18,90,3,,3.3,,11.7,46.7,X
50|19,123,3,,2.4,,15.3,40.0,X
50|20,102,4,,3.9,,90.0,45.7,X
50|21,83,8,,9.6,,167.2,63.9,X
50|22,104,10,,9.6,,124.6,121.1,O
50|23,81,3,,3.7,,93.0,115.3,O
50|24,63,5,,7.9,,57.5,139.7,O
50|25,64,1,,1.6,,10.6,64.2,X
