bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0|11,105,12,,11.4,,142.4,52.3,X
1.0|111,103,14,,13.6,,124.7,70.3,X
1.0|121,307,38,,12.4,,60.0,71.1,X
1.0|122,492,45,,9.1,,56.9,67.1,X
1.0|132,328,38,,11.6,,129.2,94.0,O
1.0|133,238,30,,12.6,,85.1,69.0,X
1.0|21,516,50,,9.7,,54.6,64.3,X
1.0|211,104,10,,9.6,,16.3,34.7,X
1.0|212,68,8,,11.8,,84.0,67.2,X
1.0|213,58,5,,8.6,,82.5,81.6,O
1.0|22,320,35,,10.9,,115.0,81.8,O
1.0|221,283,24,,8.5,,58.4,74.7,X
1.0|222,551,57,,10.3,,69.8,80.1,O
1.0|223,35,0,,0.0,,0.0,42.4,X
1.0|232,404,32,,7.9,,36.2,63.6,X
1.0|233,465,48,,10.3,,78.6,72.5,X
1.0|32,563,52,,9.2,,74.0,56.7,X
1.0|321,58,6,,10.3,,33.8,58.4,X
1.0|322,109,15,,13.8,,97.0,88.9,O
1.0|323,79,8,,10.1,,110.2,61.8,X
1.0|33,132,8,,6.1,,40.0,65.1,X
1.0|332,45,5,,11.1,,42.9,42.5,X
10.0|11,56,3,,5.4,,13.1,46.7,X
10.0|111,42,3,,7.1,,55.8,45.1,X
10.0|121,163,18,,11.0,,267.6,134.4,O
10.0|122,352,22,,6.2,,87.6,78.6,X
10.0|132,258,16,,6.2,,100.7,86.9,O
10.0|133,218,15,,6.9,,102.9,99.7,O
10.0|21,321,26,,8.1,,75.5,74.3,X
10.0|211,66,3,,4.5,,57.7,74.1,X
10.0|212,40,1,,2.5,,2.8,92.3,O
10.0|213,45,2,,4.4,,72.9,33.2,X
10.0|22,200,12,,6.0,,58.4,42.9,X
10.0|221,176,16,,9.1,,158.4,104.3,O
10.0|222,358,19,,5.3,,40.5,87.2,O
10.0|223,34,5,,14.7,,104.1,58.2,X
10.0|232,278,14,,5.0,,59.9,73.9,X
10.0|233,340,14,,4.1,,81.9,81.9,O
10.0|32,426,23,,5.4,,90.5,78.0,X
10.0|321,37,4,,10.8,,101.2,98.8,O
10.0|322,52,1,,1.9,,9.6,67.3,X
10.0|323,61,3,,4.9,,76.7,163.5,O
10.0|33,118,4,,3.4,,73.7,106.4,O
10.0|332,37,2,,5.4,,35.0,87.9,O
11.0|11,49,1,,2.0,,10.7,62.3,X
11.0|111,38,4,,10.5,,186.8,69.8,X
11.0|121,142,12,,8.5,,59.8,73.3,X
11.0|122,276,14,,5.1,,51.8,78.0,X
11.0|132,234,14,,6.0,,66.5,94.7,O
11.0|133,155,10,,6.5,,229.2,109.9,O
11.0|21,267,18,,6.7,,130.4,85.7,O
11.0|211,46,4,,8.7,,43.8,79.2,X
11.0|213,39,2,,5.1,,48.8,61.1,X
11.0|22,173,9,,5.2,,132.4,135.2,O
11.0|221,130,9,,6.9,,50.1,64.2,X
11.0|222,308,24,,7.8,,95.7,73.8,X
11.0|232,262,20,,7.6,,75.3,77.0,X
11.0|233,307,14,,4.6,,52.3,84.4,O
11.0|32,331,9,,2.7,,86.0,79.3,X
11.0|322,59,6,,10.2,,67.2,46.4,X
11.0|323,48,2,,4.2,,19.3,27.2,X
11.0|33,108,4,,3.7,,79.6,63.5,X
11.0|332,35,0,,0.0,,0.0,3.9,X
12.0|11,43,2,,4.7,,29.6,86.9,O
12.0|111,36,0,,0.0,,0.0,25.5,X
12.0|121,141,5,,3.5,,43.7,67.6,X
12.0|122,205,8,,3.9,,66.8,117.4,O
12.0|132,194,11,,5.7,,94.7,102.3,O
12.0|133,147,6,,4.1,,36.7,50.4,X
12.0|21,235,10,,4.3,,91.1,93.5,O
12.0|211,40,3,,7.5,,46.4,35.4,X
12.0|22,135,7,,5.2,,38.3,95.1,O
12.0|221,120,2,,1.7,,21.4,58.3,X
12.0|222,227,13,,5.7,,54.8,48.2,X
12.0|232,199,9,,4.5,,67.2,79.2,X
12.0|233,236,18,,7.6,,156.4,91.0,O
12.0|32,330,19,,5.8,,79.4,68.4,X
12.0|322,46,1,,2.2,,12.0,7.0,X
12.0|323,49,1,,2.0,,40.4,120.4,O
12.0|33,105,4,,3.8,,20.2,90.6,O
12.0|332,31,3,,9.7,,129.9,126.0,O
13.0|11,38,3,,7.9,,68.8,29.0,X
13.0|121,129,8,,6.2,,112.6,51.8,X
13.0|122,151,14,,9.3,,138.6,82.4,O
13.0|132,143,3,,2.1,,26.4,39.9,X
13.0|133,155,7,,4.5,,85.5,72.5,X
13.0|21,223,6,,2.7,,77.0,113.0,O
13.0|211,34,5,,14.7,,120.2,139.0,O
13.0|22,108,5,,4.6,,40.4,89.9,O
13.0|221,104,5,,4.8,,128.5,117.5,O
13.0|222,219,11,,5.0,,54.2,89.4,O
13.0|232,179,10,,5.6,,75.4,72.4,X
13.0|233,206,8,,3.9,,35.5,89.9,O
13.0|32,292,10,,3.4,,57.6,80.6,O
13.0|322,52,1,,1.9,,32.4,20.2,X
13.0|323,35,2,,5.7,,60.9,140.9,O
13.0|33,79,4,,5.1,,162.1,78.9,X
14.0|11,36,1,,2.8,,177.0,91.1,O
14.0|121,97,5,,5.2,,138.0,88.5,O
14.0|122,138,4,,2.9,,11.6,76.1,X
14.0|132,131,3,,2.3,,32.7,51.8,X
14.0|133,112,7,,6.2,,53.6,91.5,O
14.0|21,179,12,,6.7,,60.8,86.7,O
14.0|22,102,4,,3.9,,38.5,82.7,O
14.0|221,84,7,,8.3,,38.5,93.1,O
14.0|222,189,11,,5.8,,41.4,50.9,X
14.0|232,129,2,,1.6,,8.2,34.6,X
14.0|233,181,7,,3.9,,72.3,86.8,O
14.0|32,227,13,,5.7,,73.4,75.3,X
14.0|322,34,4,,11.8,,139.8,118.3,O
14.0|323,30,0,,0.0,,0.0,66.2,X
14.0|33,65,2,,3.1,,32.8,128.3,O
15.0|121,56,4,,7.1,,41.4,47.7,X
15.0|122,108,3,,2.8,,31.6,63.8,X
15.0|132,102,7,,6.9,,107.7,105.4,O
15.0|133,75,6,,8.0,,108.8,77.5,X
15.0|21,133,7,,5.3,,55.9,86.6,O
15.0|22,71,2,,2.8,,11.3,56.4,X
15.0|221,49,3,,6.1,,34.6,108.1,O
15.0|222,98,7,,7.1,,151.3,81.1,O
15.0|232,91,4,,4.4,,109.4,68.7,X
15.0|233,134,8,,6.0,,97.7,72.3,X
15.0|32,200,9,,4.5,,72.2,91.8,O
15.0|323,35,0,,0.0,,0.0,103.4,O
15.0|33,55,3,,5.5,,25.7,104.2,O
16.0|121,53,3,,5.7,,133.9,71.3,X
16.0|122,77,8,,10.4,,92.9,162.6,O
16.0|132,62,4,,6.5,,151.6,84.5,O
16.0|133,53,1,,1.9,,38.8,119.0,O
16.0|21,87,4,,4.6,,31.5,39.5,X
16.0|22,61,4,,6.6,,119.0,44.8,X
16.0|221,38,8,,21.1,,138.0,89.8,O
16.0|222,79,4,,5.1,,89.9,81.4,O
