bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0|1,19005,2037,,10.7,,75.3,71.7,X
1.0|2,9682,1055,,10.9,,74.8,74.9,X
1.0|3,1674,173,,10.3,,70.9,77.1,X
1.0|4,1252,120,,9.6,,78.6,75.9,X
1.0|6,35,1,,2.9,,123.0,73.4,X
10.0|1,8735,523,,6.0,,84.4,82.2,O
10.0|2,4641,281,,6.1,,88.0,84.5,O
10.0|3,857,43,,5.0,,73.6,81.9,O
10.0|4,594,32,,5.4,,66.7,89.5,O
11.0|1,7410,436,,5.9,,85.9,82.6,O
11.0|2,3866,207,,5.4,,71.3,76.3,X
11.0|3,668,41,,6.1,,91.9,77.6,X
11.0|4,509,34,,6.7,,117.8,88.6,O
12.0|1,6250,325,,5.2,,87.2,81.0,O
12.0|2,3315,181,,5.5,,92.3,87.2,O
12.0|3,560,20,,3.6,,46.4,105.4,O
12.0|4,443,18,,4.1,,42.7,64.2,X
13.0|1,5214,280,,5.4,,75.2,83.9,O
13.0|2,2615,142,,5.4,,95.9,83.5,O
13.0|3,550,30,,5.5,,79.8,78.6,X
13.0|4,327,22,,6.7,,86.7,78.4,X
14.0|1,4210,217,,5.2,,59.6,70.7,X
14.0|2,2144,101,,4.7,,61.9,77.6,X
14.0|3,395,22,,5.6,,82.4,82.7,O
14.0|4,299,11,,3.7,,32.9,70.9,X
15.0|1,3050,162,,5.3,,74.7,75.4,X
15.0|2,1635,89,,5.4,,76.3,75.5,X
15.0|3,309,13,,4.2,,65.6,83.2,O
15.0|4,207,10,,4.8,,64.8,85.9,O
16.0|1,2083,103,,4.9,,96.1,80.6,O
16.0|2,1119,59,,5.3,,68.9,81.0,O
16.0|3,200,11,,5.5,,155.1,134.7,O
16.0|4,148,10,,6.8,,77.6,78.0,X
17.0|1,504,35,,6.9,,106.9,75.7,X
17.0|2,268,15,,5.6,,73.2,75.0,X
17.0|3,59,1,,1.7,,5.1,70.2,X
17.0|4,47,4,,8.5,,55.5,51.2,X
18.0|1,337,18,,5.3,,85.2,78.8,X
18.0|2,180,9,,5.0,,157.6,97.7,O
18.0|3,33,5,,15.2,,290.5,93.8,O
2.0|1,18545,2933,,15.8,,73.5,78.3,X
2.0|2,9474,1527,,16.1,,71.6,76.1,X
2.0|3,1651,261,,15.8,,65.2,77.7,X
2.0|4,1251,198,,15.8,,75.3,77.1,X
2.0|6,35,5,,14.3,,30.8,58.1,X
3.0|1,18114,2278,,12.6,,78.0,79.4,X
3.0|2,9037,1174,,13.0,,77.5,78.2,X
3.0|3,1547,208,,13.4,,75.2,78.8,X
3.0|4,1251,152,,12.2,,61.8,76.6,X
4.0|1,17318,1825,,10.5,,82.9,79.0,X
4.0|2,8756,921,,10.5,,76.0,79.9,X
4.0|3,1522,172,,11.3,,75.3,72.9,X
4.0|4,1124,105,,9.3,,63.1,74.6,X
5.0|1,16166,1390,,8.6,,75.4,80.4,O
5.0|2,8246,717,,8.7,,83.9,81.0,O
5.0|3,1427,117,,8.2,,67.5,81.1,O
5.0|4,1091,98,,9.0,,80.0,80.7,O
6.0|1,14592,1141,,7.8,,79.0,81.6,O
6.0|2,7589,617,,8.1,,86.6,78.0,X
6.0|3,1332,103,,7.7,,79.9,72.7,X
6.0|4,936,74,,7.9,,110.9,93.7,O
7.0|1,13194,903,,6.8,,81.1,81.3,O
7.0|2,6821,460,,6.7,,81.8,85.4,O
7.0|3,1202,89,,7.4,,111.4,85.5,O
7.0|4,922,75,,8.1,,87.6,85.4,O
8.0|1,11745,732,,6.2,,72.5,75.9,X
8.0|2,6096,335,,5.5,,73.6,79.8,X
8.0|3,1099,60,,5.5,,48.4,82.6,O
8.0|4,832,58,,7.0,,105.8,79.7,X
9.0|1,10262,639,,6.2,,83.3,82.0,O
9.0|2,5450,351,,6.4,,89.0,80.1,O
9.0|3,960,54,,5.6,,59.2,78.0,X
9.0|4,704,49,,7.0,,96.0,83.7,O
