bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1|1,22269,1957,,8.8,,75.1,76.1,X
1|2,23652,2078,,8.8,,81.0,79.6,X
1|3,25355,2240,,8.8,,80.5,78.6,X
1|4,26627,2450,,9.2,,77.2,76.2,X
1|5,27716,2544,,9.2,,74.3,77.2,X
1|6,28811,2675,,9.3,,81.6,80.8,O
1|7,30433,2749,,9.0,,77.7,79.1,X
1|8,31254,2979,,9.5,,80.6,79.8,X
2|1,11208,1024,,9.1,,92.6,78.8,X
2|2,12042,1069,,8.9,,82.5,79.5,X
2|3,12900,1087,,8.4,,71.8,78.7,X
2|4,13512,1195,,8.8,,75.2,80.3,O
2|5,14232,1304,,9.2,,79.7,80.8,O
2|6,14720,1433,,9.7,,84.7,78.9,X
2|7,15702,1482,,9.4,,81.8,79.4,X
2|8,16178,1463,,9.0,,74.9,75.6,X
3|1,1961,175,,8.9,,77.5,82.1,O
3|2,2125,179,,8.4,,88.2,82.9,O
3|3,2276,188,,8.3,,69.0,79.6,X
3|4,2377,219,,9.2,,73.8,70.8,X
3|5,2490,246,,9.9,,82.9,72.0,X
3|6,2631,245,,9.3,,76.3,80.9,O
3|7,2727,202,,7.4,,56.0,77.2,X
3|8,2825,265,,9.4,,78.9,82.3,O
4|1,1478,121,,8.2,,64.2,79.8,X
4|2,1538,133,,8.6,,84.9,79.4,X
4|3,1690,173,,10.2,,82.8,81.7,O
4|4,1725,158,,9.2,,89.7,79.6,X
4|5,1856,157,,8.5,,76.5,73.4,X
4|6,1910,154,,8.1,,65.6,74.0,X
4|7,2046,206,,10.1,,77.9,85.9,O
4|8,2070,183,,8.8,,89.1,79.8,X
6|1,34,4,,11.8,,232.4,111.9,O
6|2,39,4,,10.3,,61.6,74.8,X
6|3,42,1,,2.4,,15.5,94.5,O
6|4,44,2,,4.5,,26.3,51.5,X
6|5,45,4,,8.9,,121.1,40.5,X
6|6,40,7,,17.5,,126.5,214.9,O
6|7,49,2,,4.1,,24.6,77.9,X
6|8,52,6,,11.5,,150.0,68.5,X
