bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.0,23734,2293,,9.7,,77.0,77.0,X
10.0,1558,111,,7.1,,50.8,79.1,X
11.0,1819,170,,9.3,,118.9,93.2,O
12.0,2351,187,,8.0,,72.7,74.3,X
13.0,605,51,,8.4,,100.9,77.7,X
14.0,2269,214,,9.4,,95.9,82.7,O
15.0,860,61,,7.1,,62.7,70.7,X
16.0,371,24,,6.5,,96.7,76.9,X
17.0,2487,236,,9.5,,86.4,78.5,X
18.0,933,75,,8.0,,77.7,89.9,O
19.0,579,41,,7.1,,81.9,73.7,X
2.0,88,10,,11.4,,149.9,106.9,O
20.0,2647,269,,10.2,,84.0,74.7,X
21.0,634,44,,6.9,,74.6,68.5,X
22.0,1033,87,,8.4,,99.4,74.4,X
23.0,513,38,,7.4,,57.8,75.7,X
24.0,368,20,,5.4,,38.9,63.3,X
25.0,2991,298,,10.0,,80.5,87.7,O
26.0,232,12,,5.2,,62.6,99.6,O
27.0,702,44,,6.3,,45.7,69.7,X
28.0,201,12,,6.0,,67.9,70.8,X
29.0,1183,105,,8.9,,92.4,69.8,X
3.0,435,26,,6.0,,107.2,87.9,O
30.0,567,41,,7.2,,62.8,63.5,X
31.0,350,30,,8.6,,98.6,86.2,O
32.0,166,17,,10.2,,152.6,84.8,O
33.0,3194,302,,9.5,,85.6,84.8,O
35.0,172,12,,7.0,,55.5,51.7,X
36.0,404,34,,8.4,,56.4,84.3,O
37.0,62,6,,9.7,,94.1,85.4,O
38.0,701,59,,8.4,,67.5,70.9,X
39.0,108,8,,7.4,,82.5,60.6,X
4.0,758,57,,7.5,,71.5,72.9,X
40.0,1181,107,,9.1,,72.5,82.0,O
41.0,92,7,,7.6,,95.8,65.7,X
42.0,171,12,,7.0,,64.4,47.3,X
43.0,560,51,,9.1,,66.6,92.1,O
44.0,316,26,,8.2,,83.9,63.0,X
45.0,189,15,,7.9,,48.4,68.0,X
46.0,100,5,,5.0,,36.9,117.2,O
47.0,113,6,,5.3,,77.1,115.9,O
48.0,49,2,,4.1,,27.1,63.7,X
5.0,1049,78,,7.4,,69.9,87.4,O
50.0,3287,299,,9.1,,72.5,77.9,X
52.0,43,5,,11.6,,128.3,96.9,O
53.0,76,4,,5.3,,90.6,80.7,O
54.0,63,6,,9.5,,202.9,121.5,O
55.0,110,6,,5.5,,38.9,117.0,O
56.0,134,6,,4.5,,25.8,105.2,O
57.0,245,23,,9.4,,69.6,72.0,X
58.0,59,2,,3.4,,26.9,85.6,O
6.0,1372,95,,6.9,,91.9,90.3,O
60.0,515,37,,7.2,,58.0,78.2,X
62.0,160,13,,8.1,,99.8,63.9,X
64.0,65,7,,10.8,,50.1,92.2,O
67.0,1081,83,,7.7,,64.1,63.9,X
7.0,1392,111,,8.0,,57.2,71.4,X
70.0,40,2,,5.0,,27.3,56.5,X
71.0,121,10,,8.3,,104.8,49.2,X
73.0,32,2,,6.2,,16.5,75.8,X
75.0,445,33,,7.4,,79.3,83.3,O
78.0,36,5,,13.9,,65.1,169.8,O
8.0,1796,161,,9.0,,96.1,83.8,O
80.0,205,13,,6.3,,36.6,59.3,X
83.0,99,8,,8.1,,58.5,76.6,X
86.0,53,5,,9.4,,118.3,140.3,O
9.0,1320,126,,9.5,,73.8,92.0,O
99.9,2716,225,,8.3,,82.1,74.4,X
