bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0,724,103,,14.2,,86.2,82.2,O
1,196,37,,18.9,,127.0,100.3,O
10,380,29,,7.6,,89.8,68.9,X
11,361,35,,9.7,,105.6,83.7,O
12,373,29,,7.8,,95.2,71.9,X
13,334,27,,8.1,,63.0,96.7,O
14,312,24,,7.7,,98.6,101.4,O
15,257,11,,4.3,,28.0,77.7,X
16,255,16,,6.3,,50.5,77.9,X
17,201,10,,5.0,,84.2,105.8,O
18,147,12,,8.2,,177.7,84.5,O
19,128,11,,8.6,,143.1,75.7,X
2,294,26,,8.8,,80.9,84.5,O
20,92,8,,8.7,,55.2,91.5,O
21,94,3,,3.2,,11.9,49.1,X
22,62,7,,11.3,,65.2,54.4,X
23,51,3,,5.9,,35.2,50.6,X
3,318,38,,11.9,,79.4,81.4,O
4,362,26,,7.2,,41.2,68.3,X
5,355,36,,10.1,,72.9,72.1,X
6,418,50,,12.0,,106.5,74.4,X
7,347,36,,10.4,,68.3,77.1,X
8,391,33,,8.4,,55.4,83.6,O
9,352,29,,8.2,,59.6,101.3,O
