bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.0,4644,261,,5.6,,79.6,84.1,O
10.7,36,12,,33.3,,88.3,72.8,X
13.8,157,54,,34.4,,77.0,78.4,X
15.0,109,23,,21.1,,92.4,82.8,O
15.8,352,99,,28.1,,69.0,81.8,O
16.3,66,12,,18.2,,84.4,70.1,X
17.3,264,52,,19.7,,92.5,76.7,X
17.5,66,10,,15.2,,146.6,104.0,O
18.7,184,28,,15.2,,68.1,75.6,X
18.8,40,2,,5.0,,40.0,79.0,X
20.2,115,14,,12.2,,73.9,78.0,X
21.6,75,8,,10.7,,79.4,84.0,O
23.0,57,4,,7.0,,84.0,103.9,O
24.5,36,3,,8.3,,155.9,68.7,X
