bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.0,568,52,,9.2,,74.3,97.0,O
1.0,1501,135,,9.0,,64.1,72.7,X
10.0,131,5,,3.8,,70.3,78.3,X
11.0,79,7,,8.9,,53.8,104.7,O
12.0,73,10,,13.7,,133.3,116.9,O
13.0,72,6,,8.3,,57.4,68.9,X
14.0,51,6,,11.8,,104.4,75.9,X
15.0,60,9,,15.0,,94.7,126.9,O
16.0,54,4,,7.4,,59.7,55.8,X
17.0,41,4,,9.8,,107.0,84.2,O
18.0,32,6,,18.8,,97.6,95.7,O
2.0,1323,128,,9.7,,71.3,81.6,O
3.0,836,73,,8.7,,72.9,80.3,O
4.0,526,50,,9.5,,148.8,99.7,O
5.0,386,30,,7.8,,75.1,68.2,X
6.0,284,23,,8.1,,80.1,104.7,O
7.0,203,15,,7.4,,48.9,67.1,X
8.0,179,27,,15.1,,122.2,107.3,O
9.0,116,11,,9.5,,69.6,57.0,X
