bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1,54,1,,1.9,,154.3,89.4,O
10,88,2,,2.3,,71.1,47.3,X
103,30,1,,3.3,,42.8,46.2,X
107,31,2,,6.5,,29.9,68.8,X
11,63,0,,0.0,,0.0,84.1,O
114,37,2,,5.4,,89.2,40.8,X
115,30,1,,3.3,,43.0,58.0,X
12,81,1,,1.2,,34.2,43.5,X
120,31,1,,3.2,,19.0,80.9,O
125,30,0,,0.0,,0.0,57.6,X
13,79,1,,1.3,,113.1,109.7,O
139,30,3,,10.0,,118.1,56.3,X
14,75,0,,0.0,,0.0,73.4,X
15,75,1,,1.3,,56.6,145.8,O
16,79,1,,1.3,,25.4,63.3,X
17,74,2,,2.7,,83.5,20.9,X
18,53,0,,0.0,,0.0,46.5,X
19,65,0,,0.0,,0.0,38.5,X
2,59,0,,0.0,,0.0,94.2,O
20,54,3,,5.6,,180.7,70.8,X
21,63,1,,1.6,,38.3,34.7,X
22,61,2,,3.3,,18.4,82.4,O
23,60,2,,3.3,,129.4,88.0,O
24,68,3,,4.4,,176.5,106.0,O
25,66,1,,1.5,,104.0,20.1,X
26,56,0,,0.0,,0.0,80.0,O
27,59,0,,0.0,,0.0,20.0,X
28,58,0,,0.0,,0.0,92.8,O
29,49,2,,4.1,,123.2,64.6,X
3,73,2,,2.7,,197.7,45.5,X
30,50,1,,2.0,,9.1,182.6,O
31,64,1,,1.6,,44.4,69.2,X
32,60,4,,6.7,,80.7,82.2,O
33,48,0,,0.0,,0.0,144.1,O
34,58,0,,0.0,,0.0,135.4,O
35,52,2,,3.8,,121.7,47.5,X
36,51,1,,2.0,,144.9,38.5,X
37,51,0,,0.0,,0.0,22.2,X
38,58,3,,5.2,,133.0,101.4,O
39,58,3,,5.2,,288.1,138.9,O
4,69,0,,0.0,,0.0,52.5,X
40,59,4,,6.8,,126.3,148.7,O
41,50,2,,4.0,,112.1,44.7,X
42,43,1,,2.3,,63.3,168.4,O
43,57,1,,1.8,,31.7,45.4,X
44,45,1,,2.2,,46.1,96.5,O
45,45,2,,4.4,,76.9,74.1,X
46,46,1,,2.2,,46.7,57.6,X
47,53,2,,3.8,,95.6,71.2,X
48,51,2,,3.9,,122.9,126.5,O
49,50,1,,2.0,,39.6,51.0,X
5,68,1,,1.5,,112.3,76.7,X
50,65,5,,7.7,,238.2,156.6,O
51,52,0,,0.0,,0.0,75.8,X
52,40,2,,5.0,,140.0,108.2,O
53,53,0,,0.0,,0.0,37.1,X
54,47,0,,0.0,,0.0,79.3,X
55,44,3,,6.8,,159.3,60.4,X
56,55,0,,0.0,,0.0,40.6,X
57,42,2,,4.8,,16.8,91.3,O
58,49,3,,6.1,,136.4,132.7,O
59,44,5,,11.4,,178.8,125.2,O
6,58,0,,0.0,,0.0,102.1,O
60,38,0,,0.0,,0.0,44.9,X
62,35,0,,0.0,,0.0,47.8,X
63,58,6,,10.3,,281.8,122.7,O
64,50,2,,4.0,,136.1,71.9,X
65,35,2,,5.7,,154.6,138.4,O
66,37,2,,5.4,,175.9,76.0,X
68,36,2,,5.6,,77.5,108.3,O
69,38,0,,0.0,,0.0,52.8,X
7,68,0,,0.0,,0.0,18.6,X
70,33,0,,0.0,,0.0,58.7,X
71,32,2,,6.2,,171.2,93.4,O
72,39,1,,2.6,,59.0,110.9,O
73,43,2,,4.7,,110.6,44.5,X
74,30,3,,10.0,,133.7,86.1,O
75,31,1,,3.2,,79.0,85.6,O
76,39,3,,7.7,,65.0,124.1,O
77,39,0,,0.0,,0.0,23.1,X
79,39,0,,0.0,,0.0,35.5,X
8,68,1,,1.5,,46.4,82.0,O
80,32,1,,3.1,,82.6,83.5,O
83,34,2,,5.9,,134.1,161.9,O
85,40,1,,2.5,,52.3,70.6,X
86,35,1,,2.9,,5.4,58.0,X
87,36,1,,2.8,,17.1,56.5,X
9,72,1,,1.4,,23.6,75.3,X
90,31,2,,6.5,,79.1,99.6,O
92,35,4,,11.4,,184.6,115.0,O
96,30,2,,6.7,,86.7,76.8,X
97,30,1,,3.3,,50.9,58.9,X
99,34,3,,8.8,,84.4,50.1,X
