bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-0.5,38,1,,2.6,,12.7,31.5,X
-0.6,34,3,,8.8,,123.1,85.9,O
-1.9,48,2,,4.2,,25.3,73.4,X
-10.0,184,3,,1.6,,52.6,67.5,X
-10.2,271,5,,1.8,,77.5,110.9,O
-10.3,30,0,,0.0,,0.0,97.5,O
-10.4,44,1,,2.3,,178.7,153.1,O
-10.5,53,2,,3.8,,141.2,89.0,O
-10.7,54,1,,1.9,,29.9,71.8,X
-10.8,109,4,,3.7,,299.5,113.6,O
-11.2,31,1,,3.2,,21.9,60.0,X
-11.5,200,4,,2.0,,59.1,62.2,X
-12.1,94,4,,4.3,,51.9,72.5,X
-12.4,73,2,,2.7,,125.9,123.7,O
-12.6,87,0,,0.0,,0.0,26.8,X
-12.7,84,1,,1.2,,38.5,23.6,X
-12.9,32,1,,3.1,,71.0,90.3,O
-13.8,50,2,,4.0,,17.7,70.8,X
-2.0,41,3,,7.3,,59.0,88.3,O
-2.6,39,1,,2.6,,177.6,105.8,O
-2.7,97,8,,8.2,,55.8,83.1,O
-3.0,31,3,,9.7,,240.0,175.1,O
-3.5,30,3,,10.0,,125.8,114.1,O
-3.8,48,1,,2.1,,123.4,86.7,O
-4.7,49,1,,2.0,,181.5,79.3,X
-5.2,30,2,,6.7,,82.5,124.5,O
-5.8,35,1,,2.9,,84.0,32.3,X
-5.9,44,2,,4.5,,97.1,93.6,O
-6.0,53,1,,1.9,,10.3,22.3,X
-6.2,53,2,,3.8,,66.9,20.0,X
-6.4,36,2,,5.6,,286.8,120.1,O
-7.0,62,0,,0.0,,0.0,47.0,X
-8.1,60,1,,1.7,,82.9,133.8,O
0.0,32,2,,6.2,,355.3,120.8,O
0.5,37,4,,10.8,,195.6,181.5,O
0.6,41,3,,7.3,,50.5,35.3,X
0.7,36,2,,5.6,,99.7,105.2,O
1.8,45,5,,11.1,,129.4,107.5,O
10.0,45,2,,4.4,,26.7,69.0,X
10.2,33,1,,3.0,,39.0,75.1,X
10.3,31,2,,6.5,,47.2,54.2,X
10.5,31,6,,19.4,,97.7,54.1,X
10.6,44,2,,4.5,,36.7,45.6,X
11.3,34,4,,11.8,,67.5,89.8,O
11.5,35,3,,8.6,,25.2,50.8,X
11.7,40,9,,22.5,,103.5,85.4,O
12.0,38,4,,10.5,,79.9,74.0,X
12.1,31,3,,9.7,,36.4,78.6,X
12.4,37,3,,8.1,,165.0,106.8,O
12.8,41,5,,12.2,,95.3,71.2,X
13.0,32,6,,18.8,,83.9,81.8,O
13.3,30,4,,13.3,,32.8,50.5,X
13.8,36,4,,11.1,,29.2,58.2,X
14.5,33,8,,24.2,,92.6,88.4,O
15.0,37,7,,18.9,,82.2,75.4,X
16.6,32,6,,18.8,,62.1,84.7,O
17.3,42,7,,16.7,,74.9,99.1,O
4.9,36,1,,2.8,,4.4,102.2,O
6.0,69,3,,4.3,,25.0,79.4,X
6.1,78,5,,6.4,,83.5,67.8,X
6.9,36,0,,0.0,,0.0,69.2,X
7.3,36,2,,5.6,,37.3,66.4,X
8.1,37,4,,10.8,,51.8,43.4,X
8.2,36,5,,13.9,,101.2,74.5,X
8.7,30,2,,6.7,,105.7,47.8,X
9.0,36,3,,8.3,,36.3,112.9,O
9.3,40,2,,5.0,,78.9,75.9,X
