bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.7,95,0,,0.0,,0.0,43.2,X
1.4,463,9,,1.9,,83.4,91.7,O
1.6,35,2,,5.7,,234.1,74.7,X
1.7,71,1,,1.4,,99.7,102.0,O
1.9,39,2,,5.1,,70.7,41.1,X
11.0,40,4,,10.0,,77.5,69.8,X
11.1,167,17,,10.2,,80.0,98.8,O
11.2,32,2,,6.2,,18.8,75.6,X
11.3,31,5,,16.1,,128.4,77.7,X
11.5,30,4,,13.3,,117.2,65.0,X
13.1,58,8,,13.8,,93.0,94.3,O
13.2,92,11,,12.0,,58.7,75.9,X
13.3,65,9,,13.8,,71.3,83.5,O
13.4,71,12,,16.9,,98.7,79.7,X
15.7,54,13,,24.1,,111.6,78.3,X
15.8,33,5,,15.2,,73.8,58.0,X
17.6,112,21,,18.8,,84.5,91.4,O
17.7,39,7,,17.9,,64.3,96.6,O
2.1,60,2,,3.3,,240.2,126.4,O
2.3,33,0,,0.0,,0.0,7.8,X
2.4,48,0,,0.0,,0.0,45.9,X
2.5,205,8,,3.9,,174.4,97.3,O
2.6,367,8,,2.2,,93.2,70.0,X
2.7,303,10,,3.3,,65.9,98.0,O
2.8,38,0,,0.0,,0.0,34.0,X
2.9,49,1,,2.0,,101.1,57.8,X
20.9,30,7,,23.3,,63.1,59.4,X
21.0,70,18,,25.7,,89.1,81.0,O
21.1,30,5,,16.7,,40.0,59.5,X
24.5,57,16,,28.1,,73.0,92.9,O
3.0,43,1,,2.3,,25.0,93.8,O
3.1,33,1,,3.0,,29.9,100.5,O
3.2,63,2,,3.2,,234.6,129.1,O
3.3,112,2,,1.8,,55.9,115.9,O
3.4,60,1,,1.7,,18.2,129.4,O
3.5,31,2,,6.5,,338.8,95.9,O
3.6,30,1,,3.3,,9.1,54.7,X
3.7,33,2,,6.1,,204.6,139.7,O
3.8,345,6,,1.7,,39.4,53.6,X
3.9,191,11,,5.8,,97.1,79.7,X
30.5,31,9,,29.0,,76.4,88.8,O
4.0,55,3,,5.5,,72.2,68.1,X
4.2,32,0,,0.0,,0.0,180.8,O
4.3,33,1,,3.0,,257.9,115.8,O
4.5,32,2,,6.2,,91.6,28.4,X
4.6,54,3,,5.6,,106.9,62.5,X
4.7,143,3,,2.1,,47.9,76.4,X
4.8,107,9,,8.4,,203.0,97.1,O
4.9,72,4,,5.6,,143.5,66.2,X
5.3,43,2,,4.7,,12.5,62.9,X
5.4,36,1,,2.8,,25.8,65.7,X
5.5,30,1,,3.3,,7.0,12.8,X
6.0,139,9,,6.5,,142.0,77.6,X
6.1,165,12,,7.3,,121.2,76.5,X
6.2,47,2,,4.3,,30.2,80.5,O
6.9,45,4,,8.9,,187.0,76.6,X
7.0,159,7,,4.4,,57.8,75.6,X
7.1,95,7,,7.4,,80.2,85.5,O
7.2,41,0,,0.0,,0.0,44.0,X
7.3,49,3,,6.1,,49.7,46.0,X
7.5,90,9,,10.0,,80.6,75.1,X
7.6,65,1,,1.5,,6.2,71.6,X
7.7,39,1,,2.6,,23.7,73.7,X
7.8,36,1,,2.8,,40.0,49.7,X
7.9,30,1,,3.3,,55.0,49.4,X
8.1,40,2,,5.0,,34.3,64.7,X
8.3,89,9,,10.1,,82.5,97.6,O
8.4,106,5,,4.7,,55.9,71.7,X
9.1,30,1,,3.3,,5.0,56.5,X
9.6,34,6,,17.6,,195.2,79.8,X
9.7,167,14,,8.4,,70.6,65.3,X
9.8,32,2,,6.2,,112.6,78.0,X
9.9,33,4,,12.1,,63.1,63.5,X
