bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
-1.9,39,2,,5.1,,39.6,61.8,X
-10.3,122,2,,1.6,,7.4,60.6,X
-10.4,51,2,,3.9,,73.7,133.9,O
-10.5,69,0,,0.0,,0.0,191.3,O
-10.7,197,4,,2.0,,101.7,86.9,O
-2.5,56,2,,3.6,,55.2,88.9,O
-20.0,134,6,,4.5,,243.0,130.3,O
-4.8,52,1,,1.9,,9.4,29.2,X
-5.0,53,1,,1.9,,37.3,35.0,X
-5.3,86,0,,0.0,,0.0,43.0,X
-7.0,36,3,,8.3,,205.9,180.1,O
-9.9,74,3,,4.1,,185.6,64.0,X
0.5,132,6,,4.5,,85.7,70.3,X
0.9,35,2,,5.7,,25.2,49.3,X
10.4,32,6,,18.8,,65.8,96.5,O
10.6,37,8,,21.6,,250.2,95.5,O
11.5,33,7,,21.2,,118.3,62.1,X
12.0,103,12,,11.7,,223.5,81.4,O
14.9,35,7,,20.0,,123.0,91.1,O
16.0,30,3,,10.0,,70.8,66.9,X
3.3,30,6,,20.0,,396.5,137.5,O
40.0,32,8,,25.0,,165.1,108.5,O
5.4,31,3,,9.7,,83.8,101.6,O
5.7,30,7,,23.3,,208.1,92.2,O
6.0,46,1,,2.2,,33.9,40.2,X
6.2,30,3,,10.0,,301.5,87.8,O
6.3,48,2,,4.2,,30.7,63.4,X
6.4,70,4,,5.7,,30.2,40.6,X
7.9,37,3,,8.1,,55.8,71.6,X
8.6,30,2,,6.7,,45.1,35.2,X
9.0,37,3,,8.1,,86.7,64.1,X
9.2,35,3,,8.6,,40.8,87.2,O
9.7,36,0,,0.0,,0.0,40.9,X
