bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0.0,2367,247,,10.4,,94.1,87.9,O
10.0,136,8,,5.9,,53.1,75.4,X
11.0,166,15,,9.0,,39.1,70.7,X
12.0,223,19,,8.5,,94.4,81.4,O
13.0,50,1,,2.0,,4.8,74.2,X
14.0,220,18,,8.2,,42.4,85.7,O
15.0,79,9,,11.4,,76.2,68.1,X
16.0,37,0,,0.0,,0.0,55.3,X
17.0,257,34,,13.2,,143.5,89.3,O
18.0,99,6,,6.1,,63.4,79.4,X
19.0,59,6,,10.2,,255.7,90.3,O
20.0,308,30,,9.7,,58.1,53.4,X
21.0,48,4,,8.3,,66.8,40.4,X
22.0,104,9,,8.7,,46.7,85.1,O
23.0,45,3,,6.7,,175.7,88.6,O
25.0,326,30,,9.2,,65.6,83.9,O
27.0,49,3,,6.1,,48.6,80.3,O
29.0,113,12,,10.6,,80.6,76.8,X
3.0,56,3,,5.4,,125.2,77.9,X
30.0,54,4,,7.4,,27.7,68.8,X
33.0,329,18,,5.5,,61.1,69.4,X
36.0,40,6,,15.0,,137.5,74.6,X
38.0,61,6,,9.8,,36.6,66.2,X
4.0,68,5,,7.4,,240.9,75.9,X
40.0,104,9,,8.7,,69.0,102.4,O
43.0,49,5,,10.2,,27.6,56.0,X
5.0,93,5,,5.4,,33.7,55.6,X
50.0,301,31,,10.3,,75.0,62.6,X
6.0,130,9,,6.9,,79.8,93.9,O
60.0,64,3,,4.7,,26.8,79.6,X
67.0,92,6,,6.5,,50.7,61.9,X
7.0,142,9,,6.3,,102.7,77.6,X
75.0,47,4,,8.5,,157.5,82.3,O
8.0,142,13,,9.2,,160.2,97.4,O
9.0,114,6,,5.3,,38.5,51.0,X
99.9,262,23,,8.8,,61.6,60.8,X
