bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0,918,123,,13.4,,90.2,83.3,O
10.0,514,31,,6.0,,80.9,68.6,X
11.0,460,30,,6.5,,46.4,69.8,X
12.0,415,27,,6.5,,49.6,75.2,X
13.0,401,13,,3.2,,52.8,79.7,X
14.0,355,6,,1.7,,76.8,52.4,X
15.0,277,10,,3.6,,94.7,85.3,O
16.0,106,4,,3.8,,22.1,36.5,X
2.0,666,70,,10.5,,94.1,82.6,O
3.0,642,80,,12.5,,115.8,81.1,O
4.0,629,56,,8.9,,62.5,84.3,O
5.0,611,62,,10.1,,118.7,85.8,O
6.0,585,49,,8.4,,98.2,69.8,X
7.0,593,47,,7.9,,76.6,81.9,O
8.0,562,49,,8.7,,88.5,94.2,O
9.0,545,36,,6.6,,91.1,78.8,X
