bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10.0,272,4,,1.5,,40.5,36.9,X
13.0,31,0,,0.0,,0.0,66.3,X
15.0,57,0,,0.0,,0.0,42.0,X
16.0,42,2,,4.8,,93.4,32.2,X
17.0,35,0,,0.0,,0.0,39.8,X
18.0,69,1,,1.4,,9.1,68.0,X
19.0,37,0,,0.0,,0.0,14.3,X
20.0,79,4,,5.1,,215.2,85.2,O
21.0,55,1,,1.8,,3.2,34.9,X
22.0,66,1,,1.5,,59.5,82.5,O
23.0,85,3,,3.5,,153.3,117.2,O
24.0,87,3,,3.4,,37.5,63.6,X
25.0,100,5,,5.0,,100.1,73.0,X
26.0,94,5,,5.3,,59.5,64.4,X
27.0,108,5,,4.6,,58.2,52.1,X
28.0,131,6,,4.6,,32.5,90.8,O
29.0,118,11,,9.3,,137.7,88.1,O
30.0,165,11,,6.7,,103.0,85.0,O
31.0,145,7,,4.8,,33.0,86.6,O
32.0,131,7,,5.3,,49.9,90.8,O
32.1,31,4,,12.9,,51.2,52.2,X
33.0,175,8,,4.6,,66.0,78.6,X
33.1,41,7,,17.1,,78.9,77.2,X
34.0,185,8,,4.3,,42.9,97.8,O
34.1,35,3,,8.6,,30.8,84.0,O
35.0,243,14,,5.8,,55.8,64.1,X
35.1,38,6,,15.8,,294.0,79.7,X
36.0,242,19,,7.9,,112.6,84.6,O
36.1,46,9,,19.6,,97.8,88.7,O
37.0,221,17,,7.7,,122.7,90.6,O
37.1,42,9,,21.4,,181.6,104.0,O
38.0,251,27,,10.8,,65.6,75.0,X
38.1,34,1,,2.9,,4.5,68.0,X
39.0,229,20,,8.7,,68.4,85.3,O
39.1,31,5,,16.1,,88.5,48.4,X
40.0,273,27,,9.9,,142.6,112.6,O
40.1,43,7,,16.3,,87.1,51.5,X
41.0,195,19,,9.7,,206.8,111.8,O
41.1,31,2,,6.5,,97.7,83.2,O
42.0,260,22,,8.5,,116.4,84.0,O
42.1,34,4,,11.8,,181.5,112.8,O
43.0,271,19,,7.0,,129.9,74.8,X
43.1,38,6,,15.8,,184.8,118.2,O
44.0,287,33,,11.5,,88.8,71.6,X
44.1,60,6,,10.0,,143.9,65.9,X
45.0,251,15,,6.0,,56.8,84.5,O
45.1,47,3,,6.4,,44.1,73.6,X
46.0,270,16,,5.9,,87.4,105.2,O
46.1,59,3,,5.1,,46.6,59.1,X
47.0,244,14,,5.7,,56.8,90.9,O
47.1,46,5,,10.9,,124.4,145.3,O
48.0,225,19,,8.4,,78.7,74.9,X
48.1,67,5,,7.5,,86.4,61.9,X
49.0,201,22,,10.9,,85.7,87.0,O
49.1,55,5,,9.1,,251.6,86.5,O
50.0,213,20,,9.4,,86.0,91.6,O
50.1,52,6,,11.5,,223.8,119.4,O
51.0,168,24,,14.3,,88.6,67.0,X
51.1,63,7,,11.1,,57.5,63.4,X
52.0,153,20,,13.1,,75.5,66.3,X
52.1,40,6,,15.0,,96.5,99.9,O
53.0,133,20,,15.0,,85.0,72.8,X
53.1,49,4,,8.2,,15.5,96.7,O
54.0,135,19,,14.1,,66.2,84.3,O
54.1,45,5,,11.1,,38.7,103.5,O
55.0,92,12,,13.0,,89.3,63.6,X
56.0,86,11,,12.8,,49.9,79.0,X
56.1,30,4,,13.3,,136.8,70.3,X
57.0,70,10,,14.3,,76.9,65.3,X
58.0,56,7,,12.5,,260.4,137.8,O
59.0,56,7,,12.5,,45.3,65.4,X
60.0,39,2,,5.1,,41.0,73.3,X
61.0,35,6,,17.1,,61.9,56.4,X
