bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10.0,31,2,,6.5,,11.3,35.9,X
11.0,36,0,,0.0,,0.0,133.6,O
12.0,58,3,,5.2,,122.6,44.9,X
13.0,77,4,,5.2,,13.1,37.4,X
14.0,55,2,,3.6,,44.5,73.5,X
15.0,82,7,,8.5,,40.4,30.0,X
16.0,93,11,,11.8,,300.8,91.9,O
17.0,90,5,,5.6,,72.1,69.5,X
18.0,117,8,,6.8,,58.5,55.1,X
19.0,98,6,,6.1,,152.0,105.2,O
20.0,137,15,,10.9,,126.2,56.0,X
21.0,150,7,,4.7,,18.0,72.5,X
22.0,153,7,,4.6,,64.6,69.7,X
23.0,180,18,,10.0,,91.8,95.3,O
24.0,170,4,,2.4,,26.6,32.2,X
25.0,215,22,,10.2,,96.6,69.8,X
26.0,201,13,,6.5,,48.6,100.9,O
27.0,241,14,,5.8,,30.3,76.8,X
28.0,229,19,,8.3,,84.4,55.5,X
29.0,229,31,,13.5,,127.2,107.5,O
30.0,262,19,,7.3,,61.6,61.4,X
31.0,270,24,,8.9,,105.6,60.1,X
32.0,253,20,,7.9,,120.3,108.9,O
33.0,274,25,,9.1,,138.8,72.9,X
34.0,243,23,,9.5,,53.3,63.4,X
35.0,260,31,,11.9,,145.9,128.2,O
36.0,238,21,,8.8,,57.9,65.9,X
37.0,235,27,,11.5,,99.6,88.7,O
38.0,265,21,,7.9,,84.3,89.2,O
39.0,253,25,,9.9,,67.7,68.3,X
40.0,232,15,,6.5,,64.6,84.8,O
41.0,194,14,,7.2,,39.5,48.7,X
42.0,218,14,,6.4,,49.4,62.6,X
43.0,192,16,,8.3,,64.2,69.0,X
44.0,213,21,,9.9,,61.0,71.5,X
45.0,173,22,,12.7,,103.2,92.9,O
46.0,165,9,,5.5,,52.5,67.1,X
47.0,143,14,,9.8,,49.8,100.7,O
48.0,127,13,,10.2,,98.8,79.2,X
49.0,132,12,,9.1,,153.0,77.7,X
50.0,117,11,,9.4,,83.3,92.5,O
51.0,112,19,,17.0,,97.7,82.1,O
52.0,112,13,,11.6,,116.4,107.0,O
53.0,94,4,,4.3,,16.0,129.3,O
54.0,83,8,,9.6,,94.1,97.4,O
55.0,50,2,,4.0,,35.6,111.3,O
56.0,60,2,,3.3,,45.6,65.6,X
57.0,44,3,,6.8,,229.7,132.9,O
58.0,52,7,,13.5,,315.2,97.4,O
59.0,51,7,,13.7,,103.2,71.5,X
60.0,39,2,,5.1,,10.9,43.1,X
61.0,32,4,,12.5,,102.3,132.0,O
9.0,32,0,,0.0,,0.0,20.8,X
