bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1,901,250,,27.7,,76.9,80.9,O
10,710,18,,2.5,,79.5,72.7,X
11,588,12,,2.0,,43.1,72.5,X
12,493,10,,2.0,,93.5,75.6,X
13,410,9,,2.2,,62.0,107.6,O
14,332,7,,2.1,,87.8,101.5,O
15,216,3,,1.4,,90.5,113.5,O
16,138,4,,2.9,,44.2,110.7,O
2,905,160,,17.7,,82.5,82.5,O
3,898,126,,14.0,,82.7,81.6,O
4,901,77,,8.5,,70.3,76.9,X
5,901,65,,7.2,,72.3,73.1,X
6,894,54,,6.0,,86.1,72.9,X
7,881,42,,4.8,,90.0,70.4,X
8,851,42,,4.9,,93.2,74.8,X
9,780,21,,2.7,,51.2,58.3,X
