bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1.0,897,141,,15.7,,99.2,86.8,O
10.0,668,38,,5.7,,56.2,70.7,X
11.0,582,47,,8.1,,100.2,78.1,X
12.0,528,37,,7.0,,59.0,81.0,O
13.0,483,24,,5.0,,51.6,69.9,X
14.0,445,28,,6.3,,76.9,81.5,O
15.0,404,33,,8.2,,107.7,94.6,O
16.0,322,17,,5.3,,72.1,82.5,O
2.0,853,107,,12.5,,80.8,74.0,X
3.0,845,75,,8.9,,76.6,68.2,X
4.0,811,73,,9.0,,78.1,82.6,O
5.0,777,56,,7.2,,82.7,73.2,X
6.0,807,61,,7.6,,65.0,80.9,O
7.0,818,50,,6.1,,65.6,72.8,X
8.0,814,65,,8.0,,94.4,93.2,O
9.0,745,48,,6.4,,61.2,63.7,X
