bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
037,41,5,,12.2,,82.2,79.4,X
045,37,3,,8.1,,28.7,66.0,X
048,1159,78,,6.7,,73.2,68.5,X
053,96,12,,12.5,,97.3,87.8,O
056,65,5,,7.7,,26.6,66.7,X
062,67,4,,6.0,,62.7,60.6,X
069,96,9,,9.4,,56.4,54.4,X
071,170,17,,10.0,,294.2,107.7,O
078,43,1,,2.3,,6.1,63.2,X
082,31,3,,9.7,,21.4,34.0,X
087,239,19,,7.9,,71.6,60.6,X
091,344,29,,8.4,,81.9,79.5,X
101,38,1,,2.6,,65.2,25.9,X
120,121,12,,9.9,,55.3,76.4,X
131,77,10,,13.0,,268.1,127.6,O
144,45,2,,4.4,,36.9,65.4,X
151,46,6,,13.0,,98.8,118.9,O
153,119,12,,10.1,,120.3,82.3,O
157,84,8,,9.5,,95.6,48.7,X
160,31,1,,3.2,,304.0,87.5,O
162,1568,121,,7.7,,82.1,78.6,X
167,80,6,,7.5,,24.6,55.1,X
171,246,16,,6.5,,51.5,55.3,X
173,80,5,,6.2,,33.3,78.1,X
189,45,4,,8.9,,42.7,35.4,X
194,66,10,,15.2,,84.9,74.7,X
209,48,4,,8.3,,53.3,159.7,O
215,105,10,,9.5,,133.0,79.3,X
216,89,1,,1.1,,8.1,75.1,X
234,486,37,,7.6,,62.4,78.4,X
301,224,12,,5.4,,47.7,71.1,X
305,57,5,,8.8,,38.2,59.8,X
321,40,3,,7.5,,24.0,42.3,X
344,32,1,,3.1,,5.5,31.8,X
360,41,5,,12.2,,53.9,71.2,X
366,34,3,,8.8,,169.9,64.4,X
384,552,44,,8.0,,67.3,85.0,O
385,101,10,,9.9,,88.1,90.3,O
398,41,1,,2.4,,10.6,24.4,X
421,65,4,,6.2,,46.5,70.1,X
422,48,5,,10.4,,32.8,113.5,O
442,86,8,,9.3,,35.7,35.7,X
443,42,2,,4.8,,264.8,141.9,O
449,104,4,,3.8,,18.3,67.3,X
450,54,5,,9.3,,122.5,48.3,X
451,170,14,,8.2,,77.5,98.1,O
465,31,1,,3.2,,62.7,89.8,O
474,83,9,,10.8,,68.4,76.0,X
491,55,6,,10.9,,90.1,53.1,X
729,331,18,,5.4,,63.5,62.0,X
733,55,4,,7.3,,86.3,167.7,O
734,283,16,,5.7,,29.5,71.9,X
735,40,1,,2.5,,64.3,53.5,X
792,42,4,,9.5,,25.9,71.2,X
795,100,10,,10.0,,148.9,161.0,O
809,295,27,,9.2,,71.6,76.2,X
811,44,1,,2.3,,15.5,85.3,O
872,43,5,,11.6,,171.9,170.7,O
873,626,63,,10.1,,93.0,94.5,O
874,371,36,,9.7,,92.1,84.0,O
889,30,3,,10.0,,45.3,141.2,O
